
[00:00:00.000 --> 00:00:04.280]  歡迎各位頂尖姊妹來到Future崇拜平安
[00:00:04.280 --> 00:00:11.920]  不知道大家對剛才的影片的感受如何
[00:00:11.920 --> 00:00:15.280]  可能有些頂尖姊妹覺得很新穎
[00:00:15.280 --> 00:00:19.960]  或者是你很喜歡那個角色
[00:00:19.960 --> 00:00:22.120]  這樣能夠糅合
[00:00:22.120 --> 00:00:27.720]  今天的講道內容不會了解一下門框是什麼味道
[00:00:27.720 --> 00:00:33.040]  不會了解如何描述過程
[00:00:33.040 --> 00:00:39.760]  因為沒有逾越節內容的範圍
[00:00:39.760 --> 00:00:42.640]  反而了解出埃及這件事
[00:00:42.640 --> 00:00:49.560]  對於我們的信仰和上帝在其中的敘事描述是怎麼回事
[00:00:49.560 --> 00:00:54.120]  因為出埃及很多教材內容
[00:00:54.120 --> 00:01:01.360]  特別是小朋友都會了解十宗中耶和華上帝是一個什麼樣的上帝
[00:01:01.360 --> 00:01:06.680]  到我們查經或是在講道時也聽過
[00:01:06.680 --> 00:01:10.400]  耶和華大靈的手如何將一群屬於他的子民
[00:01:10.400 --> 00:01:14.480]  從一個圍爐的地方讓他們得到自由
[00:01:14.480 --> 00:01:18.600]  這個在經文中也有查考過
[00:01:18.600 --> 00:01:22.440]  但整件事我們再看看
[00:01:22.440 --> 00:01:25.640]  耶和華上帝為什麼要做這件事的過程中
[00:01:25.640 --> 00:01:29.240]  我們有些概念可以幫大家整合
[00:01:29.240 --> 00:01:34.480]  甚至釐清為什麼要進路地鋪路
[00:01:34.480 --> 00:01:39.760]  或者過程中讓我們更加看到上帝其實想我們知道什麼
[00:01:39.760 --> 00:01:43.800]  所以出埃及記中或出埃及記的過程中
[00:01:43.800 --> 00:01:48.160]  有兩個很重要的概念是今天想跟大家再一次思想的
[00:01:48.160 --> 00:01:52.120]  首先是耶和華上帝的救贖
[00:01:52.120 --> 00:01:56.240]  和那群牽涉的人的身份
[00:01:56.240 --> 00:02:00.680]  在救贖的信息中
[00:02:00.680 --> 00:02:02.960]  從開初
[00:02:02.960 --> 00:02:07.800]  在塞西紀的記載也講得很清楚
[00:02:07.800 --> 00:02:09.760]  譬如最開初的約瑟
[00:02:09.760 --> 00:02:12.840]  他被埋到埃及成為奴隸
[00:02:12.840 --> 00:02:19.440]  但你會看到耶和華上帝使約瑟救贖整個埃及
[00:02:19.440 --> 00:02:23.760]  免受了他們的旱災或其他饑荒
[00:02:23.760 --> 00:02:28.000]  救贖在當中一直都出現了
[00:02:28.000 --> 00:02:34.080]  但你會看到埃及人當約瑟過去後
[00:02:34.080 --> 00:02:35.960]  他逆轉了身份
[00:02:35.960 --> 00:02:40.280]  他將以色列人當成他們的幫手成為奴隸
[00:02:40.280 --> 00:02:43.680]  他們將這個身份放下
[00:02:43.680 --> 00:02:50.080]  甚至壓迫他成為他們可用的奴隸
[00:02:50.080 --> 00:02:53.400]  幫他完成他們的工作或建築
