
[00:00:00.000 --> 00:00:02.000]  頂尖的晚安
[00:00:02.000 --> 00:00:06.000]  我以為要再說電影節
[00:00:06.000 --> 00:00:08.000]  結果今天不是
[00:00:08.000 --> 00:00:10.000]  如果不是我想說《世外》
[00:00:10.000 --> 00:00:13.000]  不過恭喜《世外》過了一千萬
[00:00:13.000 --> 00:00:15.000]  過了過了
[00:00:15.000 --> 00:00:17.000]  剛剛兩小時前收到訊息
[00:00:17.000 --> 00:00:18.000]  他們過了一千萬
[00:00:18.000 --> 00:00:20.000]  希望未看的頂尖去看看
[00:00:20.000 --> 00:00:24.000]  很值得看的一套電影
[00:00:24.000 --> 00:00:26.000]  今天不是說電影
[00:00:26.000 --> 00:00:27.000]  所以我們要回到主題
[00:00:27.000 --> 00:00:30.000]  PowerPoint先出來
[00:00:30.000 --> 00:00:35.000]  我們這個系列的題目是說過關
[00:00:35.000 --> 00:00:39.000]  我們先定義一下什麼是過關
[00:00:39.000 --> 00:00:41.000]  因為過關這個題目很闊
[00:00:41.000 --> 00:00:45.000]  我想嘗試用視當真來說過關
[00:00:45.000 --> 00:00:48.000]  我們不是想說視當真
[00:00:48.000 --> 00:00:50.000]  不過我想用這個例子
[00:00:50.000 --> 00:00:52.000]  想點題一下什麼是過關
[00:00:52.000 --> 00:00:55.000]  經過五年的視當真
[00:00:55.000 --> 00:00:57.000]  好慎收他們的努力
[00:00:57.000 --> 00:01:00.000]  起碼成為了香港歷史上
[00:01:00.000 --> 00:01:02.000]  在YouTube裏面
[00:01:02.000 --> 00:01:07.000]  視當真是一個不能不討論的YouTube頻道
[00:01:07.000 --> 00:01:10.000]  我定義這個叫過關
[00:01:10.000 --> 00:01:14.000]  過關是說有些事情很努力做
[00:01:14.000 --> 00:01:17.000]  做完之後有些事情是大家可以紀念
[00:01:17.000 --> 00:01:19.000]  所以將來我相信
[00:01:19.000 --> 00:01:21.000]  如果YouTube還在流行
[00:01:21.000 --> 00:01:23.000]  很快應該不知道會不會流行
[00:01:23.000 --> 00:01:25.000]  如果將來流行的話
[00:01:25.000 --> 00:01:27.000]  視當真是回憶殺
[00:01:27.000 --> 00:01:30.000]  當好慎收有機會再出場的時候
[00:01:30.000 --> 00:01:32.000]  大家就會買票
[00:01:32.000 --> 00:01:35.000]  就好像張學友開幾百場演唱會一樣
[00:01:35.000 --> 00:01:37.000]  大家都會去看
[00:01:37.000 --> 00:01:41.000]  我相信過關是說
[00:01:41.000 --> 00:01:45.000]  一件事大家努力做完之後
[00:01:45.000 --> 00:01:47.000]  當它完結的時候
[00:01:47.000 --> 00:01:50.000]  回望過程大家覺得過了一關
[00:01:50.000 --> 00:01:53.000]  這一關將來是值得回憶殺
[00:01:53.000 --> 00:01:56.000]  就好像心美小儀
[00:01:56.000 --> 00:01:58.000]  我覺得二十年後
[00:01:58.000 --> 00:02:00.000]  如果心美小儀再出場的話
[00:02:00.000 --> 00:02:02.000]  大家會很驚訝
[00:02:02.000 --> 00:02:05.000]  不知道心美小儀是怎樣
[00:02:05.000 --> 00:02:08.000]  總之是有些回憶殺的感覺
[00:02:08.000 --> 00:02:12.000]  我希望點題是過關是說
[00:02:12.000 --> 00:02:14.000]  是一個歷程來的
[00:02:14.000 --> 00:02:15.000]  是一個過程來的
[00:02:15.000 --> 00:02:17.000]  這個過程是說我們
[00:02:17.000 --> 00:02:20.000]  經歷了很多不同的高低低之後
[00:02:20.000 --> 00:02:23.000]  完結了我們覺得過了一關
[00:02:23.000 --> 00:02:25.000]  大約是這樣說
[00:02:25.000 --> 00:02:28.000]  我們今天會說兩個比喻
[00:02:28.000 --> 00:02:30.000]  我們會說馬富翁第四章
[00:02:30.000 --> 00:02:32.000]  有兩個比喻
[00:02:32.000 --> 00:02:34.000]  這兩個比喻說什麼呢
[00:02:34.000 --> 00:02:36.000]  第一個比喻是這個
[00:02:36.000 --> 00:02:41.000]  燈台是拿來放在藍底下還是床下
[00:02:41.000 --> 00:02:44.000]  不是放在燈台上嗎
[00:02:44.000 --> 00:02:48.000]  因為沒有什麼隱藏的事不是被顯露的
[00:02:48.000 --> 00:02:51.000]  也沒有什麼事被隱藏的
[00:02:51.000 --> 00:02:53.000]  而不是要顯明出來
[00:02:53.000 --> 00:02:57.000]  接著他說有意可聽的就應當聽
[00:02:57.000 --> 00:03:00.000]  這個比喻是說
[00:03:00.000 --> 00:03:04.000]  之前的殺種比喻的後續
[00:03:04.000 --> 00:03:06.000]  第四章有五個比喻
[00:03:06.000 --> 00:03:09.000]  如果你記得上次我說的第四和第五個比喻
[00:03:09.000 --> 00:03:12.000]  這次我們說第二和第三個
[00:03:12.000 --> 00:03:15.000]  這兩個比喻第二和第三個比喻
[00:03:15.000 --> 00:03:16.000]  在第四章裡
[00:03:16.000 --> 00:03:18.000]  這個叫第二個比喻
[00:03:18.000 --> 00:03:22.000]  都是延伸殺種比喻來說的故事
[00:03:22.000 --> 00:03:25.000]  如果這樣說或理解的話
[00:03:25.000 --> 00:03:27.000]  我們的問題是
[00:03:27.000 --> 00:03:29.000]  有什麼關係
[00:03:29.000 --> 00:03:33.000]  有什麼是我們需要留心和注意的
[00:03:33.000 --> 00:03:36.000]  如果在殺種比喻裡說的
[00:03:36.000 --> 00:03:38.000]  30倍60倍100倍成長
[00:03:38.000 --> 00:03:41.000]  是很厲害的話
[00:03:41.000 --> 00:03:45.000]  光要照在人前就好像
[00:03:45.000 --> 00:03:48.000]  30倍60倍100倍
[00:03:48.000 --> 00:03:49.000]  總之你會看到的
[00:03:49.000 --> 00:03:51.000]  那棵植物很小
[00:03:51.000 --> 00:03:54.000]  到30倍60倍100倍你會看到
[00:03:54.000 --> 00:03:59.000]  就好像燈從來都會照在人前一樣
[00:03:59.000 --> 00:04:03.000]  是不會被看不到的
[00:04:03.000 --> 00:04:06.000]  這個是剛才第二個比喻裡
[00:04:06.000 --> 00:04:08.000]  想延伸第一個比喻裡
[00:04:08.000 --> 00:04:10.000]  直接的關聯
