
[00:00:00.000 --> 00:00:03.400]  「一道三吃」這個講道系列
[00:00:03.400 --> 00:00:07.600]  其實最初的構想是「一道六吃」
[00:00:07.600 --> 00:00:14.200]  不過擔心令講員或聽者受不了
[00:00:14.200 --> 00:00:19.800]  所以就衍生出女子組及男子組的「一道三吃」
[00:00:19.800 --> 00:00:25.400]  顧名思義是指對同一段經文有三種詮釋
[00:00:25.400 --> 00:00:34.800]  John在片中提及對講道者來說是一份修為、挑戰、突破
[00:00:34.800 --> 00:00:38.800]  對聽道的人來說也是
[00:00:38.800 --> 00:00:43.600]  我們很希望可以擴闊聽道人的視野
[00:00:43.600 --> 00:00:48.200]  能夠從不同的角度去了解一段經文
[00:00:48.200 --> 00:00:54.200]  以致我們可以揭示經文中所包含的豐富意義
[00:00:54.200 --> 00:00:58.200]  從而體會到神話語的豐富
[00:00:58.200 --> 00:01:05.600]  希望可以達至一個更有深度的神學討論或個人反思
[00:01:05.600 --> 00:01:10.000]  同時也希望弟兄姊妹可以經驗到
[00:01:10.000 --> 00:01:15.200]  跟我們一樣,神的道是需要花時間鑽研
[00:01:15.200 --> 00:01:18.600]  讓我們花時間沉浸在裏面
[00:01:18.600 --> 00:01:22.200]  等候及發掘更多的意涵
[00:01:22.200 --> 00:01:26.200]  不知道男子組是如何選擇經文
[00:01:26.200 --> 00:01:29.200]  我們女子組選擇經文的時候
[00:01:29.200 --> 00:01:34.200]  大底是從我們三個不同的講道風格入手
[00:01:34.200 --> 00:01:39.800]  我自己的研究興趣是希伯來聖經及女性主義式經
[00:01:39.800 --> 00:01:42.800]  青森是新約引用舊約
[00:01:42.800 --> 00:01:46.800]  阿廷是一種見微知著
[00:01:46.800 --> 00:01:51.600]  往往是從一段經文中可以看到整個書卷
[00:01:51.600 --> 00:01:55.600]  究竟在那個時代要表達一個甚麼大圖畫
[00:01:55.600 --> 00:02:01.600]  我們在想究竟哪一段經文可以一次滿足三個願望
[00:02:01.600 --> 00:02:08.600]  那時很直接想起《迦拉太書》四章二十一至三十一節的經文
[00:02:08.600 --> 00:02:11.600]  初初選擇的時候不以為然
[00:02:11.600 --> 00:02:14.600]  但到真正落手去識經
[00:02:14.600 --> 00:02:16.600]  要寫講章的時候
[00:02:16.600 --> 00:02:19.600]  就發覺很棘手
[00:02:19.600 --> 00:02:24.600]  《迦拉太書》四章二十一至三十一節的經文
[00:02:24.600 --> 00:02:27.600]  對傳道人來說是困難的
[00:02:27.600 --> 00:02:33.600]  首先是這段經文充斥著一組組奇特的對比詞彙
[00:02:33.600 --> 00:02:37.600]  這些詞彙並不吸引人
[00:02:37.600 --> 00:02:39.600]  當中包括甚麼呢?
[00:02:39.600 --> 00:02:42.600]  使女及自由婦人的對比
[00:02:42.600 --> 00:02:45.600]  屬血器及應許的對比
[00:02:45.600 --> 00:02:49.600]  再上的耶路撒冷及現在的耶路撒冷等等
[00:02:49.600 --> 00:02:54.600]  聽完之後不太理解究竟保羅想講甚麼
[00:02:54.600 --> 00:02:57.600]  其次這段經文是有引用舊約
[00:02:57.600 --> 00:03:02.600]  不過保羅引用了兩段不會是我們背誦清單的經文
[00:03:02.600 --> 00:03:05.600]  簡單來說就是大家不熟悉的舊約經文
[00:03:05.600 --> 00:03:10.600]  包括以賽亞書五十四章一節及創世紀也一章十節
[00:03:10.600 --> 00:03:16.600]  另外就是經文出現了一個很突兀的詮釋條約
[00:03:16.600 --> 00:03:21.600]  簡單來說就是保羅在沒有任何論證
[00:03:21.600 --> 00:03:23.600]  於是得出一個結論
[00:03:23.600 --> 00:03:26.600]  宣稱這兩個婦人是代表兩個約
[00:03:26.600 --> 00:03:29.600]  一個婦人是出於西奈山
[00:03:29.600 --> 00:03:31.600]  生子維勞就是夏革
[00:03:31.600 --> 00:03:34.600]  與現在的耶路撒冷同類
[00:03:34.600 --> 00:03:37.600]  因為耶路撒冷和他的兒女都是維勞的
[00:03:37.600 --> 00:03:41.600]  但另一婦人就是在上的耶路撒冷
[00:03:41.600 --> 00:03:42.600]  是自由的
[00:03:42.600 --> 00:03:45.600]  她是我們的母親
[00:03:45.600 --> 00:03:47.600]  聽完之後也不太理解究竟在講甚麼
[00:03:47.600 --> 00:03:50.600]  保羅在這裡就將他們如意化
[00:03:50.600 --> 00:03:53.600]  這是在四章二十四節直接出現
[00:03:53.600 --> 00:03:58.600]  說的是這兩個人不單是代表著他們自己
[00:03:58.600 --> 00:04:01.600]  更加是代表著兩個的約
[00:04:01.600 --> 00:04:06.600]  正正就是這段經文出現了很多不尋常的詞語的關聯
