
[00:00:00.000 --> 00:00:03.640]  因為剛才都斷斷地
[00:00:03.640 --> 00:00:05.640]  我想現場的頂展會是可以的
[00:00:05.640 --> 00:00:10.080]  但如果在網上的頂展會就會辛苦一點
[00:00:10.080 --> 00:00:12.800]  希望Wi-Fi可以運作
[00:00:12.800 --> 00:00:15.280]  剛才是我錯的
[00:00:15.280 --> 00:00:17.280]  他叫我按手為iPad祈禱
[00:00:17.280 --> 00:00:19.280]  我沒有做到
[00:00:19.280 --> 00:00:21.760]  罪歸在我身上
[00:00:21.760 --> 00:00:25.320]  我下次應該會聽話一點
[00:00:25.320 --> 00:00:29.400]  我真的要為這部機和iPad祈禱
[00:00:29.400 --> 00:00:37.400]  我們今天會看獵王記上19章1至8節
[00:00:37.400 --> 00:00:39.400]  我們今天會看這8節聖經
[00:00:39.400 --> 00:00:41.400]  這都是我的翻譯
[00:00:41.400 --> 00:00:43.400]  中文和英文
[00:00:43.400 --> 00:00:47.400]  我希望我們能夠多看一點
[00:00:47.400 --> 00:00:51.400]  我們先說幾節聖經
[00:00:51.400 --> 00:00:59.880]  他這樣說,他把伊利亞殺伯力仙之事告訴耶穌
[00:00:59.880 --> 00:01:04.840]  關於伊利亞所作的,他將所有伯力仙之都殺於劍下
[00:01:04.840 --> 00:01:06.840]  第二節
[00:01:06.840 --> 00:01:08.840]  耶穌就差一點到伊利亞說
[00:01:08.840 --> 00:01:12.280]  現在神明所作的,將會更厲害
[00:01:12.280 --> 00:01:14.280]  這句說話其實翻譯不到
[00:01:14.280 --> 00:01:16.280]  不過我隨便翻譯
[00:01:16.280 --> 00:01:18.280]  其實意思是
[00:01:18.280 --> 00:01:21.280]  如果神做在我身上
[00:01:21.280 --> 00:01:23.280]  但願祂做得更多在我身上
[00:01:23.280 --> 00:01:30.280]  其實這句說話是古代近東文化裡的誓言
[00:01:30.280 --> 00:01:33.280]  意思是我現在起誓
[00:01:33.280 --> 00:01:35.280]  所以如果直譯中文的話
[00:01:35.280 --> 00:01:37.280]  大約是這樣
[00:01:37.280 --> 00:01:39.280]  不要理,不要明白
[00:01:39.280 --> 00:01:41.280]  其實翻譯完之後也是
[00:01:41.280 --> 00:01:43.280]  意思是明天在這個時候
[00:01:43.280 --> 00:01:46.280]  我要將你的性命
[00:01:46.280 --> 00:01:49.280]  好像與伯力仙之的性命一樣
[00:01:49.280 --> 00:01:51.280]  意思是你殺了伯力仙之
[00:01:51.280 --> 00:01:54.280]  明天這天
[00:01:54.280 --> 00:01:56.280]  我要將你的性命
[00:01:56.280 --> 00:01:58.280]  像你殺伯力仙之一樣
[00:01:58.280 --> 00:01:59.280]  這就是耶西別
[00:01:59.280 --> 00:02:01.280]  猜試者跟他說的話
[00:02:01.280 --> 00:02:03.280]  第三節
[00:02:03.280 --> 00:02:06.280]  看見和懼怕這個字
[00:02:06.280 --> 00:02:08.280]  如果你看和修本的話
[00:02:08.280 --> 00:02:11.280]  他將翻譯成懼怕
[00:02:11.280 --> 00:02:14.280]  但如果純粹看和學本的話
[00:02:14.280 --> 00:02:16.280]  他翻譯成看見
[00:02:16.280 --> 00:02:21.280]  原文看見和懼怕這個字
[00:02:21.280 --> 00:02:24.280]  只不過是多了一個逗點
[00:02:24.280 --> 00:02:26.280]  先這樣理解
[00:02:26.280 --> 00:02:28.280]  其實只是多了一個很小的字母
[00:02:28.280 --> 00:02:33.280]  所以基本上我們不是很翻譯看見
[00:02:33.280 --> 00:02:35.280]  基本上後面的英文譯本
[00:02:35.280 --> 00:02:38.280]  或者你用七十四譯本也好
