
[00:00:00.000 --> 00:00:01.000]  (主持)平安
[00:00:01.000 --> 00:00:05.000]  很高興再次來到《Flowtruck》跟大家分享
[00:00:05.000 --> 00:00:08.000]  我今天的聲音應該不是很好
[00:00:08.000 --> 00:00:10.400]  因為由今早開會見人
[00:00:10.400 --> 00:00:12.000]  一直到現在都有點累
[00:00:12.000 --> 00:00:15.200]  不過希望都沒有甚麼影響
[00:00:15.200 --> 00:00:18.600]  我們是否有經文可以看看呢?
[00:00:18.600 --> 00:00:24.400]  跟大家分享一段我自己早前
[00:00:24.400 --> 00:00:28.000]  靈修的時候很感觸的一段經文
[00:00:28.800 --> 00:00:31.400]  在開始之前我們同心祈禱好嗎?
[00:00:31.400 --> 00:00:34.400]  聖靈求你來到我們當中
[00:00:34.400 --> 00:00:36.400]  我們都懷著不同的心情
[00:00:36.400 --> 00:00:39.400]  不同的身軀可能有疲乏、有精神
[00:00:39.400 --> 00:00:42.400]  或者我們依然有一些重擔
[00:00:42.400 --> 00:00:44.400]  或者掛慮纏擾我們
[00:00:44.400 --> 00:00:46.800]  求你來到我們當中
[00:00:46.800 --> 00:00:48.400]  讓你的話語
[00:00:48.400 --> 00:00:50.400]  開我們的眼睛、開我們的耳朵
[00:00:50.400 --> 00:00:53.400]  讓我們在這個亂世、困擾裏面
[00:00:53.400 --> 00:00:54.800]  抓緊你自己
[00:00:54.800 --> 00:00:57.800]  讓我們在每一天能夠見到主你自己同在
[00:00:58.200 --> 00:01:00.400]  讓我們知道你是掌管明天
[00:01:00.400 --> 00:01:03.800]  並且我們好好活每一天的日子
[00:01:03.800 --> 00:01:05.800]  (聖詩)
[00:01:05.800 --> 00:01:08.600]  今天跟大家分享一段
[00:01:08.600 --> 00:01:11.200]  我相信可能會陌生一點的經文
[00:01:11.200 --> 00:01:14.200]  就是在《事司記》第四章
[00:01:14.200 --> 00:01:19.400]  我相信不需要去否認或者猜度
[00:01:19.400 --> 00:01:21.400]  這一年多兩年
[00:01:21.400 --> 00:01:25.800]  香港、全世界都應該過得不是很好
[00:01:25.800 --> 00:01:27.800]  我們大家崇拜很多困難
[00:01:27.800 --> 00:01:29.400]  戴著口罩諸如此類
[00:01:29.400 --> 00:01:33.400]  我們要學很多新的東西
[00:01:33.400 --> 00:01:37.400]  例如龍蝦和國安的關係
[00:01:37.400 --> 00:01:40.800]  我們要適應很多新的常態
[00:01:40.800 --> 00:01:42.800]  我們不知道前景會怎樣
[00:01:42.800 --> 00:01:45.200]  所以選了一段
[00:01:45.200 --> 00:01:48.800]  我覺得給我們很多鼓舞的經文
[00:01:48.800 --> 00:01:50.600]  前路是怎樣我們不知道
[00:01:50.600 --> 00:01:51.400]  如果你有留意
[00:01:51.400 --> 00:01:55.400]  近年有很多關於末日情懷的數據
[00:01:55.400 --> 00:01:57.200]  近年很有趣
[00:01:57.200 --> 00:02:00.200]  不知道是否因為世界有太多事情發生
[00:02:00.200 --> 00:02:05.200]  大家熱衷了對末日和對這種想像
[00:02:05.200 --> 00:02:09.600]  其實反映我們對當下的生活沒有信心
[00:02:09.600 --> 00:02:11.200]  在這樣的情況下
[00:02:11.200 --> 00:02:13.000]  我想跟大家分享這段經文
[00:02:13.000 --> 00:02:17.400]  這段經文是猶太人在他們的歷史中
[00:02:17.400 --> 00:02:19.600]  一個很重要的分水嶺
[00:02:19.600 --> 00:02:21.400]  在這個分水嶺中
[00:02:21.400 --> 00:02:25.600]  你會看到他們面對無論內外有很多困難
[00:02:25.600 --> 00:02:27.000]  在這些困難中
[00:02:27.200 --> 00:02:28.800]  到底他們如何找緊上帝
[00:02:28.800 --> 00:02:33.200]  又或者他們在這次事件中學到甚麼呢
[00:02:33.200 --> 00:02:36.800]  我先邀請大家一起去重讀這段經文
[00:02:36.800 --> 00:02:37.400]  有少許長
[00:02:37.400 --> 00:02:38.600]  一至二十四節
[00:02:38.600 --> 00:02:40.600]  不如我們請弟兄讀單節
[00:02:40.600 --> 00:02:41.600]  姐妹讀雙節
[00:02:41.600 --> 00:02:42.800]  我們有基本的概念
[00:02:42.800 --> 00:02:44.000]  因為可能陌生一點
[00:02:44.000 --> 00:02:45.400]  好 預備
[00:02:45.400 --> 00:02:46.000]  我們開始
[00:02:46.000 --> 00:02:47.400]  弟兄第一節預備起
[00:02:47.400 --> 00:02:52.400]  「已忽死後,以色列人又行,又話眼中為惡的事」
[00:02:52.400 --> 00:02:54.400]  這段經文是在說
[00:02:54.400 --> 00:02:58.400]  以色列人面對一個內外交困的局面
[00:02:58.400 --> 00:03:00.400]  如果你有留意
[00:03:00.400 --> 00:03:01.800]  在前後的經文你會看到
[00:03:01.800 --> 00:03:03.400]  其實在士司記的頭
[00:03:03.400 --> 00:03:04.200]  是在說
[00:03:04.200 --> 00:03:07.800]  其實南北各個支派是未統一的
[00:03:07.800 --> 00:03:11.600]  內部有很多的爭執爭吵
[00:03:11.600 --> 00:03:14.000]  而對外大家有少許背景
[00:03:14.000 --> 00:03:14.800]  你都記得
