
[00:00:00.000 --> 00:00:02.000]  你好嗎?
[00:00:02.000 --> 00:00:10.400]  這是我小學時學英語繪畫的第一句
[00:00:10.400 --> 00:00:12.800]  「你今天怎樣?」
[00:00:12.800 --> 00:00:18.200]  不知道你當時的練習是怎樣
[00:00:18.200 --> 00:00:22.800]  我記得我小時候要考英語繪畫
[00:00:22.800 --> 00:00:25.000]  要做這樣的對答
[00:00:27.600 --> 00:00:30.000]  香港人的日子如何?力量也如何?
[00:00:30.000 --> 00:00:32.800]  不知道你看到今天的講題時
[00:00:32.800 --> 00:00:34.400]  你的聯想是甚麼?
[00:00:34.400 --> 00:00:38.800]  又或者你的想法是甚麼?
[00:00:38.800 --> 00:00:43.800]  但在我教會的日子當中
[00:00:43.800 --> 00:00:47.800]  我發覺不同年代的人認識這句說話都不同
[00:00:47.800 --> 00:00:51.200]  我的年代很明顯知道是金句
[00:00:51.200 --> 00:00:53.000]  「你的日子如何?力量也如何?」
[00:00:53.000 --> 00:00:55.600]  到我大青少年時工的時候
[00:00:55.640 --> 00:00:58.800]  他們的作句不是這樣的
[00:00:58.800 --> 00:01:01.400]  他們會加一些東西進去
[00:01:01.400 --> 00:01:03.480]  或者用代替
[00:01:03.480 --> 00:01:07.000]  「你的樣子如何?你的日子也如何?」
[00:01:07.000 --> 00:01:10.640]  應該都聽過了,對吧?
[00:01:10.640 --> 00:01:14.000]  或者希望不要經歷過
[00:01:14.000 --> 00:01:18.480]  是的,提起這些造句
[00:01:18.480 --> 00:01:23.800]  教會有很多MEME都會用這些所謂的影射
[00:01:23.840 --> 00:01:28.480]  或者大家抽一下水、笑一下
[00:01:28.480 --> 00:01:31.640]  但其實這段經文對於弟兄姊妹來說
[00:01:31.640 --> 00:01:33.280]  可能都不陌生
[00:01:33.280 --> 00:01:38.000]  這段經文來自《生命記》的經文
[00:01:38.000 --> 00:01:41.640]  在《生命記》第33章的經文中
[00:01:41.640 --> 00:01:47.600]  關於摩西衛道準備要進入加南真賤的
[00:01:47.600 --> 00:01:50.600]  十二支派做一個祝福
[00:01:50.600 --> 00:01:52.920]  如果大家有聽過我之前說
[00:01:52.960 --> 00:01:55.080]  《生命記》第34章
[00:01:55.080 --> 00:01:56.480]  用摩西的幻歌
[00:01:56.480 --> 00:01:58.720]  最後他唱的詩歌
[00:01:58.720 --> 00:02:06.760]  與他預示自己將會離開他們的內容的時候
[00:02:06.760 --> 00:02:08.760]  我那篇講述了一張
[00:02:08.760 --> 00:02:12.120]  「上帝視覺是關於漢建的樂題」
[00:02:12.120 --> 00:02:18.800]  我自己表達過很喜歡摩西的心情
[00:02:18.840 --> 00:02:23.080]  以及他覺得他已經完成了上帝給他的使命
[00:02:23.080 --> 00:02:26.320]  他的日子已經過去了
[00:02:26.320 --> 00:02:31.040]  他如何去總結他自己的人生呢?
[00:02:31.040 --> 00:02:36.720]  33章就是摩西衛道的十二支派去祝福
[00:02:36.720 --> 00:02:41.520]  其實這段經文很簡單
[00:02:41.520 --> 00:02:42.840]  我們一起讀
[00:02:42.840 --> 00:02:46.600]  《生命記》第33章第24節請
[00:02:46.600 --> 00:02:48.280]  OK,謝謝
[00:02:48.320 --> 00:02:52.520]  這段經文其實就是剛才說到摩西的祝福
[00:02:52.520 --> 00:02:54.400]  其實阿徹這個支派
[00:02:54.400 --> 00:02:56.200]  應該是十二支派之前
[00:02:56.200 --> 00:02:58.400]  都得著他父親的祝福
[00:02:58.400 --> 00:02:59.160]  亞國
[00:02:59.160 --> 00:03:01.560]  所以和大家看看
[00:03:01.560 --> 00:03:03.000]  亞國的祝福的時候
[00:03:03.000 --> 00:03:05.280]  對於這個支派的內容是什麼呢?
[00:03:05.280 --> 00:03:07.320]  《初世紀》第49章第20節就是
[00:03:07.320 --> 00:03:11.400]  「阿徹的食物豐美,他必出君王的微微」
[00:03:11.400 --> 00:03:15.760]  其實關於祝福這個阿徹的支派的時候
[00:03:15.760 --> 00:03:17.240]  大家可能對阿徹不太熟悉
[00:03:17.280 --> 00:03:19.080]  因為他是第八國的兒子
[00:03:19.080 --> 00:03:20.400]  通常到了第八國的時候
[00:03:20.400 --> 00:03:23.240]  都可能已經忘記了他還有兒子
[00:03:23.240 --> 00:03:24.360]  就好像大衛那樣
[00:03:24.360 --> 00:03:25.120]  太多了
[00:03:25.120 --> 00:03:26.800]  放了羊也不知道
[00:03:26.800 --> 00:03:30.760]  他也不是出名門
[00:03:30.760 --> 00:03:34.040]  因為他是利亞的僕女
[00:03:34.040 --> 00:03:36.800]  息帕所生的兒子
[00:03:36.800 --> 00:03:40.840]  但阿徹本身就是福樂的意思
[00:03:40.840 --> 00:03:45.200]  對於阿徹在亞國的祝福
[00:03:45.240 --> 00:03:48.160]  和他的支派在摩西的祝福裡面
[00:03:48.160 --> 00:03:49.640]  有什麼共通點呢?
[00:03:49.640 --> 00:03:52.400]  你會發覺風聲是其中一個很重要的
[00:03:52.400 --> 00:03:54.240]  另外關於微微
[00:03:54.240 --> 00:03:58.520]  也是他們在祝福當中共通的地方
[00:03:58.520 --> 00:04:00.600]  看回新義的第三十三章
[00:04:00.600 --> 00:04:01.640]  今天的經文裡面
[00:04:01.640 --> 00:04:04.880]  在這句金句出處的時候
[00:04:04.880 --> 00:04:05.920]  論到阿徹的就是
[00:04:05.920 --> 00:04:08.480]  「願阿徹享受多自的福樂」
[00:04:08.480 --> 00:04:10.080]  這是和本的翻譯
[00:04:10.080 --> 00:04:12.960]  但新義本的翻譯比較貼近
[00:04:13.000 --> 00:04:16.880]  「願阿徹的福樂勝於眾子」
[00:04:16.880 --> 00:04:18.680]  不是生很多兒子的意思
[00:04:18.680 --> 00:04:22.240]  是比其他眾子當中都多福樂
[00:04:22.240 --> 00:04:23.680]  「得弟兄的喜悅
[00:04:23.680 --> 00:04:25.600]  可以把腳站在油中
