
[00:00:00.000 --> 00:00:07.000]  過去兩個星期我們一直看巴別塔的經文
[00:00:07.000 --> 00:00:11.000]  今天來到一道三吃講道系列的最後一篇
[00:00:11.000 --> 00:00:14.000]  如果你跟足之前兩堂講道的話
[00:00:14.000 --> 00:00:18.000]  你應該會記得第一篇潘Sir教導我們
[00:00:18.000 --> 00:00:20.000]  不要將上帝看成自己的寵物
[00:00:20.000 --> 00:00:23.000]  不要用自己的方法來安排上帝
[00:00:23.000 --> 00:00:27.000]  真正的信仰不是操控是信服
[00:00:27.000 --> 00:00:29.000]  不是指揮上帝而是被上帝帶領
[00:00:29.000 --> 00:00:32.000]  上星期嘉Sir也分享到
[00:00:32.000 --> 00:00:36.000]  巴別塔的散落其實不是一場奏助
[00:00:36.000 --> 00:00:39.000]  而是一個上帝的遷移
[00:00:39.000 --> 00:00:42.000]  上帝分散我們離開我們以前的教會
[00:00:42.000 --> 00:00:47.000]  為了讓我們在一個新的地方重新求告耶和華的名
[00:00:47.000 --> 00:00:50.000]  今天來到我們第三篇講道
[00:00:50.000 --> 00:00:52.000]  我自己預備這篇講道的時候
[00:00:52.000 --> 00:00:55.000]  早就跟另外兩位講員放口風
[00:00:55.000 --> 00:01:00.000]  說巴別塔故事是想講宗教語言這個題目
[00:01:00.000 --> 00:01:03.000]  不知道為什麼他們都沒有跟我撞題
[00:01:03.000 --> 00:01:06.000]  或者根本都不知道該講什麼題目
[00:01:06.000 --> 00:01:08.000]  我也不知道
[00:01:08.000 --> 00:01:11.000]  不過對我來說巴別塔的故事
[00:01:11.000 --> 00:01:14.000]  對我來說一個很重要的問題
[00:01:14.000 --> 00:01:17.000]  就是其實語言的混亂
[00:01:17.000 --> 00:01:20.000]  很多不同的語言的出現
[00:01:20.000 --> 00:01:23.000]  其實是不是上帝一種的懲罰
[00:01:23.000 --> 00:01:25.000]  語言的變亂
[00:01:25.000 --> 00:01:29.000]  上帝是不是真的用語言的變亂來懲罰他們
[00:01:29.000 --> 00:01:35.000]  即方文如果你仔細翻開創世紀第十一章的時候
[00:01:35.000 --> 00:01:38.000]  你會發現其實從頭到尾
[00:01:38.000 --> 00:01:44.000]  聖經都沒有提過懲罰、憤怒、罪這些字眼
[00:01:44.000 --> 00:01:47.000]  聖經記載說上帝就下去看一看
[00:01:47.000 --> 00:01:51.000]  然後就說我們下去在那裡變亂他們的口音
[00:01:51.000 --> 00:01:56.000]  就很敘事地講了那個事情
[00:01:56.000 --> 00:02:01.000]  聖經沒有完全將語言的多元化
[00:02:01.000 --> 00:02:04.000]  去標籤為一種懲罰
[00:02:04.000 --> 00:02:05.000]  沒有的
[00:02:05.000 --> 00:02:07.000]  一點都沒有的
[00:02:07.000 --> 00:02:09.000]  最少如果你說懲罰
[00:02:09.000 --> 00:02:11.000]  今天你學英文就是懲罰
[00:02:11.000 --> 00:02:14.000]  你小時候中五學英文就是一種懲罰
[00:02:14.000 --> 00:02:15.000]  是的
[00:02:15.000 --> 00:02:17.000]  很多人都是懲罰
[00:02:17.000 --> 00:02:21.000]  但是語言其實不是一種咒詛
[00:02:21.000 --> 00:02:24.000]  我們有很多不同的語言出現
[00:02:24.000 --> 00:02:27.000]  人類變亂口音很多不同的方言
[00:02:27.000 --> 00:02:29.000]  不同國家的語言
[00:02:29.000 --> 00:02:33.000]  其實是上帝自己的工作
[00:02:33.000 --> 00:02:37.000]  實際上巴別塔的故事是一個叫做Ideology
[00:02:37.000 --> 00:02:40.000]  不知道大家知不知道什麼叫做Ideology
[00:02:40.000 --> 00:02:43.000]  就是一個叫做人類起源的故事
[00:02:43.000 --> 00:02:49.000]  Ideology就是說去解釋人類不同事情的起源發生
[00:02:49.000 --> 00:02:51.000]  比如說人類為什麼會有彩虹
[00:02:51.000 --> 00:02:53.000]  原來因為是羅亞方舟
[00:02:53.000 --> 00:02:55.000]  為什麼會開始要工作
[00:02:55.000 --> 00:02:59.000]  原來第三章裡面人就要犯罪受勞苦
[00:02:59.000 --> 00:03:00.000]  為什麼要安息
