
[00:00:00.000 --> 00:00:03.960]  很感謝各位願意唱新歌的弟兄姊妹
[00:00:03.960 --> 00:00:06.560]  對你們來說可能很新
[00:00:06.560 --> 00:00:10.360]  又要拍手又要跟歌詞
[00:00:10.360 --> 00:00:13.440]  值得在網上再看一看
[00:00:13.440 --> 00:00:15.440]  因為我們有些效果在裡面
[00:00:15.440 --> 00:00:17.440]  所以 啊!
[00:00:17.440 --> 00:00:18.880]  值得回去看看
[00:00:18.880 --> 00:00:20.320]  現場是看不到的
[00:00:20.320 --> 00:00:22.320]  網上的弟兄姊妹就看到了
[00:00:22.320 --> 00:00:25.120]  值得回去再學一下這首新歌
[00:00:25.120 --> 00:00:28.480]  我相信在基督教有很多詩歌
[00:00:28.480 --> 00:00:31.080]  對於大家來說是很闊的
[00:00:31.080 --> 00:00:33.920]  整個群體的學習過程
[00:00:33.920 --> 00:00:38.280]  整件事當中大家一起去有不同的探索
[00:00:38.280 --> 00:00:43.360]  今天就講關於樂題的內容
[00:00:43.360 --> 00:00:45.360]  關於上莊
[00:00:45.360 --> 00:00:47.360]  第一章不會出相片的
[00:00:47.360 --> 00:00:48.680]  不用太快期望
[00:00:48.680 --> 00:00:52.760]  講完就說10月就看看出什麼相片
[00:00:52.760 --> 00:00:56.280]  先讀讀經
[00:00:56.280 --> 00:01:00.600]  今天選的經文是雅各書二章的經文
[00:01:00.600 --> 00:01:02.360]  可能對弟兄姊妹來說
[00:01:02.360 --> 00:01:05.800]  初信的時候或以往都查過雅各書
[00:01:05.800 --> 00:01:08.400]  今天我們就看第二章的選段
[00:01:08.400 --> 00:01:11.600]  我們一起讀選段的經文
[00:01:11.600 --> 00:01:13.800]  雅各書第二章第一節
[00:01:13.800 --> 00:01:14.360]  請
[00:01:14.360 --> 00:01:18.360]  天上帝母當我打開你的說話的時候
[00:01:18.360 --> 00:01:22.080]  你對你的子民所教導的
[00:01:22.080 --> 00:01:25.080]  從開初到現在沒有過時
[00:01:25.480 --> 00:01:27.680]  今天我們仍然經歷在其中
[00:01:27.680 --> 00:01:29.680]  求聖靈在當中督澤
[00:01:29.680 --> 00:01:31.680]  求聖靈在當中教導
[00:01:31.680 --> 00:01:35.280]  求聖靈在當中改正我們
[00:01:35.280 --> 00:01:37.280]  以致我們在新的群體
[00:01:37.280 --> 00:01:39.280]  新的關係建立當中
[00:01:39.280 --> 00:01:42.280]  是蒙上帝你所喜悅
[00:01:42.280 --> 00:01:45.680]  在當中繼續做上帝
[00:01:45.680 --> 00:01:48.680]  你想要我們做屬靈群體的表現
[00:01:48.680 --> 00:01:49.880]  求主你幫助
[00:01:49.880 --> 00:01:51.480]  祈禱奉耶穌的名
[00:01:51.480 --> 00:01:52.280]  阿們
[00:01:52.480 --> 00:01:54.880]  今天你聽到這段經文
[00:01:54.880 --> 00:01:56.480]  可能重溫了一段日子
[00:01:56.480 --> 00:01:59.680]  今天講題是莊園的關係
[00:01:59.680 --> 00:02:02.080]  一講到關係
[00:02:02.080 --> 00:02:03.480]  可能有些頂梓妹就
[00:02:03.480 --> 00:02:04.480]  唉
[00:02:04.480 --> 00:02:07.080]  又或者對你來說
[00:02:07.080 --> 00:02:09.080]  關係是一個很糾纏的事
[00:02:09.080 --> 00:02:11.280]  因為你每去一個新的群體當中
[00:02:11.280 --> 00:02:13.080]  你就會建立關係
[00:02:13.080 --> 00:02:14.480]  你去一個新的群體當中
[00:02:14.480 --> 00:02:16.880]  你就期望一些你想建立的關係
[00:02:16.880 --> 00:02:20.480]  總會有些人就會在一個群體當中
[00:02:20.480 --> 00:02:22.080]  想建立關係當中
[00:02:22.080 --> 00:02:23.880]  他就會改一個新的名字
[00:02:23.880 --> 00:02:25.680]  不知道你有沒有試過
[00:02:25.680 --> 00:02:28.680]  因為我自己就比較
[00:02:28.680 --> 00:02:30.280]  來來去去都是那幾個名字
[00:02:30.280 --> 00:02:31.280]  沒有什麼特別
[00:02:31.280 --> 00:02:33.880]  但是有時候就是那些群體
[00:02:33.880 --> 00:02:35.480]  叫我那個名字的時候
[00:02:35.480 --> 00:02:38.080]  我就立刻想起那時候的關係
[00:02:38.080 --> 00:02:39.280]  不知道你有沒有這樣
[00:02:39.280 --> 00:02:41.480]  什麼人叫你什麼名字
[00:02:41.480 --> 00:02:42.880]  就想起那個關係
[00:02:42.880 --> 00:02:44.280]  什麼人叫你什麼名字
[00:02:44.280 --> 00:02:46.280]  就想起那段時光
[00:02:46.280 --> 00:02:48.680]  莊園的關係對我來說
[00:02:48.680 --> 00:02:51.080]  大學的上莊對我來說
[00:02:51.080 --> 00:02:54.680]  不是今天要分享的內容
[00:02:54.680 --> 00:02:56.280]  但是有兩個群體
[00:02:56.280 --> 00:02:58.280]  一群人一起做一些事情
[00:02:58.280 --> 00:03:00.480]  有兩個群體對我的靈命
[00:03:00.480 --> 00:03:02.880]  或者對我的生命有很大影響
[00:03:02.880 --> 00:03:05.280]  那兩個群體是什麼群體呢
[00:03:05.280 --> 00:03:07.480]  就出兩張相片給大家看看
[00:03:07.480 --> 00:03:09.480]  好了
[00:03:09.480 --> 00:03:15.480]  (笑聲)
[00:03:15.480 --> 00:03:18.480]  笑吧笑吧
[00:03:18.480 --> 00:03:23.480]  沒什麼機會的了
[00:03:23.480 --> 00:03:27.480]  首先說說上方那張
[00:03:27.480 --> 00:03:28.480]  穿灰色衣服的那張
[00:03:28.480 --> 00:03:29.480]  那個是我來的
[00:03:29.480 --> 00:03:31.480]  現在也有很多頭髮了
[00:03:31.480 --> 00:03:35.480]  那個群體是
[00:03:35.480 --> 00:03:37.480]  是我在籃球隊的群體
[00:03:37.480 --> 00:03:40.480]  我是90年代初期的福音籃球隊
[00:03:40.480 --> 00:03:42.480]  當中信耶穌的
[00:03:42.480 --> 00:03:47.480]  在當中去認識教會
[00:03:47.480 --> 00:03:49.480]  認識一些群體
[00:03:49.480 --> 00:03:51.480]  旁邊那個是一個美籍的華人
[00:03:51.480 --> 00:03:53.480]  每年暑假
[00:03:53.480 --> 00:03:55.480]  我都會跟那些美國的
[00:03:55.480 --> 00:03:59.480]  看體試工的團體
[00:03:59.480 --> 00:04:01.480]  或者一班弟兄姊妹
[00:04:01.480 --> 00:04:04.480]  就會經香港做一些
[00:04:04.480 --> 00:04:06.480]  看體試工的訓練
[00:04:06.480 --> 00:04:08.480]  或者訊息分享
[00:04:08.480 --> 00:04:10.480]  然後就陪他們回內地
[00:04:10.480 --> 00:04:12.480]  我主要負責幫他們看中文
