
[00:00:00.000 --> 00:00:05.000]  很開心見到大家,有些熟悉面孔,有些是新面孔
[00:00:05.000 --> 00:00:12.000]  因為我今天在外面登記的時候,都盡量去認識一下人名,背對一下
[00:00:12.000 --> 00:00:20.000]  今天的講題的內容,可能大家都聯想到是關於什麼經文的
[00:00:20.000 --> 00:00:30.000]  這個禮拜的文宣,不知道大家看完之後會不會有一些期望
[00:00:30.000 --> 00:00:36.000]  你看到它是躺平的,會不會期望到
[00:00:36.000 --> 00:00:45.000]  信息說四不,不結婚,不買樓,不生小孩,不消費
[00:00:45.000 --> 00:00:52.000]  這些潮文我是不會講的,所以不要期望我講躺平文化,躺平正義
[00:00:52.000 --> 00:00:59.000]  不是那樣的,但是今天的事主,事主即是當事人
[00:00:59.000 --> 00:01:05.000]  真的躺了很久,那件事是發生在不事大辭
[00:01:05.000 --> 00:01:12.000]  我還記得我帶初中生查經的時候,他們說不事大辭,即是世辭
[00:01:12.000 --> 00:01:19.000]  這些gag位是中學生很認真地想出來的
[00:01:19.000 --> 00:01:31.000]  對於我來說,今天是一個不事大的盼望,也是我的講題其中一個重點
[00:01:31.000 --> 00:01:38.000]  這段經文大家很熟悉,很快就跟大家去看一看經文內容
[00:01:38.000 --> 00:01:46.000]  這件事發生在什麼時候呢?這是《約翰福音》第五章
[00:01:46.000 --> 00:01:54.000]  第四章發生在耶穌去醫治了一個大臣的官,那是加里納第二個大臣職
[00:01:54.000 --> 00:01:59.000]  那件事發生之後,到了猶太人的節日,耶穌就上耶路撒冷去
[00:01:59.000 --> 00:02:03.000]  其實耶穌很多時候都會往返這個地方
[00:02:03.000 --> 00:02:08.000]  到了耶路撒冷的時候,耶穌很多時候都會去聖殿
[00:02:08.000 --> 00:02:14.000]  第二節,在耶路撒冷靠近陽門的一個祠,希伯來話叫做不事大
[00:02:14.000 --> 00:02:19.000]  旁邊有五個狼子,其實這些聖地的,如果去過的話
[00:02:19.000 --> 00:02:29.000]  或者是聖地的法國,或者是考古,很多時候都是想重構當時聖經文化裡面的場景
[00:02:29.000 --> 00:02:35.000]  所以有很多不同的研究或者文章都說過當時遺址上有什麼事
[00:02:35.000 --> 00:02:39.000]  你會看一些資料,或者你Google一下都知道
[00:02:39.000 --> 00:02:45.000]  其實陽門就是當時很多時候進出聖殿其中一個
[00:02:45.000 --> 00:02:54.000]  是將獻祭的羊帶過經過的門,通常走那個方向,那個門口進入,就俗稱是陽門
[00:02:54.000 --> 00:03:01.000]  如果你要了解這個不事大祠在哪裡,其實就在聖殿東北方的角落的地方
[00:03:01.000 --> 00:03:04.000]  其實它也靠近聖殿
[00:03:04.000 --> 00:03:10.000]  不事大就是Bethsaida,Beth就是House
