
[00:00:00.000 --> 00:00:04.000]  首先先聲明我沒有被鬼附
[00:00:04.000 --> 00:00:06.500]  太好了 有人懂得笑
[00:00:06.500 --> 00:00:10.000]  大家知道這個講題是一個笑話
[00:00:10.000 --> 00:00:13.500]  它是來自黃子華的一個經典的棟篤笑
[00:00:13.500 --> 00:00:17.000]  他就說 如果有人說
[00:00:17.000 --> 00:00:19.500]  我真的很喜歡上班
[00:00:19.500 --> 00:00:21.000]  是不是 不是鬼上身的
[00:00:21.000 --> 00:00:23.500]  怎會說得出這句話呢
[00:00:23.500 --> 00:00:26.000]  他很好笑 過了這麼多年
[00:00:26.000 --> 00:00:27.500]  都是很好笑的
[00:00:27.500 --> 00:00:30.500]  他很好笑是因為我們覺得他荒謬
[00:00:30.500 --> 00:00:32.000]  所以換句話說
[00:00:32.000 --> 00:00:35.500]  其實我們大部份的人都不太喜歡上班
[00:00:35.500 --> 00:00:37.500]  如果你喜歡上班的你可以舉手
[00:00:37.500 --> 00:00:39.500]  有沒有 有沒有弟兄姊妹
[00:00:39.500 --> 00:00:42.500]  為你感謝神
[00:00:42.500 --> 00:00:45.500]  大部份的人都不太喜歡上班
[00:00:45.500 --> 00:00:48.500]  就算那份工作是你很喜歡做也好
[00:00:48.500 --> 00:00:49.500]  都未必喜歡上班
[00:00:49.500 --> 00:00:54.000]  因為我們今天的職場實在太大壓力
[00:00:54.000 --> 00:00:59.500]  但我們又不能避免花很多時間上班
[00:00:59.500 --> 00:01:01.000]  如果你計算一下
[00:01:01.000 --> 00:01:03.500]  可能你一至五有三分之一的時間
[00:01:03.500 --> 00:01:06.500]  甚至更多的時間都在工作裏面
[00:01:06.500 --> 00:01:08.000]  所以換句話說
[00:01:08.000 --> 00:01:11.000]  我們面對的工作就是我們不喜歡
[00:01:11.000 --> 00:01:14.000]  我們要花很多時間去做
[00:01:14.000 --> 00:01:16.000]  你知不知道我想這個可能
[00:01:16.000 --> 00:01:19.000]  是我們今天如果要思想工作的時候
[00:01:19.000 --> 00:01:21.000]  一個很基本的問題
[00:01:21.000 --> 00:01:24.000]  就是如果我上班都不開心
[00:01:24.000 --> 00:01:26.000]  我不喜歡上班
[00:01:26.000 --> 00:01:29.000]  究竟信仰裏面我們還可以說些什麼呢
[00:01:29.000 --> 00:01:31.000]  究竟我們在信仰裏面
[00:01:31.000 --> 00:01:35.000]  可以怎樣去思考工作這件事呢
[00:01:35.000 --> 00:01:36.000]  要說這堆東西
[00:01:36.000 --> 00:01:40.000]  首先就讓我從一個故事開始說起
[00:01:40.000 --> 00:01:42.000]  是的 麻煩你
[00:01:42.000 --> 00:01:44.000]  這個故事今天就選擇了
[00:01:44.000 --> 00:01:46.000]  以私鐵技跟大家分享
[00:01:46.000 --> 00:01:48.000]  故事是這樣的
[00:01:48.000 --> 00:01:49.000]  相信大家都很熟悉
[00:01:49.000 --> 00:01:52.000]  不過就聽我很快地說一次
[00:01:52.000 --> 00:01:55.000]  話說有一個波斯皇帝
