
[00:00:00.000 --> 00:00:02.000]  好,鄧小妹平安
[00:00:02.000 --> 00:00:04.000]  (鄧小妹:謝謝)
[00:00:04.000 --> 00:00:08.000]  剛才大家有一個很好的敬拜
[00:00:08.000 --> 00:00:14.000]  剛才台上台下的聲音都非常美妙
[00:00:14.000 --> 00:00:17.000]  我經常說樓堂的敬拜是最好的
[00:00:17.000 --> 00:00:21.000]  因為是大家一起很用心的敬拜
[00:00:21.000 --> 00:00:26.000]  這篇道理本來是12月第一個星期說的
[00:00:26.000 --> 00:00:28.000]  後來因為12月初的事件
[00:00:28.000 --> 00:00:30.000]  阿廷的篇道理更加合適
[00:00:30.000 --> 00:00:32.000]  所以就跟他交換了
[00:00:32.000 --> 00:00:35.000]  所以今天這篇道理就去到12月27日才說
[00:00:35.000 --> 00:00:38.000]  不過因為延後了三個星期的緣故
[00:00:38.000 --> 00:00:41.000]  這篇道理的內容都改了不少
[00:00:41.000 --> 00:00:43.000]  加了一點聖誕的訊息
[00:00:43.000 --> 00:00:48.000]  加了一點2025年年尾最後一個崇拜港島的訊息
[00:00:48.000 --> 00:00:51.000]  當然也有過關的訊息
[00:00:51.000 --> 00:00:54.000]  所以後來我把講題也改了
[00:00:54.000 --> 00:00:55.000]  本來講題不是這樣的
[00:00:55.000 --> 00:00:58.000]  本來是等過關
[00:00:58.000 --> 00:01:00.000]  完全不同意思
[00:01:00.000 --> 00:01:02.000]  簡單的字就吹噓了
[00:01:02.000 --> 00:01:08.000]  本來過關是關於這些東西
[00:01:08.000 --> 00:01:15.000]  譬如護照、回鄉證、排隊、行李入境
[00:01:15.000 --> 00:01:19.000]  本來想說一篇這樣的過關港島
[00:01:19.000 --> 00:01:24.000]  但我找了很久究竟有什麼經文是有關於過關的呢
[00:01:24.000 --> 00:01:25.000]  在聖經裡面
[00:01:25.000 --> 00:01:28.000]  我找了很久也找到了
[00:01:28.000 --> 00:01:30.000]  在舊的文素記裡面
[00:01:30.000 --> 00:01:33.000]  有一段經文是關於入境的
[00:01:33.000 --> 00:01:35.000]  入境過關的經文
[00:01:35.000 --> 00:01:36.000]  所以今天就特意
[00:01:36.000 --> 00:01:40.000]  我預備了兩個月就特意講一篇有關入境過關的經文
[00:01:40.000 --> 00:01:42.000]  跟大家一起去看
[00:01:42.000 --> 00:01:45.000]  文素記第二集雙語經文
[00:01:45.000 --> 00:01:46.000]  我們一起讀
[00:01:46.000 --> 00:01:47.000]  一二三
[00:01:47.000 --> 00:01:49.000]  我們一起祈禱
[00:01:49.000 --> 00:01:50.000]  天父地求祢
[00:01:50.000 --> 00:01:52.000]  致下祢的恩賢
[00:01:52.000 --> 00:01:54.000]  叫到我們每一個人
[00:01:54.000 --> 00:01:55.000]  屬於祢的子民
[00:01:55.000 --> 00:01:58.000]  我們的生命再次被更生
[00:01:58.000 --> 00:02:01.000]  在2025年裡面最後一個崇拜
[00:02:01.000 --> 00:02:04.000]  我們一起獻上我們的生命
[00:02:04.000 --> 00:02:07.000]  我們專心來聆聽祢的教誨
[00:02:07.000 --> 00:02:08.000]  求主祢幫助我們
[00:02:08.000 --> 00:02:09.000]  更生我們
[00:02:09.000 --> 00:02:10.000]  幫助孩子
[00:02:10.000 --> 00:02:12.000]  讓他們能夠清楚地說出祢的話
[00:02:12.000 --> 00:02:13.000]  奉主命求
[00:02:13.000 --> 00:02:14.000]  阿們
[00:02:14.000 --> 00:02:18.000]  這段經文是以色列人過關的經文
[00:02:18.000 --> 00:02:22.000]  發生在以色列在曠野40年裡面
[00:02:22.000 --> 00:02:23.000]  最後一年
[00:02:23.000 --> 00:02:25.000]  裡面的時間
[00:02:25.000 --> 00:02:26.000]  大家知道
[00:02:26.000 --> 00:02:28.000]  以色列人出埃及之後
[00:02:28.000 --> 00:02:30.000]  在曠野裡面漂流了40年
[00:02:30.000 --> 00:02:33.000]  在這段經文之前
[00:02:33.000 --> 00:02:34.000]  大家也要了解一下
[00:02:34.000 --> 00:02:37.000]  以色列人在曠野裡面漂流40年
[00:02:37.000 --> 00:02:39.000]  究竟是一回什麼事情
[00:02:39.000 --> 00:02:45.000]  其實以色列沒有詳細記載整個40年
[00:02:45.000 --> 00:02:47.000]  在摩西五經裡面
[00:02:47.000 --> 00:02:50.000]  由他們出埃及開始
[00:02:50.000 --> 00:02:54.000]  大概是頭幾年的時間
[00:02:54.000 --> 00:02:57.000]  最後漂流了兩個月的時間
[00:02:57.000 --> 00:02:59.000]  所以中間的30多年
[00:02:59.000 --> 00:03:01.000]  基本上是跳過了
[00:03:01.000 --> 00:03:03.000]  沒有記載
[00:03:03.000 --> 00:03:08.000]  只是說頭幾年和最後幾年中間的事情
[00:03:08.000 --> 00:03:12.000]  所以基本上是在出埃及的下半部
[00:03:12.000 --> 00:03:15.000]  文素的1614章
[00:03:15.000 --> 00:03:21.000]  所說的就是以色列人頭兩年在曠野開始的時間
[00:03:21.000 --> 00:03:23.000]  而文素的第20章
[00:03:23.000 --> 00:03:27.000]  說的是他們最後兩年發生的事情
[00:03:27.000 --> 00:03:29.000]  大概就是這樣
[00:03:29.000 --> 00:03:30.000]  所以第一個
[00:03:30.000 --> 00:03:34.000]  其實這邊沒有說整個40年
[00:03:34.000 --> 00:03:38.000]  只是說了頭頭尾尾兩個月的時間
[00:03:38.000 --> 00:03:40.000]  今天經文正義是說什麼
[00:03:40.000 --> 00:03:41.000]  就是說曠野
[00:03:41.000 --> 00:03:45.000]  在以色列最後一年發生的事情
[00:03:45.000 --> 00:03:47.000]  大家可能不知道
[00:03:47.000 --> 00:03:50.000]  這些人在以色列是做什麼的
[00:03:50.000 --> 00:03:52.000]  是怎樣走的
[00:03:52.000 --> 00:03:55.000]  其實走40年沒可能走這麼久
[00:03:55.000 --> 00:03:58.000]  這麼小的地方也沒可能走這麼久
[00:03:58.000 --> 00:04:02.000]  如果你看文素記第33章的話
[00:04:02.000 --> 00:04:07.000]  你會發現有一個很詳細的行程表
[00:04:07.000 --> 00:04:09.000]  文素記第33章有42個地方名
[00:04:09.000 --> 00:04:14.000]  說的是他們在以色列漂流的42個站
[00:04:14.000 --> 00:04:15.000]  是怎樣的
[00:04:15.000 --> 00:04:16.000]  很詳細的說出來
[00:04:16.000 --> 00:04:18.000]  看到了
[00:04:18.000 --> 00:04:23.000]  在曠野的第一站就是蘭室的地方
[00:04:23.000 --> 00:04:27.000]  最後就是鵝鴨平原
[00:04:27.000 --> 00:04:31.000]  所以這班人在以色列不斷在不同的站內移動
[00:04:31.000 --> 00:04:33.000]  漂流
[00:04:33.000 --> 00:04:37.000]  由西面走到東面
[00:04:37.000 --> 00:04:42.000]  大概一兩年就會去一個地方
[00:04:42.000 --> 00:04:44.000]  去找新的水源
[00:04:44.000 --> 00:04:46.000]  新的木草地方
[00:04:46.000 --> 00:04:48.000]  新的地方去紮營
[00:04:48.000 --> 00:04:51.000]  現在很流行去露營
[00:04:51.000 --> 00:04:53.000]  Snow Peak
[00:04:53.000 --> 00:04:56.000]  其實很多年前就有這樣的東西
[00:04:56.000 --> 00:04:58.000]  在西面走到東面
[00:04:58.000 --> 00:05:01.000]  大家一齊集體去露營
[00:05:01.000 --> 00:05:02.000]  這樣去生活
[00:05:02.000 --> 00:05:04.000]  不過和Snow Peak不同
[00:05:04.000 --> 00:05:09.000]  他們是一個更加巨型的露營
[00:05:09.000 --> 00:05:11.000]  不是三五知己去玩
[00:05:11.000 --> 00:05:13.000]  也不是幾百人
[00:05:13.000 --> 00:05:20.000]  才會有兩三百萬人一起露營
[00:05:20.000 --> 00:05:22.000]  這是很厲害的事情
[00:05:22.000 --> 00:05:25.000]  Fourshot 搞攝影機的都很累
[00:05:25.000 --> 00:05:28.000]  幾百人搞攝影機是我不想搞的事情
[00:05:28.000 --> 00:05:30.000]  何況是二百萬人
[00:05:30.000 --> 00:05:34.000]  一齊集體露營是不簡單的事情
[00:05:34.000 --> 00:05:36.000]  一個非常龐大的群體
