
[00:00:00.000 --> 00:00:04.460]  我想這條片應該看過很多次了
[00:00:04.460 --> 00:00:06.460]  對於你來說
[00:00:06.460 --> 00:00:08.900]  但要選擇不同的戲
[00:00:08.900 --> 00:00:12.900]  過程當中我自己就有很多選擇困難
[00:00:12.900 --> 00:00:17.100]  因為我自己有幾套戲都很想講的
[00:00:17.100 --> 00:00:21.400]  譬如我對我自己的生命改變大的
[00:00:21.400 --> 00:00:23.100]  譬如是《森林金》
[00:00:23.100 --> 00:00:25.400]  《Savage Private Ryan》
[00:00:25.400 --> 00:00:27.700]  《兄弟之樂》的系列
[00:00:27.700 --> 00:00:30.500]  《Law of the Ring》
[00:00:30.500 --> 00:00:33.000]  這些都是西片
[00:00:33.000 --> 00:00:38.300]  如果是香港
[00:00:38.300 --> 00:00:42.500]  我自己原本很想講一代眾事業民
[00:00:42.500 --> 00:00:46.400]  見自己見天地見眾生
[00:00:46.400 --> 00:00:48.700]  但這些可能大家已經很熟悉了
[00:00:48.700 --> 00:00:54.500]  後來想想有一套片如果不需要再重演那些劇目的話
[00:00:54.500 --> 00:00:57.400]  大家都可以有很多畫面在腦海裏
[00:00:57.400 --> 00:00:59.700]  於是就選擇了功夫
[00:00:59.700 --> 00:01:02.700]  對於大家來說
[00:01:02.700 --> 00:01:05.900]  不知道大家對功夫的想像是什麼
[00:01:05.900 --> 00:01:09.700]  那個導演麻煩你回到我這邊
[00:01:09.700 --> 00:01:17.300]  你當是笑片看還是當是一套功夫片看呢
[00:01:17.300 --> 00:01:20.200]  不同人不同想法
[00:01:20.200 --> 00:01:24.600]  或者對你不同階段的心境都可能很不同
[00:01:24.600 --> 00:01:32.200]  今天我會和我自己在功夫過程當中有一些想像
[00:01:32.200 --> 00:01:40.500]  對信仰或者對我自己來說切入的位置是什麼呢
[00:01:40.500 --> 00:01:44.700]  功夫的切入過程是這個開幕
[00:01:44.700 --> 00:01:49.600]  但通常這一幕基本上是五秒內就沒有了
[00:01:49.600 --> 00:01:52.600]  可能大家很快就不知道了
[00:01:52.600 --> 00:01:56.200]  這個社會動盪黑幫橫行的年代
[00:01:56.200 --> 00:01:59.800]  其中以虎頭幫最令人聞風喪膽
[00:01:59.800 --> 00:02:05.200]  唯獨一些連黑幫都沒有興趣的平民社區
[00:02:05.200 --> 00:02:07.700]  它有暫時的安寧
[00:02:07.700 --> 00:02:10.700]  我不知道大家對於這個背景是怎樣
[00:02:10.700 --> 00:02:15.500]  即是很如預片時代
