
[00:00:00.000 --> 00:00:06.520]  特別跟自己說一句
[00:00:06.520 --> 00:00:08.200]  新年其實都很開心
[00:00:08.200 --> 00:00:10.720]  因為要來港島
[00:00:10.720 --> 00:00:13.640]  所以我家人5時多吃飯
[00:00:13.640 --> 00:00:15.440]  吃完就趕過來
[00:00:15.440 --> 00:00:19.040]  所以多謝家人的體諒
[00:00:19.040 --> 00:00:21.640]  亦都有點不開心
[00:00:21.640 --> 00:00:25.640]  因為其實新年開始意識到一件事
[00:00:25.640 --> 00:00:29.880]  就是身邊的朋友好像都不在了
[00:00:29.920 --> 00:00:31.640]  不在的意思不是過世
[00:00:31.640 --> 00:00:35.240]  是不能夠一起見面吃飯
[00:00:35.240 --> 00:00:37.400]  你想團拜、拜年
[00:00:37.400 --> 00:00:39.720]  你會發覺很多已經不在了
[00:00:39.720 --> 00:00:41.160]  譬如大學的團契
[00:00:41.160 --> 00:00:43.200]  或者我神學院的同學
[00:00:43.200 --> 00:00:46.120]  其實很多都已經離開了
[00:00:46.120 --> 00:00:48.960]  所以感覺是差的
[00:00:48.960 --> 00:00:51.480]  我相信其實
[00:00:51.480 --> 00:00:54.520]  尤其是跟離散了的弟兄姊妹說
[00:00:54.520 --> 00:00:55.760]  在網上
[00:00:55.760 --> 00:00:57.480]  可能你移民了
[00:00:57.480 --> 00:00:59.200]  離開了不同的地方
[00:00:59.240 --> 00:01:02.440]  其實你也有家人在香港
[00:01:02.440 --> 00:01:04.080]  或者今年新年
[00:01:04.080 --> 00:01:06.760]  你也很想一家人在一起的時候
[00:01:06.760 --> 00:01:08.640]  我們做不到
[00:01:08.640 --> 00:01:12.920]  你覺得好像丟下了父母親在香港
[00:01:12.920 --> 00:01:13.920]  或者一些家人
[00:01:13.920 --> 00:01:15.400]  你所掛念的家人在香港
[00:01:15.400 --> 00:01:16.800]  你會難過
[00:01:16.800 --> 00:01:19.440]  正如Folk Church弟兄姊妹一樣
[00:01:19.440 --> 00:01:20.760]  你說她正在經歷
[00:01:20.760 --> 00:01:24.320]  種種大大小小各式各樣的離別
[00:01:24.320 --> 00:01:26.000]  我們都要適應
[00:01:26.440 --> 00:01:27.640]  所以我猜想的
[00:01:27.640 --> 00:01:30.480]  在這個新年裡
[00:01:30.480 --> 00:01:32.920]  或者接下來的新年當中
[00:01:32.920 --> 00:01:34.480]  很不一樣
[00:01:34.480 --> 00:01:36.160]  譬如我家裡有一個小朋友
[00:01:36.160 --> 00:01:39.880]  他知道他將會有三個好朋友
[00:01:39.880 --> 00:01:41.640]  三個朋友都離開
[00:01:41.640 --> 00:01:43.360]  我對他很不開心
[00:01:43.360 --> 00:01:45.160]  我也不知道怎樣跟他祈禱
[00:01:45.160 --> 00:01:45.960]  我跟他祈禱的時候
[00:01:45.960 --> 00:01:47.920]  他就離開了
[00:01:47.920 --> 00:01:49.960]  其實很多這些感覺
[00:01:49.960 --> 00:01:52.720]  都在我們當中
[00:01:52.720 --> 00:01:54.520]  我希望
[00:01:54.560 --> 00:01:56.560]  劉先生弟兄姊妹
[00:01:56.560 --> 00:01:59.320]  你有年糕吃
[00:01:59.320 --> 00:02:01.760]  加州已經將年初一成為公假
[00:02:01.760 --> 00:02:04.040]  恭喜加州的弟兄姊妹
[00:02:04.040 --> 00:02:07.560]  希望年初一的時候
[00:02:07.560 --> 00:02:10.480]  我們有更多人一起聚集
[00:02:10.480 --> 00:02:13.720]  這些不開心的事很多
[00:02:13.720 --> 00:02:15.360]  今天會說一個訊息
[00:02:15.360 --> 00:02:17.120]  我希望說得快
[00:02:17.120 --> 00:02:18.800]  我想大家回家
[00:02:18.800 --> 00:02:20.880]  (笑聲)
[00:02:20.880 --> 00:02:22.000]  我希望說得快一點
[00:02:22.040 --> 00:02:23.080]  雖然有些事情不清楚
[00:02:23.080 --> 00:02:24.560]  不是我想的
[00:02:24.560 --> 00:02:27.480]  我盡量性餐
[00:02:27.480 --> 00:02:29.040]  但我想今天說
[00:02:29.040 --> 00:02:32.400]  新年我不想說一個開心的訊息
[00:02:32.400 --> 00:02:36.560]  或者聽完之後興奮的訊息
[00:02:36.560 --> 00:02:40.200]  我今天沒有準備說這些
[00:02:40.200 --> 00:02:42.240]  我今天想說一個很難說的訊息
[00:02:42.240 --> 00:02:45.040]  我今天想說一個很困難的訊息
[00:02:45.040 --> 00:02:47.120]  說完不開心的訊息
[00:02:47.120 --> 00:02:49.600]  這是我想了一段日子
[00:02:49.640 --> 00:02:51.880]  才決定說這個訊息
[00:02:51.880 --> 00:02:54.480]  希望今天開心的度假
[00:02:54.480 --> 00:02:56.400]  下星期John會說套年
[00:02:56.400 --> 00:02:58.600]  不是運程
[00:02:58.600 --> 00:03:00.400]  差點說錯話
[00:03:00.400 --> 00:03:01.440]  他說套年度
