
[00:00:00.000 --> 00:00:05.000]  2025年1月是有一點奇怪的
[00:00:05.000 --> 00:00:10.000]  明明剛剛開始我們又準備收路
[00:00:10.000 --> 00:00:12.000]  今天會用彼得後書
[00:00:12.000 --> 00:00:16.000]  彼得在面對死亡的時候
[00:00:16.000 --> 00:00:21.000]  他對著一班新一代的門徒說了一番話
[00:00:21.000 --> 00:00:22.000]  彼得面對死亡之前
[00:00:22.000 --> 00:00:27.000]  他勉勵這班新的門徒要邁向成熟
[00:00:27.000 --> 00:00:33.000]  以免在一個假教師猖獗的世代動搖他的信仰
[00:00:33.000 --> 00:00:37.000]  今天我們會分三部分去說關於辯
[00:00:37.000 --> 00:00:40.000]  第一我們會先從彼得後書的第一章
[00:00:40.000 --> 00:00:44.000]  去看我們關於辯的一些原則
[00:00:44.000 --> 00:00:46.000]  然後我們會就著彼得後書
[00:00:46.000 --> 00:00:49.000]  剛才所讀的一句話
[00:00:49.000 --> 00:00:52.000]  去看彼得這個人他有什麼改變
[00:00:52.000 --> 00:00:57.000]  最後會有一些個人對於辯這個題目的分享
[00:00:57.000 --> 00:01:01.000]  今天想跟大家去構定一個主題
[00:01:01.000 --> 00:01:06.000]  生命能夠邁向成熟的第一步
[00:01:06.000 --> 00:01:09.000]  並不是雄心壯志
[00:01:09.000 --> 00:01:15.000]  邁向成熟的第一步不是雄心壯志 志氣高昂
[00:01:15.000 --> 00:01:21.000]  邁向成熟的第一步是不要高估自己
[00:01:21.000 --> 00:01:23.000]  我們一起先讀經文
[00:01:23.000 --> 00:01:27.000]  彼得後書的一章一至十一節
[00:01:27.000 --> 00:01:30.000]  如果大家看到的都可以讀出 預備起
[00:01:30.000 --> 00:01:32.000]  我們先分兩段去看經文
[00:01:32.000 --> 00:01:35.000]  彼得後書的一章一至四節
[00:01:35.000 --> 00:01:38.000]  他先說了每一位屬主的人
[00:01:38.000 --> 00:01:41.000]  他都有改變的條件
[00:01:41.000 --> 00:01:46.000]  彼得去用兩個介紹自己的身份
[00:01:46.000 --> 00:01:50.000]  他是使徒又是什麼
[00:01:50.000 --> 00:01:52.000]  神的僕人
[00:01:52.000 --> 00:01:57.000]  他不是要凸顯自己和信徒有什麼不同
[00:01:57.000 --> 00:02:01.000]  反倒年輕的彼得常常都覺得自己高人一等
[00:02:01.000 --> 00:02:03.000]  常常都要增大
[00:02:03.000 --> 00:02:07.000]  彼得去介紹自己我是主的僕人和使徒
[00:02:07.000 --> 00:02:14.000]  他是在說和這班沒見過耶穌的新一代門徒彼此認同
[00:02:14.000 --> 00:02:17.000]  我們 我們都是
[00:02:17.000 --> 00:02:19.000]  他不是說自己有什麼突出
[00:02:19.000 --> 00:02:23.000]  他說我們都是一樣經歷同一位神
[00:02:23.000 --> 00:02:25.000]  去相信同一位主
[00:02:25.000 --> 00:02:27.000]  有同樣的知識
[00:02:27.000 --> 00:02:29.000]  獲得同樣的照明
[00:02:29.000 --> 00:02:34.000]  一方面他要告訴這班年輕新一代的信徒
[00:02:34.000 --> 00:02:36.000]  我和你都是一樣
[00:02:36.000 --> 00:02:41.000]  另外他也在針對彼得後書所針對的假教師
[00:02:41.000 --> 00:02:44.000]  那班假教師總覺得自己高人一等
[00:02:44.000 --> 00:02:45.000]  靈命高超
[00:02:45.000 --> 00:02:50.000]  所以就欺負這班沒見過耶穌的新門徒
[00:02:50.000 --> 00:02:56.000]  如果我們都同意彼得是一個極具慰憤的門徒
[00:02:56.000 --> 00:02:59.000]  在當時來說他是耶穌的大弟子
[00:02:59.000 --> 00:03:01.000]  親眼見過耶穌
[00:03:01.000 --> 00:03:05.000]  他的地位比今天的教宗還要高
[00:03:05.000 --> 00:03:07.000]  彼得的意思是什麼呢
[00:03:07.000 --> 00:03:10.000]  教宗的靈命如何
[00:03:10.000 --> 00:03:12.000]  你的靈命都是一樣
[00:03:13.000 --> 00:03:16.000]  你做的事教宗都做
[00:03:16.000 --> 00:03:19.000]  教宗做到的事你都做到
[00:03:19.000 --> 00:03:23.000]  不是我和你和教宗的分別有多大
[00:03:23.000 --> 00:03:27.000]  而是我們正在經歷同一位上帝的恩典
[00:03:27.000 --> 00:03:30.000]  這是靈性的壓倒性
[00:03:30.000 --> 00:03:32.000]  彼得先說完這件事
[00:03:32.000 --> 00:03:34.000]  然後他在三至四節繼續說
[00:03:34.000 --> 00:03:37.000]  他說我們有改變的條件
[00:03:37.000 --> 00:03:41.000]  是因為神賜了兩件事給我們
[00:03:41.000 --> 00:03:44.000]  就是英許和能力
[00:03:44.000 --> 00:03:49.000]  我們能夠改變是因為上帝賜了英許和能力給我們
[00:03:49.000 --> 00:03:53.000]  叫我們學將處境乾的生命
[00:03:53.000 --> 00:03:55.000]  但這次你要知道
[00:03:55.000 --> 00:03:58.000]  英許和能力不能夠獨立存在
[00:03:58.000 --> 00:04:03.000]  他們一定要一併出現才能夠讓我們改變
[00:04:03.000 --> 00:04:05.000]  你試幻想一下
[00:04:05.000 --> 00:04:08.000]  假如徐牧師有一天很落難很潦倒
[00:04:08.000 --> 00:04:10.000]  去找人幫助
[00:04:10.000 --> 00:04:12.000]  我找到朋友A
[00:04:12.000 --> 00:04:14.000]  朋友A很熱心地幫助我
[00:04:14.000 --> 00:04:16.000]  但他仍然是一個窮光蛋
[00:04:16.000 --> 00:04:18.000]  沒有能力幫我
[00:04:18.000 --> 00:04:20.000]  他能不能解決我的問題
[00:04:20.000 --> 00:04:21.000]  不行的
[00:04:21.000 --> 00:04:23.000]  接著我找親戚B
[00:04:23.000 --> 00:04:25.000]  親戚B很有錢
[00:04:25.000 --> 00:04:27.000]  但他完全沒有心幫我
[00:04:27.000 --> 00:04:30.000]  我的問題仍然被困住
[00:04:30.000 --> 00:04:34.000]  但神說我有能力
[00:04:34.000 --> 00:04:36.000]  有答應幫你
[00:04:36.000 --> 00:04:38.000]  所以你一定可以改變
[00:04:38.000 --> 00:04:41.000]  這是彼得所說的一至四節
[00:04:41.000 --> 00:04:45.000]  我們生命的困局是主扭轉了
[00:04:45.000 --> 00:04:48.000]  我們的生命好像解了鎖一樣
[00:04:48.000 --> 00:04:51.000]  所以到第五節彼得叫我們繼續去想
[00:04:51.000 --> 00:04:53.000]  正因者緣故
[00:04:53.000 --> 00:04:56.000]  有一連串的反應就會出來
[00:04:56.000 --> 00:04:58.000]  當一個得救的生命
