
[00:00:00.000 --> 00:00:02.000]  靜音姐妹平安
[00:00:02.000 --> 00:00:06.000]  我們在聽神的話之前再一次禱告
[00:00:06.000 --> 00:00:12.000]  在紀念你受苦和等候你復活的這一天
[00:00:12.000 --> 00:00:17.000]  我們繼續願意聆聽主你自己的話
[00:00:17.000 --> 00:00:22.000]  願主你的聖靈再一次充滿我們每一個人的內心
[00:00:22.000 --> 00:00:25.000]  教導我們明白主你自己的話語
[00:00:25.000 --> 00:00:29.000]  也讓主你自己耶穌基督的大愛再一次震撼我們
[00:00:29.000 --> 00:00:31.000]  再一次感動我們
[00:00:31.000 --> 00:00:33.000]  再一次充滿我們
[00:00:33.000 --> 00:00:36.000]  以致我們不是單單守節
[00:00:36.000 --> 00:00:41.000]  而是我們的生命都是願意因為主你的愛去呈獻給你
[00:00:41.000 --> 00:00:44.000]  我們這樣的祈禱是奉耶穌基督的聖名祈求
[00:00:44.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:51.000]  我們今天雖然是在節期的中間
[00:00:51.000 --> 00:00:55.000]  我們仍然是在說一道三吃的系列
[00:00:55.000 --> 00:01:00.000]  如果大家記得上星期Albee已經打開了第一炮
[00:01:00.000 --> 00:01:07.000]  我們三個女傳道說這段經文是有不同的切入點
[00:01:07.000 --> 00:01:11.000]  如果大家記得她說我是見微知著
[00:01:11.000 --> 00:01:15.000]  我聽了之後心想很大壓力
[00:01:15.000 --> 00:01:18.000]  還有第二就是她果然是中文系畢業
[00:01:18.000 --> 00:01:20.000]  你正在聽我知道Albee現在
[00:01:20.000 --> 00:01:23.000]  中文系畢業用字是不同的
[00:01:23.000 --> 00:01:25.000]  用字也好聽一點
[00:01:25.000 --> 00:01:26.000]  為什麼呢?
[00:01:26.000 --> 00:01:28.000]  因為我跟她說你會用什麼切入點
[00:01:28.000 --> 00:01:32.000]  她問我應該用最簡單的上下文
[00:01:32.000 --> 00:01:35.000]  而她的解讀是見微知著
[00:01:35.000 --> 00:01:37.000]  希望大家今天不要失望
[00:01:37.000 --> 00:01:39.000]  希望是這樣
[00:01:39.000 --> 00:01:41.000]  我預備這次講道的時候
[00:01:41.000 --> 00:01:44.000]  其實我想起有一次我坐電梯
[00:01:44.000 --> 00:01:47.000]  電梯其實進去的時候都很多人
[00:01:47.000 --> 00:01:51.000]  我進去的時候都很多人
[00:01:51.000 --> 00:01:56.000]  後面我看上去像菲律賓籍的女士
[00:01:56.000 --> 00:02:00.000]  她在後面是一個穿西裝的男士
[00:02:00.000 --> 00:02:03.000]  當這個男士進來電梯的時候
[00:02:03.000 --> 00:02:04.000]  電梯超重
[00:02:04.000 --> 00:02:05.000]  嗶嗶聲
[00:02:05.000 --> 00:02:06.000]  很正常的
[00:02:06.000 --> 00:02:07.000]  嗶嗶聲我們會怎樣
[00:02:07.000 --> 00:02:08.000]  就看著那個男人
[00:02:08.000 --> 00:02:10.000]  就等那個男人走出去
[00:02:10.000 --> 00:02:14.000]  誰知道那個男人在這個時候就開口
[00:02:14.000 --> 00:02:17.000]  他就跟菲律賓籍的女士說
[00:02:17.000 --> 00:02:22.000]  你出去吧 你知道你很骯髒嗎
[00:02:22.000 --> 00:02:26.000]  然後懷疑那位菲律賓籍的女士不懂得聽
[00:02:26.000 --> 00:02:27.000]  或者不知道她在說什麼
[00:02:27.000 --> 00:02:29.000]  所以她沒有出聲也沒有走出去
[00:02:29.000 --> 00:02:30.000]  很自然
[00:02:30.000 --> 00:02:33.000]  但這位男士是一直在說
[00:02:33.000 --> 00:02:35.000]  越說越大聲
[00:02:35.000 --> 00:02:36.000]  然後他一直在說
[00:02:36.000 --> 00:02:38.000]  你知道你是什麼人嗎
[00:02:38.000 --> 00:02:41.000]  你很骯髒 你出去吧
[00:02:41.000 --> 00:02:44.000]  你不要跟我同一架電梯
[00:02:44.000 --> 00:02:48.000]  我想那一刻我忍不住
[00:02:48.000 --> 00:02:49.000]  我忍不住
[00:02:49.000 --> 00:02:50.000]  我說先生
[00:02:50.000 --> 00:02:53.000]  你才是最後那個 你出去吧
[00:02:53.000 --> 00:02:54.000]  你不要這樣說話
[00:02:54.000 --> 00:02:56.000]  你怎可以這樣說話
