
[00:00:00.000 --> 00:00:03.000]  各位留堂的弟兄姊妹平安
[00:00:03.000 --> 00:00:11.000]  無論你是在香港 在家 在CityLab 在MIFC 在英國 加拿大
[00:00:11.000 --> 00:00:14.000]  我都歡迎你參加我們的留堂崇拜
[00:00:14.000 --> 00:00:18.000]  今天我們有一個很流暢的崇拜
[00:00:18.000 --> 00:00:22.000]  今天的講題叫做聖殿水浸的異象
[00:00:22.000 --> 00:00:25.000]  我給了英文名字叫做Flow Vision
[00:00:25.000 --> 00:00:30.000]  如果你看到我們在港台旁邊
[00:00:30.000 --> 00:00:34.000]  有非常好的建筑物隊安放了一盤金魚缸
[00:00:34.000 --> 00:00:37.000]  有三條黑色的魚
[00:00:37.000 --> 00:00:39.000]  應該看到三條
[00:00:39.000 --> 00:00:45.000]  今天我們會講一些很流暢的主題
[00:00:45.000 --> 00:00:47.000]  我們一起祈禱
[00:00:47.000 --> 00:00:50.000]  無論你在家或是現場
[00:00:50.000 --> 00:00:52.000]  我們一起同心去禱告
[00:00:52.000 --> 00:01:20.000]  祈禱
[00:01:20.000 --> 00:01:24.000]  求主你這樣去召喚我們的心靈
[00:01:24.000 --> 00:01:27.000]  讓我們恭敬的來到你面前
[00:01:27.000 --> 00:01:30.000]  我們來到去細聽你對我們的說話
[00:01:30.000 --> 00:01:35.000]  你對我們Full Church 每一個弟兄姊妹的說話
[00:01:35.000 --> 00:01:37.000]  讓我們來藉著你的聖經
[00:01:37.000 --> 00:01:40.000]  你親自的去教導我們
[00:01:40.000 --> 00:01:43.000]  怎樣去成為屬於你的教會
[00:01:43.000 --> 00:01:44.000]  幫助孩子不配
[00:01:44.000 --> 00:01:47.000]  但你的榮耀在我們當中
[00:01:47.000 --> 00:01:51.000]  引導我們去恭敬的去聆聽你自己的說話
[00:01:51.000 --> 00:01:53.000]  求主你這樣幫助我們
[00:01:53.000 --> 00:02:01.000]  我們會看一段以西傑書47章1到12節經文
[00:02:01.000 --> 00:02:04.000]  如果你有參加過Full Church崇拜
[00:02:04.000 --> 00:02:07.000]  你都知道我不是第一次講以西傑書
[00:02:07.000 --> 00:02:10.000]  甚至你都知道我其實很喜歡講以西傑書
[00:02:10.000 --> 00:02:13.000]  我們看過以西傑書第九章
[00:02:13.000 --> 00:02:16.000]  以西傑的行為藝術
[00:02:16.000 --> 00:02:17.000]  他長期飲水
[00:02:17.000 --> 00:02:20.000]  表達當時耶路撒冷的滅亡
[00:02:20.000 --> 00:02:23.000]  我們也看過以西傑書第37章
[00:02:23.000 --> 00:02:25.000]  以西傑在墳場的裏面
[00:02:25.000 --> 00:02:28.000]  叫做「骸骨復活」的經文
[00:02:28.000 --> 00:02:33.000]  今天我們會看一段以西傑書很後很後很後的經文
[00:02:33.000 --> 00:02:35.000]  是以西傑書的總結
[00:02:35.000 --> 00:02:37.000]  第47章的經文
[00:02:37.000 --> 00:02:40.000]  整卷以西傑書是有48章的
[00:02:40.000 --> 00:02:45.000]  所以以西傑書從第40章開始到48章
[00:02:45.000 --> 00:02:48.000]  是最後的段落部分
