
[00:00:00.000 --> 00:00:04.720]  特別在外地的弟兄姊妹先打招呼
[00:00:04.720 --> 00:00:08.560]  無論在英國、加拿大或澳洲
[00:00:08.560 --> 00:00:13.840]  希望他們都繼續在不同崗位
[00:00:13.840 --> 00:00:16.880]  艱難的裏面繼續堅持下去
[00:00:16.880 --> 00:00:21.200]  未來七月會去溫哥華
[00:00:21.200 --> 00:00:25.280]  在那邊又遇到一班很精彩的Folk Church弟兄姊妹
[00:00:25.280 --> 00:00:29.600]  你知道他們不同時間做不同的事
[00:00:29.600 --> 00:00:33.280]  請大家特別紀念他們的需要
[00:00:33.280 --> 00:00:36.720]  今天講真 of authenticity
[00:00:36.720 --> 00:00:42.480]  真其實是小時候的說法
[00:00:42.480 --> 00:00:44.080]  如果要講真的話
[00:00:44.080 --> 00:00:47.280]  小時候說謊老師會打你的手辦
[00:00:47.280 --> 00:00:49.520]  不 即是你不講真的話老師會打你的手辦
[00:00:49.520 --> 00:00:54.240]  講真都會打的
[00:00:54.240 --> 00:00:56.480]  有時候不知道講真還是講假
[00:00:56.480 --> 00:01:00.320]  不過在小時候開始被教導要講真
[00:01:00.320 --> 00:01:05.360]  其實講真到大了之後
[00:01:05.360 --> 00:01:09.920]  講真其實不是我們所追求的東西
[00:01:09.920 --> 00:01:16.560]  基本上講真不是我們很想要和看到的東西
[00:01:16.560 --> 00:01:18.080]  一講真的話
[00:01:18.080 --> 00:01:22.560]  其實突然之間的事很黑暗和很邪惡
[00:01:22.560 --> 00:01:27.520]  其實你不想面對一些很真實的事
[00:01:27.520 --> 00:01:30.400]  我們經常活在自己的世界裏面
[00:01:30.400 --> 00:01:31.760]  營造了一些我們覺得
[00:01:31.760 --> 00:01:34.240]  我們以為會發生的事情
[00:01:34.240 --> 00:01:37.600]  但如果真的那些事情你去問真一點的話
[00:01:37.600 --> 00:01:40.800]  那些事未必是我們敢面對的事情
[00:01:40.800 --> 00:01:42.480]  所以今天要講真的話
[00:01:42.480 --> 00:01:45.120]  我選了一個故事去講
[00:01:45.120 --> 00:01:49.520]  是小時候兒童主義學會講的故事
[00:01:49.520 --> 00:01:52.960]  就是阿蝦去搶葡萄園的故事
[00:01:52.960 --> 00:01:54.640]  其實這個故事
[00:01:54.640 --> 00:01:58.960]  長大之後覺得這個故事是極度無聊
[00:01:58.960 --> 00:02:01.040]  都不知道要講什麼
[00:02:01.040 --> 00:02:02.800]  你明擺著搶別人的東西
[00:02:02.800 --> 00:02:04.960]  這些卑鄙無恥的事情
