
[00:00:00.000 --> 00:00:03.200]  頂姐妹平安 願你平安
[00:00:03.200 --> 00:00:09.080]  今日崇拜的港島是雙月提奉獻的第七港
[00:00:09.080 --> 00:00:11.520]  接下來還有第八、九港
[00:00:11.520 --> 00:00:16.320]  我們都期望神的話語繼續滋潤我們提醒我們
[00:00:16.320 --> 00:00:20.080]  很感恩今天有機會參與港島的服事
[00:00:20.080 --> 00:00:23.760]  之前一直知道要港島的時候
[00:00:23.760 --> 00:00:25.760]  都在想港島有什麼好呢
[00:00:25.760 --> 00:00:32.080]  就想不如說說憲制 雖然在舊約的憲制我都不太熟悉
[00:00:32.080 --> 00:00:34.880]  但感恩祭好像都挺有趣的
[00:00:34.880 --> 00:00:37.280]  就想好就這個方向
[00:00:37.280 --> 00:00:40.480]  一直在等 都很擔心
[00:00:40.480 --> 00:00:44.720]  跟之前的港元都類似 擔心撞經民
[00:00:44.720 --> 00:00:48.160]  兩個星期前就問陳偉安牧師
[00:00:48.160 --> 00:00:50.560]  問了他之後 你這個星期說什麼
[00:00:50.560 --> 00:00:52.880]  原來說新約 幸運而已
[00:00:52.880 --> 00:00:58.960]  可以放心開始入二波準備港張
[00:00:58.960 --> 00:01:04.560]  如果真的要我這麼短時間內再構思港張的話
[00:01:04.560 --> 00:01:07.120]  其實對我來說有一定的難度
[00:01:07.120 --> 00:01:10.080]  雖然我本身都一個熟悉我的人
[00:01:10.080 --> 00:01:12.880]  都知道我是一個deadline fighter
[00:01:12.880 --> 00:01:18.080]  但這次這麼巧 明天又要港島
[00:01:18.080 --> 00:01:22.080]  也要開新的港張 我一定會死的
[00:01:22.080 --> 00:01:26.480]  除非好像我以前在香港十幾年前全職的全職務會
[00:01:26.480 --> 00:01:28.480]  教會的主任牧師
[00:01:28.480 --> 00:01:31.760]  又或者像John或者潘Sir一樣
[00:01:31.760 --> 00:01:36.720]  多工作 做得好又做得快
[00:01:36.720 --> 00:01:39.520]  如果用開電單車來形容的話
[00:01:39.520 --> 00:01:44.720]  我相信我連燈尾都看不到
[00:01:44.720 --> 00:01:47.360]  很感恩順主透過不同恩賜的人
[00:01:47.360 --> 00:01:51.520]  去成為教會的禮物 去造就生命
[00:01:51.520 --> 00:01:54.080]  神興起不同的屬靈領袖
[00:01:54.080 --> 00:01:57.120]  令神的子民蒙福
[00:01:57.120 --> 00:02:00.000]  神都曾經興起過摩西
[00:02:00.000 --> 00:02:02.400]  去帶領以色列人出埃及
[00:02:02.400 --> 00:02:05.920]  之後就設立了憲制的制度
[00:02:05.920 --> 00:02:08.880]  讓人去敬拜神 親近神
[00:02:08.880 --> 00:02:12.560]  在舊約聖經利美記裡面提到有五種的憲制
[00:02:12.560 --> 00:02:18.720]  包括繁制 素制 平安制 贖罪制 和贖獻制
[00:02:18.720 --> 00:02:20.560]  各有不同的功能
[00:02:20.560 --> 00:02:23.120]  今天講到的重點焦點
[00:02:23.120 --> 00:02:25.680]  我們就放在平安制那裡
[00:02:25.680 --> 00:02:29.520]  而平安制本身都有三個類別和功能
[00:02:29.520 --> 00:02:35.120]  我們都會全集中來看一下當中的感恩制 感謝制
[00:02:35.120 --> 00:02:40.240]  到底對我們今天的信徒有什麼意義呢
[00:02:40.240 --> 00:02:42.800]  以色列人這五種的憲制裡面
[00:02:42.800 --> 00:02:48.880]  他們獻的祭物包括牛 羊 麵團等等
[00:02:48.880 --> 00:02:54.000]  這些在經文裡面稱為共物
[00:02:54.000 --> 00:02:56.720]  這個希伯來文的字眼
[00:02:56.720 --> 00:02:59.120]  音譯是葛二版
[00:02:59.120 --> 00:03:03.280]  字的意思是有禮物的意思
[00:03:03.280 --> 00:03:06.800]  換言之 以色列人是透過憲制
[00:03:06.800 --> 00:03:10.640]  向上主呈上禮物
[00:03:10.640 --> 00:03:13.360]  可以達到不同的預期目的
[00:03:13.360 --> 00:03:19.760]  包括贖罪 感謝 紀念 榮譽和神所立的約
[00:03:19.760 --> 00:03:24.320]  正如我們去參與聖餐 銅餅 銅杯
[00:03:24.320 --> 00:03:30.480]  是表明我們完全去認同和主耶穌基督所立的新約
[00:03:30.480 --> 00:03:32.320]  我們都有經驗去送禮的
[00:03:32.320 --> 00:03:33.680]  平時都會送禮的
[00:03:33.680 --> 00:03:38.160]  我們去送禮給別人可能都同樣有不同的目的原因
[00:03:38.160 --> 00:03:42.240]  可能去表達感謝 甚至是賠罪
[00:03:42.240 --> 00:03:44.480]  昨天才賠完罪
[00:03:44.480 --> 00:03:46.400]  詳情不說了
[00:03:46.400 --> 00:03:48.400]  人類很複雜的
[00:03:48.400 --> 00:03:52.880]  送禮給別人可能是夾雜著不同的動機
[00:03:52.880 --> 00:03:56.800]  有些人可能好像剛才說的很純粹
[00:03:56.800 --> 00:03:58.880]  純粹只是想表達感謝
[00:03:58.880 --> 00:04:00.960]  覺得不感謝過不安心
[00:04:00.960 --> 00:04:03.120]  不是想有什麼回報
[00:04:03.120 --> 00:04:06.480]  即使明知想請人吃頓飯也好
[00:04:06.480 --> 00:04:08.560]  都知道明知是無法報答他
[00:04:08.560 --> 00:04:10.560]  但都很想請人吃頓飯
[00:04:10.560 --> 00:04:12.560]  做一點事情
[00:04:12.560 --> 00:04:14.560]  正如神的恩情
[00:04:14.560 --> 00:04:16.560]  即使我們想還
[00:04:16.560 --> 00:04:18.560]  其實一輩子都還不完
[00:04:18.560 --> 00:04:20.160]  還不到
[00:04:20.160 --> 00:04:23.760]  幸好神並不是想我們還什麼給祂
[00:04:23.760 --> 00:04:27.120]  神是愛
[00:04:27.120 --> 00:04:29.120]  祂不會當人是韭菜
[00:04:29.120 --> 00:04:32.720]  重點不是在祭物的本身
[00:04:32.720 --> 00:04:34.720]  舊約的傳統都很強調這一點
[00:04:34.720 --> 00:04:39.040]  例如先知尼加提到我們很熟悉的經文
[00:04:39.040 --> 00:04:43.040]  耶和華喜悅千千的供養
[00:04:43.040 --> 00:04:45.040]  或是萬萬的柔和
[00:04:45.040 --> 00:04:48.240]  神期望的是人有生命的改變
[00:04:48.240 --> 00:04:50.240]  與神同行
[00:04:50.240 --> 00:04:53.520]  這個機制的設立
[00:04:53.520 --> 00:04:57.040]  其實是讓以色列人親近主
[00:04:57.040 --> 00:05:01.440]  但很慘的是可能連感謝的機會都沒有
[00:05:01.440 --> 00:05:05.440]  以色列人的聖殿被戰火摧毀
[00:05:05.440 --> 00:05:08.480]  想獻祭也無法獻
[00:05:08.480 --> 00:05:12.160]  敬拜的自由未必能夠十年二十年不變
[00:05:12.160 --> 00:05:14.160]  又或者會移民離開
[00:05:14.160 --> 00:05:17.120]  所以我們都很珍惜敬拜的機會
[00:05:17.120 --> 00:05:20.080]  多點為我們現在有的東西去感恩
[00:05:20.080 --> 00:05:24.080]  去珍惜和我們一起去敬拜的弟兄姊妹
[00:05:24.080 --> 00:05:26.480]  感謝祭
[00:05:26.480 --> 00:05:28.480]  顧名思義
[00:05:28.480 --> 00:05:32.000]  透過獻祭去讓人參與
[00:05:32.000 --> 00:05:34.960]  用這個途徑向神表達感謝
[00:05:34.960 --> 00:05:38.240]  其實是為了什麼去感謝呢
[00:05:38.240 --> 00:05:40.240]  經文有沒有說呢
[00:05:40.240 --> 00:05:42.240]  我們先看看經文
[00:05:42.240 --> 00:05:45.520]  或者我們一起讀
[00:05:45.520 --> 00:05:47.520]  不是很長的經文 我們一起讀出來
[00:05:48.480 --> 00:05:50.480]  (廣東話)
[00:05:50.480 --> 00:05:52.480]  (廣東話)
[00:05:52.480 --> 00:05:54.480]  (廣東話)
[00:05:54.480 --> 00:05:56.480]  (廣東話)
[00:05:56.480 --> 00:06:00.620]  這種沒有產生的現在的和華面前
[00:06:00.620 --> 00:06:04.160]  乃要安守在公民的頭上
[00:06:04.160 --> 00:06:06.280]  在軟匯網門口
[00:06:06.280 --> 00:06:09.080]  發動自主作制之力
[00:06:09.080 --> 00:06:12.120]  要把血灑在癌的周圍
[00:06:12.120 --> 00:06:14.880]  從平民的安制中
[00:06:14.880 --> 00:06:17.560]  將火製建革的和華
[00:06:17.560 --> 00:06:23.160]  乃要把火裏的自由和壯相所有的自由
[00:06:23.160 --> 00:06:27.320]  並量化要恃和要恃上的自由
[00:06:27.320 --> 00:06:30.320]  就是靠要量化的自由
[00:06:30.320 --> 00:06:33.560]  與當上的旺恃和要恃
[00:06:33.560 --> 00:06:35.320]  的確取巧
[00:06:35.320 --> 00:06:40.520]  法輪的子孫要把這些燒在癌的監制上
[00:06:40.520 --> 00:06:43.120]  就是在火的柴上
[00:06:43.120 --> 00:06:47.320]  是意義的保留為輕量的火制
[00:06:47.320 --> 00:06:49.920]  好,謝謝
[00:06:49.920 --> 00:06:53.920]  經文有沒有說到
[00:06:53.920 --> 00:06:55.920]  有沒有具體說過給我聽
[00:06:55.920 --> 00:06:58.320]  為了什麼原因去感謝呢?
[00:06:58.320 --> 00:06:59.720]  有沒有呢?
[00:06:59.720 --> 00:07:01.120]  似乎沒有
[00:07:01.120 --> 00:07:02.920]  所以有理由相信
[00:07:02.920 --> 00:07:07.120]  應該凡是為了想來到神面前
[00:07:07.120 --> 00:07:09.320]  為了神所賜的任何恩典
[00:07:09.320 --> 00:07:12.320]  都可以去到會幕附近的祭壇
[00:07:12.320 --> 00:07:15.520]  去獻祭向神表達感恩
[00:07:15.520 --> 00:07:18.720]  我通常在每年的年尾
[00:07:18.720 --> 00:07:20.520]  或是年初的時候
[00:07:20.520 --> 00:07:22.520]  都會送一些小小的禮物給祖源
[00:07:22.520 --> 00:07:24.720]  去表達一些心意
[00:07:24.720 --> 00:07:25.920]  今年也不例外
[00:07:25.920 --> 00:07:29.320]  不過如果這樣算價錢
[00:07:29.320 --> 00:07:31.720]  今年送的就是這幾年來說
[00:07:31.720 --> 00:07:33.920]  最便宜的禮物
[00:07:33.920 --> 00:07:35.920]  不要小看它
[00:07:35.920 --> 00:07:37.120]  就是這件事
[00:07:37.120 --> 00:07:39.320]  勿輕情意重
[00:07:39.320 --> 00:07:40.120]  是什麼呢?
[00:07:40.120 --> 00:07:41.120]  當然不是護照
[00:07:41.120 --> 00:07:42.920]  它像一本護照
[00:07:42.920 --> 00:07:43.720]  但是像而已
[00:07:43.720 --> 00:07:45.320]  不是啦,不是像
[00:07:45.320 --> 00:07:47.920]  這本簿子是不簡單的
[00:07:47.920 --> 00:07:48.720]  雖然是便宜的
[00:07:48.720 --> 00:07:52.720]  但是是日本製造的
[00:07:52.720 --> 00:07:55.320]  我希望鼓勵大家
[00:07:55.320 --> 00:07:56.720]  祖源和我自己都是
