
[00:00:00.000 --> 00:00:06.000]  我剛才也在想,還沒笑著說道會不會好一點呢?
[00:00:06.000 --> 00:00:14.000]  但我又想到一件事,如果回眾們,大英姐妹們還沒笑著聽道,會不會聽得更入耳呢?
[00:00:14.000 --> 00:00:20.000]  但無論如何,我們以喜樂的心,一起去領受神的話語,一定會好一點
[00:00:20.000 --> 00:00:34.000]  在這裡首先向大英姐妹們問候平安,也向在網上崇拜的大英姐妹們說聲主內平安
[00:00:34.000 --> 00:00:43.000]  今天已經是說話的第三講
[00:00:43.000 --> 00:00:54.000]  說起說話,有調查顯示,一般成年人平均每天會說500-1000句說話
[00:00:54.000 --> 00:01:02.000]  用時間計算的話,通常會說30-120分鐘的說話
[00:01:02.000 --> 00:01:07.000]  我去想想,我可能是超標
[00:01:07.000 --> 00:01:13.000]  我記得我媽媽說我小時候很害羞,一天也不會說幾句說話
[00:01:13.000 --> 00:01:19.000]  但我不知為何長大後就不斷說很多說話
[00:01:19.000 --> 00:01:25.000]  我太太常說我是口水佬,看到別人可能說不停
[00:01:25.000 --> 00:01:30.000]  不過有一件事我沒有改變,就是我聽別人說話的時候
[00:01:30.000 --> 00:01:37.000]  回應別人的說話的時候,我一直用字面去吸收,字面去解釋和理解
[00:01:37.000 --> 00:01:42.000]  然後去做回應,所以很多時候都中了很多的伏
[00:01:42.000 --> 00:01:46.000]  但我現在學聰明了
[00:01:46.000 --> 00:01:52.000]  我看過一些書教我們,在交談過程中要學習一下
[00:01:52.000 --> 00:02:00.000]  嘗試去聆聽,思想,理解對方說話的內容,語氣,然後作出色切的回應
[00:02:00.000 --> 00:02:04.000]  這樣就減少了很多中伏
[00:02:04.000 --> 00:02:12.000]  所以我記得我在5月25日晚上,大家知不知道那天發生了甚麼事嗎?
[00:02:12.000 --> 00:02:20.000]  那天是萬年夜,萬乘二比一
[00:02:20.000 --> 00:02:25.000]  球證吹哨,確定他贏了二比一冠軍,那一剎那
[00:02:25.000 --> 00:02:29.000]  我在電話的足球群組裡,彈出一句說話
[00:02:29.000 --> 00:02:35.000]  「萬年好波」,這四個字我當時立刻就擦掉了
[00:02:35.000 --> 00:02:42.000]  這句說話有機會是真心的讚美,如果出自清心目者口裡,我一定不會想
[00:02:42.000 --> 00:02:45.000]  但這個人究竟是誰呢?我先看清楚一點
[00:02:45.000 --> 00:02:53.000]  原來是同道中人,因為他可能是有夜遇的
[00:02:53.000 --> 00:02:58.000]  「好波,好運而已」,下句沒說出來
