
[00:00:00.000 --> 00:00:04.000]  剛才敬拜完之後 心裏面頗掛念的是
[00:00:04.000 --> 00:00:11.000]  最近看了一個新聞 關於台灣一個女孩在東南亞所發生的事情
[00:00:11.000 --> 00:00:15.000]  這件事牽涉到很多問題
[00:00:15.000 --> 00:00:19.000]  香港也有十多個人 台灣也有不少的人
[00:00:19.000 --> 00:00:30.000]  在我們唱敬拜讚美她的時候 很多人的生命都落在很危難的當中
[00:00:30.000 --> 00:00:38.000]  最近有些片段在TG Group裏面的情況出現
[00:00:38.000 --> 00:00:46.000]  不單止是東南亞發生 如果大家再追溯東南亞發生的事情
[00:00:46.000 --> 00:00:51.000]  背後也有很多複雜的事情 牽涉到很多問題
[00:00:51.000 --> 00:00:57.000]  就算現在烏克蘭裏面有很多逃難了的人 去了世界各地不同地方
[00:00:57.000 --> 00:01:06.000]  其實販賣人口的集團在不同地方都在做很多類似的工作
[00:01:06.000 --> 00:01:09.000]  希望我們記掛著這個世界上的需要
[00:01:09.000 --> 00:01:14.000]  今天我們特別想說的是馬太福音十六章
[00:01:14.000 --> 00:01:20.000]  我們看看下一頁的經文
[00:01:20.000 --> 00:01:25.000]  今天我們會看十六章的23至33節
[00:01:25.000 --> 00:01:31.000]  我想說一下這段經文 其實是一段很特別的經文
[00:01:31.000 --> 00:01:34.000]  經文是這樣說的 耶穌來到凱撒尼亞菲勒比
[00:01:34.000 --> 00:01:37.000]  問門徒人子是誰
[00:01:37.000 --> 00:01:46.000]  有人說是伊利亞 有人說是耶利米 其中才是一個
[00:01:46.000 --> 00:01:51.000]  耶穌問他們 你們覺得我是誰
[00:01:51.000 --> 00:01:58.000]  亞瑟文彼得回答 他說你是基督永活神的兒子
[00:01:58.000 --> 00:02:02.000]  耶穌對他說約拿的兒子西門你有福了
[00:02:02.000 --> 00:02:08.000]  他啟示你不是血氣的人 而是我們天上的父
[00:02:08.000 --> 00:02:10.000]  我還要告訴你 你是彼得
[00:02:10.000 --> 00:02:14.000]  我要將這個盆石建立在我的教會
[00:02:14.000 --> 00:02:17.000]  死亡的權勢都不能勝過他 再下一頁
[00:02:17.000 --> 00:02:22.000]  我要把天國約時給你 你在地上捆綁 在天上也捆綁
[00:02:22.000 --> 00:02:25.000]  你在地上釋放 在天上也會釋放
[00:02:25.000 --> 00:02:30.000]  耶穌隨即叫門徒來 不要對他說任何人 他是基督
[00:02:30.000 --> 00:02:35.000]  21至23節 在這個時候耶穌向門徒指出
[00:02:35.000 --> 00:02:38.000]  他必須到耶路撒冷去
[00:02:38.000 --> 00:02:42.000]  在眾長 路祭司長 同經學家手下受很多苦並且被殺
[00:02:42.000 --> 00:02:46.000]  第三天復活 彼得就將他拉到一邊
[00:02:46.000 --> 00:02:52.000]  掌摑耶穌說千萬不要 這件事不會發生在身上
[00:02:52.000 --> 00:02:56.000]  耶穌轉過來對彼得說 撒旦退到後面去
[00:02:56.000 --> 00:03:01.000]  這是害人的陷阱 因為你不關心神的事 只關心人的事
[00:03:01.000 --> 00:03:07.000]  這段經文是很特別的經文 我們看下一頁的powerpoint
[00:03:07.000 --> 00:03:11.000]  其實不知道大家有沒有看到地圖
[00:03:11.000 --> 00:03:14.000]  你會看到藍色的地方叫加利利湖
[00:03:14.000 --> 00:03:17.000]  耶穌的加利利湖在加利利湖
[00:03:17.000 --> 00:03:21.000]  你看一下 該撒尼亞腓拉比在紅色的黑門山下面
[00:03:21.000 --> 00:03:23.000]  如果看地圖的話
[00:03:23.000 --> 00:03:27.000]  你會發現上面要經過下鎖 很多地方
[00:03:27.000 --> 00:03:31.000]  才能到達該撒尼亞腓拉比
[00:03:31.000 --> 00:03:33.000]  如果去過以色列的話
[00:03:33.000 --> 00:03:39.000]  你知道那個地方基本上是一個叫做
[00:03:39.000 --> 00:03:45.000]  Banias 彈的地方 和別斯巴島彈
[00:03:45.000 --> 00:03:47.000]  最北的地方叫彈
[00:03:47.000 --> 00:03:52.000]  所以基本上該撒尼亞腓拉比是一個屬於很北部的地方
[00:03:52.000 --> 00:03:54.000]  我那時候去以色列的時候
[00:03:54.000 --> 00:03:59.000]  在加利利湖附近有很多resort酒店
[00:03:59.000 --> 00:04:04.000]  你坐車上去 繞一繞兩小時才能上去
[00:04:04.000 --> 00:04:08.000]  去到彈 或者去到現在所謂的該撒尼亞腓拉比這個地方
[00:04:08.000 --> 00:04:14.000]  所以聖經裡面記載 無論是馬太記載 馬可記載 和路加記載也好
[00:04:14.000 --> 00:04:21.000]  耶穌在記載這件事之前 是記載耶穌五餅二魚的時候
[00:04:21.000 --> 00:04:26.000]  可能在加利利芬餅完結後 四千人之後發生的事情
[00:04:26.000 --> 00:04:28.000]  如果你看地圖的話
[00:04:28.000 --> 00:04:30.000]  加利利在下面 你明白嗎
[00:04:30.000 --> 00:04:33.000]  海的地方就是加利利湖附近
[00:04:33.000 --> 00:04:35.000]  發生五餅二魚的事件
[00:04:35.000 --> 00:04:39.000]  無端端經文提了一件事
[00:04:39.000 --> 00:04:42.000]  耶穌走了去 經過了該撒尼亞腓拉比
[00:04:42.000 --> 00:04:44.000]  基本上是不驚訝的
[00:04:44.000 --> 00:04:46.000]  沒有人會上去北邊的
[00:04:46.000 --> 00:04:48.000]  就算我們坐車去的時候
[00:04:48.000 --> 00:04:52.000]  經過高欄高地 也要兩個多小時
[00:04:52.000 --> 00:04:54.000]  起碼兩個多小時的車程
[00:04:54.000 --> 00:04:56.000]  才能去到那個地方
[00:04:56.000 --> 00:04:58.000]  所以如果不車 人走的話
[00:04:58.000 --> 00:05:00.000]  基本上不是你走一天就能走到
[00:05:00.000 --> 00:05:02.000]  所以問題關鍵是
[00:05:02.000 --> 00:05:06.000]  為什麼要記載該撒尼亞腓拉比這個小的地方
[00:05:06.000 --> 00:05:08.000]  這個角色
[00:05:08.000 --> 00:05:11.000]  其實聖經特別記載耶穌去了那個地方
[00:05:11.000 --> 00:05:15.000]  馬可和馬太有記載該撒尼亞腓拉比
[00:05:15.000 --> 00:05:18.000]  但路加福音發現不太合理
[00:05:18.000 --> 00:05:21.000]  所以基本上路加記載這件事的時候
[00:05:21.000 --> 00:05:23.000]  其實沒有提到該撒尼亞腓拉比
[00:05:23.000 --> 00:05:29.000]  因為不像無端端要走上去一天以上的路程
[00:05:29.000 --> 00:05:31.000]  再回到加利利
[00:05:31.000 --> 00:05:34.000]  所以為什麼要在該撒尼亞腓拉比
[00:05:34.000 --> 00:05:36.000]  發生整件事情呢
[00:05:36.000 --> 00:05:41.000]  這是很值得去問和討論的一件事情
[00:05:41.000 --> 00:05:44.000]  我們再按一下PowerPoint
[00:05:44.000 --> 00:05:46.000]  該撒尼亞腓拉比是什麼呢
[00:05:46.000 --> 00:05:49.000]  該撒尼亞這個地方代表海撒
[00:05:49.000 --> 00:05:52.000]  海撒代表Caesar
[00:05:52.000 --> 00:05:55.000]  Caesar就是羅馬君王的名字
[00:05:55.000 --> 00:05:59.000]  基本上腓拉比這個地方
[00:05:59.000 --> 00:06:02.000]  不要想是腓拉比輸了就沒有關係
[00:06:02.000 --> 00:06:06.000]  其實為什麼這個地方叫該撒尼亞腓拉比呢
[00:06:06.000 --> 00:06:10.000]  是因為在耶穌出生前的時候
[00:06:10.000 --> 00:06:12.000]  大希律為了要擦鞋
[00:06:12.000 --> 00:06:15.000]  大希律就是追殺耶穌的大希律
[00:06:15.000 --> 00:06:17.000]  要擦鞋
[00:06:17.000 --> 00:06:21.000]  就把其中一個海撒的王
[00:06:21.000 --> 00:06:23.000]  叫做所謂的Augustus
[00:06:23.000 --> 00:06:25.000]  就是奧古士督這個王
[00:06:25.000 --> 00:06:26.000]  就是羅馬的大君王
[00:06:26.000 --> 00:06:27.000]  其中一個很厲害的人
[00:06:27.000 --> 00:06:29.000]  死了之後人們敬拜他
[00:06:29.000 --> 00:06:30.000]  稱他為神
[00:06:30.000 --> 00:06:31.000]  稱他為和平的福音
[00:06:31.000 --> 00:06:35.000]  全部關於耶穌的title都放在海撒尼亞
[00:06:35.000 --> 00:06:37.000]  這個奧古士督身上
[00:06:37.000 --> 00:06:40.000]  所以大希律為了擦鞋的緣故
[00:06:40.000 --> 00:06:44.000]  就特別在這個地方做了一點事
[00:06:44.000 --> 00:06:46.000]  就是建立了一個廟給他
[00:06:46.000 --> 00:06:47.000]  建立了一個廟
[00:06:47.000 --> 00:06:51.000]  專供奉Caesar Augustus
[00:06:51.000 --> 00:06:53.000]  所以去到這個時候
[00:06:53.000 --> 00:06:56.000]  海撒尼亞腓拉比這個地方
[00:06:56.000 --> 00:06:58.000]  本來不是叫這個名字
[00:06:58.000 --> 00:06:59.000]  是叫另一個名字
[00:06:59.000 --> 00:07:01.000]  但是大希律做完這件事之後
[00:07:01.000 --> 00:07:03.000]  他的兒子
[00:07:03.000 --> 00:07:05.000]  他的兒子大希律死了
[00:07:05.000 --> 00:07:07.000]  他的兒子就叫做肥尼
[00:07:07.000 --> 00:07:08.000]  肥立
[00:07:08.000 --> 00:07:10.000]  肥尼或肥立都好
[00:07:10.000 --> 00:07:11.000]  就是Philip
[00:07:11.000 --> 00:07:13.000]  這個兒子就索性
[00:07:13.000 --> 00:07:15.000]  既然爸爸也會擦鞋
[00:07:15.000 --> 00:07:19.000]  他就直接將地方的名字改了
[00:07:19.000 --> 00:07:23.000]  就叫做海撒尼亞肥拉比這個地方
[00:07:23.000 --> 00:07:25.000]  所以這個名字是這樣的
[00:07:25.000 --> 00:07:27.000]  但是這個地方有什麼特別呢
[00:07:27.000 --> 00:07:29.000]  就是這四樣東西
[00:07:29.000 --> 00:07:33.000]  原來這個地方其實一向都拜假神
[00:07:33.000 --> 00:07:36.000]  由很早期拜巴力神
[00:07:36.000 --> 00:07:38.000]  到今時今日你去到這個地方
[00:07:38.000 --> 00:07:40.000]  是不見得的
[00:07:40.000 --> 00:07:43.000]  其中拜巴力神
[00:07:43.000 --> 00:07:46.000]  其實你看到那個地方有很多洞
[00:07:46.000 --> 00:07:47.000]  其中一個最大的洞
[00:07:47.000 --> 00:07:49.000]  就是巴力神在那裡
[00:07:49.000 --> 00:07:53.000]  就是代表他能夠通往陰間的權柄
[00:07:53.000 --> 00:07:55.000]  所以為什麼經文要說
[00:07:55.000 --> 00:07:57.000]  彼得陰間的權柄
[00:07:57.000 --> 00:07:58.000]  就是不能勝過你呢
[00:07:58.000 --> 00:08:02.000]  是因為那個地方充滿著巴力的故事
[00:08:02.000 --> 00:08:04.000]  其中有一個很大的洞
[00:08:04.000 --> 00:08:05.000]  那個洞是什麼意思呢
[00:08:05.000 --> 00:08:09.000]  就是唯有巴力才能夠通往死任陰間的地方
[00:08:09.000 --> 00:08:12.000]  所以那個地方基本上是拜開假神
[00:08:12.000 --> 00:08:14.000]  然後就拜開潘神
[00:08:14.000 --> 00:08:20.000]  潘神就不關潘Sir的事
[00:08:20.000 --> 00:08:24.000]  你可以叫他潘神
[00:08:24.000 --> 00:08:26.000]  你叫我潘Sir 叫他潘神也可以
[00:08:26.000 --> 00:08:28.000]  不過這個名字不是很老例
[00:08:28.000 --> 00:08:33.000]  潘神是希臘牧羊的神
[00:08:33.000 --> 00:08:35.000]  他們都在供奉他
[00:08:35.000 --> 00:08:42.000]  他是半生羊半生人的類似物體的神明
[00:08:42.000 --> 00:08:45.000]  他是專門搞很多女人
[00:08:45.000 --> 00:08:48.000]  所以他老婆在那裡拜他老婆
[00:08:48.000 --> 00:08:50.000]  總之那裡拜很多東西
[00:08:50.000 --> 00:08:53.000]  其中最出名的就是潘神的東西
[00:08:53.000 --> 00:08:57.000]  今時今日你都找到很多關於拜潘神的東西
[00:08:57.000 --> 00:08:59.000]  到今時今日我想說
[00:08:59.000 --> 00:09:00.000]  你去到那個地方的時候
[00:09:00.000 --> 00:09:02.000]  另外就要拜宙斯
[00:09:02.000 --> 00:09:05.000]  因為潘神屬於希臘神話裡的低層次的神
[00:09:05.000 --> 00:09:07.000]  最大的神就是宙斯
[00:09:07.000 --> 00:09:09.000]  所以他也拜宙斯
[00:09:09.000 --> 00:09:11.000]  他還拜了什麼呢
[00:09:11.000 --> 00:09:13.000]  就是大希律剛才所說的
[00:09:13.000 --> 00:09:15.000]  就是拜了奧古斯都
[00:09:15.000 --> 00:09:17.000]  就是連一個死了的羅馬君王
[00:09:17.000 --> 00:09:19.000]  大家都供奉他
[00:09:19.000 --> 00:09:22.000]  所以基本上海撒利亞肥亞比這個地方
