
[00:00:00.000 --> 00:00:04.040]  如果說《擊殺》系列怎能沒有這件事呢?
[00:00:04.040 --> 00:00:06.680]  地面裂開吞噬事件
[00:00:06.680 --> 00:00:08.680]  因為實在太震撼
[00:00:08.680 --> 00:00:10.960]  之前從來沒有發生過
[00:00:10.960 --> 00:00:12.960]  整個地面裂開
[00:00:12.960 --> 00:00:14.600]  又合在一起
[00:00:14.600 --> 00:00:15.800]  超自然
[00:00:15.800 --> 00:00:18.760]  地震未必能解釋這個情況
[00:00:18.760 --> 00:00:21.080]  而大家來之前
[00:00:21.080 --> 00:00:24.200]  大家有沒有看過《文數記》第十六章的經文?
[00:00:24.200 --> 00:00:26.160]  有啊
[00:00:26.160 --> 00:00:27.440]  大家會發現
[00:00:27.440 --> 00:00:30.240]  不單止地面裂開吞噬事件
[00:00:30.240 --> 00:00:32.480]  同時經文還記載著
[00:00:32.480 --> 00:00:35.040]  250個上香的人
[00:00:35.040 --> 00:00:37.040]  被火吞滅的事件
[00:00:37.040 --> 00:00:38.400]  有沒有看到?
[00:00:38.400 --> 00:00:39.400]  嗯
[00:00:39.400 --> 00:00:41.400]  而這兩件事
[00:00:41.400 --> 00:00:42.880]  我自己給自己反應
[00:00:42.880 --> 00:00:44.880]  應該有的
[00:00:44.880 --> 00:00:46.440]  《文數記》第十六章
[00:00:46.440 --> 00:00:48.840]  這兩件事是交織在一起的
[00:00:48.840 --> 00:00:51.480]  我們會以為有一群人
[00:00:51.480 --> 00:00:54.520]  一起不滿意摩西和亞倫
[00:00:54.520 --> 00:00:57.720]  但當我們細心去想的時候
[00:00:57.720 --> 00:00:59.240]  或者去看的時候
[00:00:59.240 --> 00:01:00.720]  我們會發現
[00:01:00.720 --> 00:01:04.200]  第一節所說的荷拉一黨
[00:01:04.200 --> 00:01:06.400]  和250個領袖
[00:01:06.400 --> 00:01:10.520]  是因為他們想在會幕裏面有更高的職位
[00:01:10.520 --> 00:01:13.200]  所以去反亞倫和摩西
[00:01:13.200 --> 00:01:15.520]  然後上帝激殺他們的方式是
[00:01:15.520 --> 00:01:17.320]  讓他們在會幕的門口
[00:01:17.320 --> 00:01:20.240]  當他們去為耶和華上香的時候
[00:01:20.240 --> 00:01:23.520]  就被耶和華上帝用火燒死了
[00:01:24.200 --> 00:01:26.400]  而同在第一節裏面
[00:01:26.400 --> 00:01:28.000]  有另外一組人
[00:01:28.000 --> 00:01:31.680]  劉本子孫裏面
[00:01:31.680 --> 00:01:35.800]  有一個以利亞的兒子大灘和阿比蘭
[00:01:35.800 --> 00:01:38.480]  和比勒的兒子安
[00:01:38.480 --> 00:01:40.000]  這三個領袖
[00:01:40.000 --> 00:01:45.920]  才是今晚地面裂開吞噬事件的主角
