
[00:00:00.000 --> 00:00:01.660]  因著我們去感謝讚美你
[00:00:01.660 --> 00:00:03.460]  因為這是天賦世界
[00:00:03.460 --> 00:00:06.300]  我們知道主你無論是在黑暗裡
[00:00:06.300 --> 00:00:07.700]  在動盪的裡邊
[00:00:07.700 --> 00:00:08.900]  在我們幽暗裡邊
[00:00:08.900 --> 00:00:10.060]  你仍然作王
[00:00:10.060 --> 00:00:11.200]  願神你幫助我們
[00:00:11.200 --> 00:00:12.340]  在我們現在這個地方
[00:00:12.340 --> 00:00:13.540]  我們去相信你
[00:00:13.540 --> 00:00:14.800]  是和我們同在
[00:00:14.800 --> 00:00:16.700]  我們去認定你是我們的王
[00:00:16.700 --> 00:00:19.300]  以致我們今天聽到你話語的時候
[00:00:19.300 --> 00:00:21.860]  我們被你的聖靈去教導我們
[00:00:21.860 --> 00:00:24.160]  被你的聖靈去軟化我們
[00:00:24.160 --> 00:00:25.940]  以致我們的生命能夠去馴服你
[00:00:25.940 --> 00:00:26.740]  跟隨你
[00:00:26.740 --> 00:00:28.060]  我們這樣祈禱奉耶穌
[00:00:28.060 --> 00:00:29.100]  基督的聖名祈求
[00:00:29.100 --> 00:00:30.100]  阿門
[00:00:30.100 --> 00:00:32.500]  今天跟大家看的聖經
[00:00:32.500 --> 00:00:33.800]  什麼?
[00:00:33.800 --> 00:00:37.100]  《不可思議聖經擊殺事件簿》
[00:00:37.100 --> 00:00:38.300]  就去到第四個了
[00:00:38.300 --> 00:00:41.500]  就是《約季一觸即殺》
[00:00:41.500 --> 00:00:44.700]  這件事件是記載在哪裡的呢?
[00:00:44.700 --> 00:00:47.200]  是在《撒慕爾記》下第六章
[00:00:47.200 --> 00:00:48.900]  經文是這樣說的
[00:00:48.900 --> 00:00:51.000]  蘇羅王死了
[00:00:51.000 --> 00:00:52.400]  大家讀不讀一次?
[00:00:52.400 --> 00:00:53.200]  讀吧
[00:00:53.200 --> 00:00:54.200]  聖經說要這麼寶貴
[00:00:54.200 --> 00:00:54.900]  好,你們讀吧
[00:00:54.900 --> 00:00:56.000]  預備,起
[00:00:56.000 --> 00:00:57.100]  好,謝謝弟兄姊妹
[00:00:57.100 --> 00:00:59.300]  這裡經文是說什麼呢?
[00:00:59.300 --> 00:01:02.100]  說到蘇羅王已經死了
[00:01:02.100 --> 00:01:06.200]  大衛正式做以色列和猶太人的王
[00:01:06.200 --> 00:01:08.800]  當他登基要做王之後
[00:01:08.800 --> 00:01:10.500]  他想起約季
[00:01:10.500 --> 00:01:12.000]  他想將約季
[00:01:12.000 --> 00:01:13.200]  由第三次剛才說到
[00:01:13.200 --> 00:01:16.500]  就是亞比拿達的家在山上
[00:01:16.500 --> 00:01:18.800]  在他家運回耶路撒冷
[00:01:18.800 --> 00:01:19.800]  他們做了什麼呢?
[00:01:19.800 --> 00:01:21.600]  他們做了一輛新的車
[00:01:21.600 --> 00:01:25.100]  將約季放在新車上車回來
[00:01:25.100 --> 00:01:26.700]  亞比拿達有兩個兒子
[00:01:26.700 --> 00:01:28.300]  一個兒子叫做阿希約
[00:01:28.300 --> 00:01:30.300]  他可能在車頭
[00:01:30.300 --> 00:01:32.300]  一路帶著車子走
[00:01:32.300 --> 00:01:34.200]  烏薩就在旁邊
[00:01:34.200 --> 00:01:35.600]  磅著車子
[00:01:35.600 --> 00:01:37.200]  第五節讓我們知道
[00:01:37.200 --> 00:01:38.700]  喜氣洋洋
[00:01:38.700 --> 00:01:42.500]  大家很開心迎接約季回到耶路撒冷
[00:01:42.500 --> 00:01:44.000]  用不同的樂器
[00:01:44.000 --> 00:01:45.500]  作樂跳舞
[00:01:45.500 --> 00:01:46.700]  但到了第六節
[00:01:46.700 --> 00:01:48.800]  到了拿什麼和尚?
[00:01:48.800 --> 00:01:51.300]  (笑)
[00:01:51.300 --> 00:01:52.700]  拿根
[00:01:52.700 --> 00:01:53.900]  應該是
[00:01:53.900 --> 00:01:54.800]  我查過的
[00:01:54.800 --> 00:01:55.800]  對了,拿根
[00:01:55.800 --> 00:01:57.400]  大家不懂讀,是吧?
[00:01:57.400 --> 00:01:58.400]  大家記得了
[00:01:58.400 --> 00:02:00.700]  有哪個讀哪個,好嗎?
[00:02:00.700 --> 00:02:02.200]  拿根的和尚
[00:02:02.200 --> 00:02:03.300]  發生什麼事?
[00:02:03.300 --> 00:02:04.700]  牛失前蹄
[00:02:04.700 --> 00:02:06.000]  踢一踢腳
[00:02:06.000 --> 00:02:08.000]  然後約季怎麼辦?
[00:02:08.000 --> 00:02:09.500]  就跌了
[00:02:09.500 --> 00:02:13.100]  烏薩扶著約季
[00:02:13.100 --> 00:02:15.000]  神就很生氣
[00:02:15.000 --> 00:02:17.000]  向烏薩發怒
[00:02:17.000 --> 00:02:19.200]  因者錯誤擊殺他
[00:02:19.200 --> 00:02:22.600]  他就死在神的約季旁邊
[00:02:22.600 --> 00:02:24.700]  烏薩究竟有什麼錯?
[00:02:24.700 --> 00:02:25.800]  烏薩錯了什麼
[00:02:25.800 --> 00:02:28.700]  以致他要死在約季旁邊?
[00:02:28.700 --> 00:02:31.900]  就是他伸手扶著約季這個動作
[00:02:31.900 --> 00:02:33.900]  這個動作錯了什麼?
[00:02:33.900 --> 00:02:35.000]  錯就錯在
[00:02:35.000 --> 00:02:36.900]  其實律法已經寫明
[00:02:36.900 --> 00:02:38.900]  約季是不能碰的
[00:02:38.900 --> 00:02:41.300]  不能碰的
[00:02:41.300 --> 00:02:43.100]  好了,是這一句
[00:02:43.100 --> 00:02:44.600]  在哪裡?
[00:02:44.600 --> 00:02:45.200]  這裡
[00:02:45.200 --> 00:02:46.200]  為什麼不能碰?
[00:02:46.200 --> 00:02:48.600]  文素記四章十五節這樣說
[00:02:48.600 --> 00:02:51.200]  他說你不可以摸這個聖物
[00:02:51.200 --> 00:02:53.800]  免得它們死亡
[00:02:53.800 --> 00:02:56.800]  其實我們挺難接受這個原因的
[00:02:56.800 --> 00:02:59.300]  摸一摸,碰一碰
[00:02:59.300 --> 00:03:01.100]  有什麼大不了的?
[00:03:01.100 --> 00:03:03.100]  不用死吧?
[00:03:03.100 --> 00:03:05.300]  而且烏薩不是無端端
[00:03:05.300 --> 00:03:08.500]  無緣無故手多多去碰
[00:03:08.500 --> 00:03:11.000]  他是良好動機的
[00:03:11.000 --> 00:03:13.000]  出於好心的
[00:03:13.000 --> 00:03:16.900]  是有心的出發點
[00:03:16.900 --> 00:03:19.900]  他看到約季快要掉到地上
[00:03:19.900 --> 00:03:21.700]  所以他才伸手扶著
