
[00:00:00.000 --> 00:00:08.000]  今天的信息主要圍繞兩個舊約聖經的人物
[00:00:08.000 --> 00:00:14.000]  如果你能夠一手聖經,一手電子裝置的話
[00:00:14.000 --> 00:00:18.000]  你可以翻開薩姆耳記上20章
[00:00:18.000 --> 00:00:21.000]  當你重溫這篇信息的時候
[00:00:21.000 --> 00:00:26.000]  你都可以先閱讀13至20章,共8章的經文
[00:00:26.000 --> 00:00:31.000]  放心,保證是劇烈萬軍,一點也不悶
[00:00:31.000 --> 00:00:35.000]  以色列第一個王是數羅王
[00:00:35.000 --> 00:00:39.000]  薩姆耳記上第8章開始提及他的崛起
[00:00:39.000 --> 00:00:45.000]  接著是他的錯失、沒落和戲劇性的慘死
[00:00:45.000 --> 00:00:49.000]  另一邊廂,敘事者又記載到
[00:00:49.000 --> 00:00:52.000]  上帝為以色列人預備了另一個王
[00:00:52.000 --> 00:00:56.000]  就是今天的信息主角大衛
[00:00:56.000 --> 00:01:02.000]  第15章,數羅王曾經在勝出一場戰爭之後
[00:01:02.000 --> 00:01:06.000]  他沒有聽神話,沒有殺盡敵人
[00:01:06.000 --> 00:01:12.000]  才知道薩姆耳離開他,夜禍華的靈也離開他
[00:01:12.000 --> 00:01:17.000]  數羅王已經聞到自己失勢
[00:01:17.000 --> 00:01:22.000]  他有很大的變化,情緒也很差
[00:01:22.000 --> 00:01:26.000]  當數羅見到年輕大衛的崛起
[00:01:26.000 --> 00:01:32.000]  他內心很妒忌,生氣得想殺死大衛
[00:01:32.000 --> 00:01:38.000]  大衛他很厲害嗎?只有死了的大衛才是好的大衛
[00:01:38.000 --> 00:01:41.000]  我一定要追殺他
[00:01:41.000 --> 00:01:44.000]  但數羅王身邊有一個親信
[00:01:44.000 --> 00:01:49.000]  幾次幫助大衛脫離鬼門關
[00:01:49.000 --> 00:01:54.000]  他就是數羅王的兒子約拿丹
[00:01:54.000 --> 00:01:57.000]  今天我們所看的這段經文
[00:01:57.000 --> 00:01:59.000]  薩姆耳記上20章
[00:01:59.000 --> 00:02:04.000]  整個逃難的敘事裡,主角是大衛
[00:02:04.000 --> 00:02:07.000]  約拿丹只是客串
[00:02:07.000 --> 00:02:11.000]  但描寫約拿丹的篇幅也十分多
[00:02:11.000 --> 00:02:16.000]  敘事者在強調約拿丹和大衛的關係
[00:02:16.000 --> 00:02:19.000]  和約拿丹的角色
[00:02:19.000 --> 00:02:26.000]  為什麼約拿丹不幫自己的父親,而要幫大衛呢?
[00:02:26.000 --> 00:02:31.000]  當知道約拿丹放走大衛的時候
[00:02:31.000 --> 00:02:35.000]  薩姆耳記上20章30至31節
[00:02:35.000 --> 00:02:41.000]  「數羅香約拿丹怒氣大發,對他說:
[00:02:41.000 --> 00:02:49.000]  你這患著活逆之婦人所生的,我怎麼會不知道你選擇耶西的兒子」
[00:02:49.000 --> 00:02:51.000]  這裡說的是大衛
