
[00:00:00.000 --> 00:00:02.000]  頂師妹平安
[00:00:02.000 --> 00:00:05.300]  今天會跟大家分享的一段經文
[00:00:05.300 --> 00:00:07.500]  就是剛才詩歌所唱的
[00:00:07.500 --> 00:00:09.300]  《撒種的比喻》
[00:00:09.300 --> 00:00:10.300]  《撒種的比喻》
[00:00:10.300 --> 00:00:14.300]  我想如果大家回教會久了都聽過
[00:00:14.300 --> 00:00:16.600]  一粒相同的稻種
[00:00:16.600 --> 00:00:19.600]  落在不同的土壤裡
[00:00:19.600 --> 00:00:23.100]  會產生不同的結果
[00:00:23.100 --> 00:00:25.600]  耶穌開始帶領門徒
[00:00:25.600 --> 00:00:29.000]  在他們準備跟隨耶穌侍奉之先
[00:00:29.000 --> 00:00:32.500]  就先向他們講這個比喻
[00:00:32.500 --> 00:00:37.500]  我想大家對這段經文都有一定的理解
[00:00:37.500 --> 00:00:39.800]  一段越熟悉的經文
[00:00:39.800 --> 00:00:43.500]  我們對它的執行力應該越強
[00:00:43.500 --> 00:00:45.500]  因為沒什麼可以解釋
[00:00:45.500 --> 00:00:47.000]  句句都明白
[00:00:47.000 --> 00:00:50.500]  所以我們今天所講、所聽的稻
[00:00:50.500 --> 00:00:52.500]  不是重於解釋
[00:00:52.500 --> 00:00:55.000]  而是我們知道之後
[00:00:55.000 --> 00:00:57.500]  你打算怎樣去做
[00:00:57.500 --> 00:00:59.500]  今天在講道之先
[00:00:59.500 --> 00:01:01.500]  我想用一個問題
[00:01:01.500 --> 00:01:03.000]  給大家去思考
[00:01:03.000 --> 00:01:05.500]  這段經文給我們的提醒
[00:01:05.500 --> 00:01:08.500]  我們進入第二節
[00:01:08.500 --> 00:01:10.500]  再跟隨主
[00:01:10.500 --> 00:01:15.000]  究竟在經文裡提過不同的土壤
[00:01:15.000 --> 00:01:18.000]  你認為哪一片土壤
[00:01:18.000 --> 00:01:22.000]  是最適合跟隨主的呢?
[00:01:22.000 --> 00:01:24.000]  大家放在腦裡想一想
[00:01:24.000 --> 00:01:25.000]  看你們不出聲
[00:01:25.000 --> 00:01:27.500]  你也知道我欽佩你們
[00:01:27.500 --> 00:01:29.000]  你自己想一想
[00:01:29.000 --> 00:01:31.500]  究竟哪一片土壤
[00:01:31.500 --> 00:01:33.000]  耶穌講了幾片
[00:01:33.000 --> 00:01:34.500]  哪一片土壤
[00:01:34.500 --> 00:01:39.000]  你認為是最適合跟隨主的那一片呢?
[00:01:39.000 --> 00:01:40.500]  我們去思考之前
[00:01:40.500 --> 00:01:43.000]  一起再讀一篇經文
[00:01:43.000 --> 00:01:46.000]  路加福音的八章九至十五節
[00:01:46.000 --> 00:01:47.500]  讓我們重新再想
[00:01:47.500 --> 00:01:49.000]  究竟哪一片土壤
[00:01:49.000 --> 00:01:52.500]  是你認為最適合跟隨主的土壤
[00:01:52.500 --> 00:01:54.000]  如果看到的話我們一起讀
[00:01:54.000 --> 00:01:56.000]  預備起
[00:01:56.000 --> 00:01:57.500]  大家看完了吧
[00:01:57.500 --> 00:02:00.000]  有選擇了嗎?
[00:02:00.000 --> 00:02:02.000]  讓我先解釋一下
[00:02:02.000 --> 00:02:03.000]  公平一點
[00:02:03.000 --> 00:02:04.500]  我講一下我的看法
[00:02:04.500 --> 00:02:08.000]  耶穌講了四片不同的土壤
[00:02:08.000 --> 00:02:10.500]  他們接受同一粒稻種
[00:02:10.500 --> 00:02:13.000]  各有四種反應
[00:02:13.000 --> 00:02:15.500]  第一種是路旁
[00:02:15.500 --> 00:02:17.000]  耶穌形容這一群人
[00:02:17.000 --> 00:02:19.500]  他自己有一套想法
[00:02:19.500 --> 00:02:23.000]  他從一開始就已經打算拒絕
[00:02:23.000 --> 00:02:24.500]  他心硬
[00:02:24.500 --> 00:02:28.000]  所以當他不領受神的道之後
[00:02:28.000 --> 00:02:29.500]  魔鬼就像飛鳥一樣
[00:02:29.500 --> 00:02:32.500]  盡快將這些道移開
[00:02:32.500 --> 00:02:34.000]  以免他後悔
[00:02:34.000 --> 00:02:36.500]  等下轉頭領受就不行了
[00:02:36.500 --> 00:02:39.000]  耶穌說這樣的領受
[00:02:39.000 --> 00:02:40.500]  這樣的聽道
[00:02:40.500 --> 00:02:42.500]  當然不合格
[00:02:42.500 --> 00:02:44.500]  然後轉去又講第二種
[00:02:44.500 --> 00:02:47.000]  第二種就是落在盤石
[00:02:47.000 --> 00:02:49.000]  又或者在淺土裡面
[00:02:49.000 --> 00:02:51.000]  這句經文耶穌形容他們
[00:02:51.000 --> 00:02:53.000]  喜歡神的道
[00:02:53.000 --> 00:02:55.000]  不過加了一個註腳
[00:02:55.000 --> 00:02:57.500]  是暫時相信
[00:02:57.500 --> 00:02:59.500]  暫時可以用另一個翻譯
[00:02:59.500 --> 00:03:01.500]  就是合用
[00:03:01.500 --> 00:03:05.500]  他們是選擇一些合用的道去聽
