
[00:00:00.000 --> 00:00:08.000]  很高興有機會被邀請到你們當中分享上帝的話語
[00:00:08.000 --> 00:00:14.000]  你們流唐的負責人之一陳Sir
[00:00:14.000 --> 00:00:19.000]  請我分享的時候,我問過他
[00:00:19.000 --> 00:00:26.000]  透過一些同工和匿名人士
[00:00:26.000 --> 00:00:32.000]  知道你們近來是講跟水有關的題目
[00:00:32.000 --> 00:00:37.000]  聽聞包括大衛落難的時候
[00:00:37.000 --> 00:00:41.000]  很想念伯利恆的水
[00:00:41.000 --> 00:00:46.000]  又聽過井旁婦人的打水
[00:00:46.000 --> 00:00:53.000]  還有彌哥德墓的從水和聖靈所生
[00:00:53.000 --> 00:00:58.000]  和建治喝水
[00:00:58.000 --> 00:01:04.000]  我想的時候,究竟在這個時候和大家分享
[00:01:04.000 --> 00:01:07.000]  跟水有關的訊息是什麼呢?
[00:01:07.000 --> 00:01:11.000]  我想到在科幻書裡面那班門徒
[00:01:11.000 --> 00:01:15.000]  坐船和主耶穌,他就在船上睡著了
[00:01:15.000 --> 00:01:19.000]  他們很害怕,很大風浪的時候
[00:01:19.000 --> 00:01:26.000]  風起雲湧,都是要向主靠攏
[00:01:26.000 --> 00:01:29.000]  我知道這個故事,大家都很熟悉
[00:01:29.000 --> 00:01:32.000]  我就想,基癲那個也不錯
[00:01:32.000 --> 00:01:35.000]  有三百人在他們單身的跪下
[00:01:35.000 --> 00:01:40.000]  用手像狗舔水,很警醒
[00:01:40.000 --> 00:01:42.000]  好不好呢?
[00:01:42.000 --> 00:01:44.000]  我就想著想著的時候
[00:01:44.000 --> 00:01:48.000]  又再想著,出埃及記第十五章那裡挺好
[00:01:48.000 --> 00:01:54.000]  因為那次是他們經過摩西,帶他們過紅海之後
[00:01:54.000 --> 00:02:00.000]  唱了一首歌,我們叫做德勝的海歌
[00:02:00.000 --> 00:02:04.000]  紅海,大家都應該熟悉一點
[00:02:04.000 --> 00:02:08.000]  因為近來的紅線都變成了紅海
[00:02:08.000 --> 00:02:13.000]  想著想著的時候,忽然之間
[00:02:13.000 --> 00:02:16.000]  我就想,哎呀,死了
[00:02:16.000 --> 00:02:21.000]  今天是六月十九日
[00:02:21.000 --> 00:02:29.000]  哇,六月可以說是由二零一九年到現在來說
[00:02:29.000 --> 00:02:32.000]  是什麼呢?
