
[00:00:00.000 --> 00:00:10.000]  請大家保重,請大家保重
[00:00:10.000 --> 00:00:12.000]  我們一起祈禱
[00:00:12.000 --> 00:00:17.000]  天父,多謝你今天重現很多雨水
[00:00:17.000 --> 00:00:19.000]  我們今天回到教會當中
[00:00:19.000 --> 00:00:23.000]  今天是你自己工作的時候
[00:00:23.000 --> 00:00:27.000]  我們講道是我們休息的時間
[00:00:27.000 --> 00:00:29.000]  聽道是我們休息的時間
[00:00:29.000 --> 00:00:31.000]  希望你能幫助我們
[00:00:31.000 --> 00:00:34.000]  讓你自己的說話雖然太自不配
[00:00:34.000 --> 00:00:36.000]  但你自己親自對我們說話
[00:00:36.000 --> 00:00:38.000]  逢春命球,大門
[00:00:38.000 --> 00:00:41.000]  八月的月題是平安
[00:00:41.000 --> 00:00:49.000]  要改這個月題的原因是
[00:00:49.000 --> 00:00:51.000]  同工八月放假
[00:00:51.000 --> 00:00:55.000]  不如他們放假的同工放假的同時
[00:00:55.000 --> 00:00:57.000]  一邊休息一邊想想
[00:00:57.000 --> 00:01:01.000]  我自己當然是講第一篇
[00:01:01.000 --> 00:01:06.000]  休息的第一篇是講睡覺的主題
[00:01:06.000 --> 00:01:08.000]  講到前先有一點離身
[00:01:08.000 --> 00:01:11.000]  我今天不是一個健康講座
[00:01:11.000 --> 00:01:12.000]  不是教人怎樣睡覺
[00:01:12.000 --> 00:01:17.000]  也不是聖經如何睡覺的講座
[00:01:17.000 --> 00:01:20.000]  其實我想這麼多人當中
[00:01:20.000 --> 00:01:23.000]  我是最沒有資格教人睡覺的人
[00:01:23.000 --> 00:01:25.000]  大家都知道我一向都睡得很少
[00:01:25.000 --> 00:01:28.000]  平均每天睡四至六個小時
[00:01:28.000 --> 00:01:32.000]  每天大概五六點鐘我就醒了
[00:01:32.000 --> 00:01:36.000]  一覺睡到天亮已經是三十年前的事
[00:01:36.000 --> 00:01:39.000]  睡到十二點我都還沒試過
[00:01:39.000 --> 00:01:41.000]  沒什麼可能發生的事情
[00:01:41.000 --> 00:01:43.000]  所以這麼多年來
[00:01:43.000 --> 00:01:47.000]  基本上我朋友見到任何睡覺方法
[00:01:47.000 --> 00:01:48.000]  都會馬上傳給我
[00:01:48.000 --> 00:01:50.000]  所以我知道很多這些東西
[00:01:50.000 --> 00:01:51.000]  雖然我睡得不好
[00:01:51.000 --> 00:01:53.000]  但我有很多這些方法
[00:01:53.000 --> 00:01:54.000]  我知很多
[00:01:54.000 --> 00:01:56.000]  喝少許咖啡
[00:01:56.000 --> 00:01:57.000]  吃退黑素
[00:01:57.000 --> 00:01:58.000]  安眠藥
[00:01:58.000 --> 00:01:59.000]  按摩
[00:01:59.000 --> 00:02:00.000]  用熱水浸腳
[00:02:00.000 --> 00:02:02.000]  美觀一分鐘的睡覺方法
[00:02:02.000 --> 00:02:03.000]  我沒試過
[00:02:03.000 --> 00:02:04.000]  數綿羊
[00:02:04.000 --> 00:02:06.000]  買一套decent漂亮的睡衣
[00:02:06.000 --> 00:02:08.000]  用香薰精油
[00:02:08.000 --> 00:02:10.000]  四七八呼吸法
[00:02:10.000 --> 00:02:12.000]  穿著襪子睡覺
[00:02:12.000 --> 00:02:13.000]  睡前要吃香蕉
[00:02:13.000 --> 00:02:15.000]  戴眼罩
[00:02:15.000 --> 00:02:17.000]  買幾萬元節目師的床褥
[00:02:17.000 --> 00:02:19.000]  睡前看聖經
[00:02:19.000 --> 00:02:21.000]  我都試過
[00:02:21.000 --> 00:02:23.000]  都不太有效
[00:02:23.000 --> 00:02:25.000]  不過我懷疑
[00:02:25.000 --> 00:02:27.000]  睡覺可能都是天生的
[00:02:27.000 --> 00:02:29.000]  都是天生的
[00:02:29.000 --> 00:02:31.000]  我發現實際上只有兩班人
[00:02:31.000 --> 00:02:33.000]  一班是睡得好的人
[00:02:33.000 --> 00:02:34.000]  一班是睡得不好的
[00:02:34.000 --> 00:02:35.000]  是沒有中間的
[00:02:35.000 --> 00:02:36.000]  睡得很好
[00:02:36.000 --> 00:02:38.000]  睡得不好
[00:02:38.000 --> 00:02:39.000]  一睡
[00:02:39.000 --> 00:02:42.000]  五秒鐘就睡著的人
[00:02:42.000 --> 00:02:44.000]  那些人就很好睡
[00:02:44.000 --> 00:02:45.000]  基本上
[00:02:45.000 --> 00:02:46.000]  一睡超過十秒鐘
[00:02:46.000 --> 00:02:47.000]  都會繼續睡下去
[00:02:47.000 --> 00:02:49.000]  很難起床的那些人
[00:02:49.000 --> 00:02:51.000]  一班就像我這樣
[00:02:51.000 --> 00:02:52.000]  睡得不好的
[00:02:52.000 --> 00:02:54.000]  每晚都睡得很少
