
[00:00:00.000 --> 00:00:03.540]  新年是第一次見大家
[00:00:03.540 --> 00:00:06.100]  上海快要回來
[00:00:06.100 --> 00:00:09.420]  這七年去了倫敦的Full Trip
[00:00:09.420 --> 00:00:11.080]  去了台灣的Full Trip
[00:00:11.080 --> 00:00:14.700]  都問候現在正在看
[00:00:14.700 --> 00:00:16.180]  遲些會看的
[00:00:16.180 --> 00:00:20.340]  在多倫多和倫敦的Full Trip頂尖節目
[00:00:20.340 --> 00:00:24.500]  也都問候在英國各國的Full Trip頂尖節目
[00:00:24.500 --> 00:00:25.980]  以及在國際的頂尖節目
[00:00:25.980 --> 00:00:29.260]  希望新年裏面平安
[00:00:29.260 --> 00:00:32.940]  今年開局大家知道其實是
[00:00:32.940 --> 00:00:35.700]  很需要平安的一年
[00:00:35.700 --> 00:00:39.540]  往後的日子其實每天都很多不同的變遷
[00:00:39.540 --> 00:00:41.980]  我們一起來看一看
[00:00:41.980 --> 00:00:44.820]  今天這一段經文
[00:00:44.820 --> 00:00:47.340]  Full Trip有些嘮叨
[00:00:47.340 --> 00:00:49.140]  待會我會解釋一下為什麼嘮叨
[00:00:49.140 --> 00:00:50.900]  不過我怕我忘記了
[00:00:50.900 --> 00:00:52.620]  不過不重要的
[00:00:52.620 --> 00:00:55.500]  我們今天選了
[00:00:55.500 --> 00:00:58.620]  比喻前書三章八至十頁來講一下
[00:00:58.620 --> 00:01:01.900]  我們很快的一起讀一次
[00:01:01.900 --> 00:01:03.820]  我們很快的一起讀一次
[00:01:03.820 --> 00:01:07.020]  最後你們各人要同心
[00:01:07.020 --> 00:01:08.580]  互相體諒
[00:01:08.580 --> 00:01:10.860]  相信相愛如底氣
[00:01:10.860 --> 00:01:12.340]  心存念脈
[00:01:12.340 --> 00:01:13.820]  態度甜美
[00:01:13.820 --> 00:01:15.700]  不要以惡報惡
[00:01:15.700 --> 00:01:17.580]  以慾罵還慾罵
[00:01:17.580 --> 00:01:19.180]  但也要祝福
[00:01:19.180 --> 00:01:22.260]  因為你們共照守時為止
