
[00:00:00.000 --> 00:00:07.000]  好,各位丁姊妹,可能我們不是晚安,或者早晨,或者其他午安
[00:00:07.000 --> 00:00:12.000]  向世界各地的丁姊妹問安,求天賦一恩典在你當中
[00:00:12.000 --> 00:00:16.000]  為什麼要向世界各地的人問安呢?
[00:00:16.000 --> 00:00:21.000]  因為特別是他們在過去的一個星期,有一件事他們沒有做到的
[00:00:21.000 --> 00:00:27.000]  或者他們做不到的,就是他們沒有看到小薯茄的六周年的數
[00:00:27.000 --> 00:00:37.000]  想介紹給你們看,如果有機會再出的話,是很值得看小薯茄的六周年的數
[00:00:37.000 --> 00:00:44.000]  我以為我去的時候是很多很年輕的小學生,或者中學生去的
[00:00:44.000 --> 00:00:48.000]  誰知道跟我年紀差不多的都大有人在
[00:00:48.000 --> 00:00:52.000]  你知道我不是被迫的被迫的去
[00:00:52.000 --> 00:01:00.000]  整場兩個小時九個字的show是挺好笑的
[00:01:00.000 --> 00:01:03.000]  是你沒什麼機會睡覺的
[00:01:03.000 --> 00:01:08.000]  洪嘉豪又很帥,唱歌好聽
[00:01:08.000 --> 00:01:15.000]  不過小薯茄在最後一幕,他刻意加了一幕在最後
[00:01:15.000 --> 00:01:21.000]  那一幕是令我很感動和震撼的
[00:01:21.000 --> 00:01:27.000]  我相信每一個人在這個時代裡
[00:01:27.000 --> 00:01:34.000]  所做的事情都不得不將我們周遭所面對的事與人與事
[00:01:34.000 --> 00:01:37.000]  都會有些反應
[00:01:37.000 --> 00:01:41.000]  做娛樂的人不只是想做娛樂
[00:01:41.000 --> 00:01:45.000]  娛樂的人都想將身旁發生的事情
[00:01:45.000 --> 00:01:49.000]  以一幕很噁心的樣子去呈現出來
[00:01:49.000 --> 00:01:53.000]  我祈禱的是我們基督徒在自己崗位上
[00:01:53.000 --> 00:01:59.000]  或者在不同的地方裡都繼續有這樣的情況出現
[00:01:59.000 --> 00:02:03.000]  我相信在香港裡仍然有很多人堅持
[00:02:03.000 --> 00:02:10.000]  在很難的事情裡仍然想做一些不同的事情
[00:02:10.000 --> 00:02:14.000]  所以這個月的月題是講新的
[00:02:14.000 --> 00:02:18.000]  所以大體上,我還沒按這個powerpoint會不會出到我那裡
[00:02:18.000 --> 00:02:22.000]  所以我想了一個題目,還在想新的事情是否可以
[00:02:22.000 --> 00:02:27.000]  今天我們會思考一些東西
[00:02:27.000 --> 00:02:30.000]  我們一起思考一個課題
[00:02:30.000 --> 00:02:34.000]  尤其是小說劇可以六年的裡邊
[00:02:34.000 --> 00:02:38.000]  基本上我的子女開電視是沒有興趣看的
[00:02:38.000 --> 00:02:41.000]  只有我的老人家才會看
[00:02:41.000 --> 00:02:47.000]  好像阿兵被人取笑他會做汪阿姐
[00:02:47.000 --> 00:02:50.000]  20年後也會受歡迎
[00:02:50.000 --> 00:02:56.000]  所以對小朋友來說,他們看YouTube看其他東西
[00:02:56.000 --> 00:03:01.000]  是比看電視多
[00:03:01.000 --> 00:03:06.000]  小說劇這六年基本上將一些文化一些觀念
[00:03:06.000 --> 00:03:09.000]  植入在我們當中
[00:03:09.000 --> 00:03:13.000]  不再用電視機的文化去主導娛樂
[00:03:13.000 --> 00:03:16.000]  起碼他們成功
[00:03:16.000 --> 00:03:19.000]  譬如青年荼毒室
[00:03:19.000 --> 00:03:21.000]  哲學可以入屋
[00:03:21.000 --> 00:03:26.000]  哲學可以很簡單地將他們在想的東西
[00:03:26.000 --> 00:03:29.000]  在這個時代裡邊能夠說出來
[00:03:29.000 --> 00:03:31.000]  我相信在這個時代裡邊
[00:03:31.000 --> 00:03:33.000]  很多人會做一些新的東西
[00:03:33.000 --> 00:03:35.000]  而他們能夠成功
[00:03:35.000 --> 00:03:37.000]  所謂成功就是入到屋
[00:03:37.000 --> 00:03:39.000]  又或者很多人都努力
[00:03:39.000 --> 00:03:42.000]  但未必成功入到屋
[00:03:42.000 --> 00:03:46.000]  但問題是教育在這個時代裡邊
[00:03:46.000 --> 00:03:49.000]  很多人都覺得很悶
[00:03:49.000 --> 00:03:52.000]  我都說得很厭
[00:03:52.000 --> 00:03:57.000]  基本上教會裡邊很難再看到年輕人
[00:03:57.000 --> 00:03:59.000]  或者青少年在當中
[00:03:59.000 --> 00:04:03.000]  基本上走的離開的很多
[00:04:03.000 --> 00:04:06.000]  不是純粹移民問題
[00:04:06.000 --> 00:04:09.000]  我們仍然沒有一種新的模式
[00:04:09.000 --> 00:04:13.000]  或者新的東西可以令到下一代的人
[00:04:13.000 --> 00:04:18.000]  覺得可以容易在裡面福音能夠成長
[00:04:18.000 --> 00:04:21.000]  但我知道現在很多人在做這些事情
[00:04:21.000 --> 00:04:24.000]  很多人不同的弟兄姊妹
[00:04:24.000 --> 00:04:27.000]  同工都在努力這些事情
[00:04:27.000 --> 00:04:32.000]  但我想今天能夠從一個我們很熟悉的故事
[00:04:32.000 --> 00:04:35.000]  喂,我在按東西
[00:04:35.000 --> 00:04:38.000]  對不起,對不起,我正在按東西
[00:04:38.000 --> 00:04:42.000]  我希望今天從五餅如魚那裡我們能夠看一點東西
[00:04:42.000 --> 00:04:44.000]  這個故事其實我們很熟悉
[00:04:44.000 --> 00:04:47.000]  不過我今天選了一個樣式的版本
[00:04:47.000 --> 00:04:49.000]  不是馬太馬可路架
[00:04:49.000 --> 00:04:53.000]  這個神蹟是四卷福音書都記載的
[00:04:53.000 --> 00:04:54.000]  我試試看一看
[00:04:54.000 --> 00:04:57.000]  他說後來耶穌到加利利去
[00:04:57.000 --> 00:04:58.000]  就是提比利亞海
[00:04:58.000 --> 00:05:03.000]  有一群人看到了他在病人身上所行的神蹟就跟從了他
[00:05:03.000 --> 00:05:06.000]  耶穌上了山之後和門徒坐在那裡
[00:05:06.000 --> 00:05:09.000]  那時候猶太人的逾節都快到了
[00:05:09.000 --> 00:05:12.000]  耶穌舉目觀看,看到一大群人向他走來
[00:05:12.000 --> 00:05:16.000]  就對弗利說,我們在哪裡可以拿一些餅來給他吃呢?
[00:05:16.000 --> 00:05:18.000]  他說者說是要試驗弗利
[00:05:18.000 --> 00:05:21.000]  其實他早知道自己應該要怎麼做
[00:05:21.000 --> 00:05:23.000]  弗利回答他就說
[00:05:23.000 --> 00:05:25.000]  就算用200銀兩的餅
[00:05:25.000 --> 00:05:29.000]  200銀兩大約是六至八個月的人工
[00:05:29.000 --> 00:05:32.000]  如果你人工四萬塊的話大約是三十二萬左右
[00:05:32.000 --> 00:05:35.000]  也不能夠每人拿一小塊吃
[00:05:35.000 --> 00:05:38.000]  當然了,你三十二萬在自助餐店
[00:05:38.000 --> 00:05:40.000]  很難餵飽五千人
[00:05:40.000 --> 00:05:42.000]  一個門徒就是西門
[00:05:42.000 --> 00:05:45.000]  彼得的兄弟安德烈對耶穌說
[00:05:45.000 --> 00:05:49.000]  這個小孩子拿著五個大餅兩條魚
[00:05:49.000 --> 00:05:51.000]  那時候那麼多人
[00:05:51.000 --> 00:05:54.000]  我們應該算不得什麼了
[00:05:54.000 --> 00:06:00.000]  門徒就將這五個大餅給大家吃
[00:06:00.000 --> 00:06:04.000]  耶穌就吩咐他們坐下
[00:06:04.000 --> 00:06:06.000]  原來那個地方有很多草
[00:06:06.000 --> 00:06:08.000]  於是他們就坐下
[00:06:08.000 --> 00:06:10.000]  南的有五千
[00:06:10.000 --> 00:06:12.000]  耶穌就拿了餅來
[00:06:12.000 --> 00:06:14.000]  感恩就分給他們吃
[00:06:14.000 --> 00:06:16.000]  分魚也是這樣
[00:06:16.000 --> 00:06:19.000]  他們多少就給多少
[00:06:19.000 --> 00:06:20.000]  他們吃飽之後
[00:06:20.000 --> 00:06:22.000]  耶穌對門徒說將剩下的零碎收拾起來
[00:06:22.000 --> 00:06:24.000]  免得浪費
[00:06:24.000 --> 00:06:26.000]  最後的三節
[00:06:26.000 --> 00:06:28.000]  五個大餅
