
[00:00:00.000 --> 00:00:04.800]  今天晚上我們會透過一個大家熟悉的聖經人物
[00:00:04.800 --> 00:00:09.600]  掃羅 神第一位呼召的君王
[00:00:09.600 --> 00:00:15.200]  他的失敗的例子去思想對不起這件事
[00:00:15.200 --> 00:00:19.800]  今天晚上我們會分三部分去完成這個訊息
[00:00:19.800 --> 00:00:21.600]  第一部分我們會看經文
[00:00:21.600 --> 00:00:28.000]  我們透過經文去了解究竟掃羅因什麼原因而死
[00:00:28.000 --> 00:00:31.400]  究竟他死在什麼原因裡面
[00:00:31.400 --> 00:00:34.800]  第二部分我們會透過掃羅的一生
[00:00:34.800 --> 00:00:40.200]  去嘗試在掃羅的錯裡面給我們正面的提醒
[00:00:40.200 --> 00:00:45.000]  然後最後一部分就是自己一個個人的體會
[00:00:45.000 --> 00:00:49.400]  今天我會用一個重點去貫穿這三部分
[00:00:49.400 --> 00:00:52.800]  有些錯不是單一的事情
[00:00:52.800 --> 00:00:56.000]  不是對某件事判斷的錯
[00:00:56.000 --> 00:00:59.200]  甚至不是道德上的問題
[00:00:59.200 --> 00:01:02.200]  有些錯是根本的錯
[00:01:02.200 --> 00:01:05.600]  就好像我們拿著一張錯的地圖
[00:01:05.600 --> 00:01:09.200]  就算你多努力去走你人生的路
[00:01:09.200 --> 00:01:14.000]  最後都是錯
[00:01:14.000 --> 00:01:16.400]  就如掃羅一樣
[00:01:16.400 --> 00:01:23.200]  他一生執迷不悔地去相信他自己那套是對的
[00:01:23.200 --> 00:01:26.800]  就算他多努力演繹他的人生
[00:01:26.800 --> 00:01:30.200]  最後都不是走上帝的路
[00:01:30.200 --> 00:01:32.000]  不過反過來
[00:01:32.000 --> 00:01:35.200]  如果我們認認真真去認錯
[00:01:35.200 --> 00:01:40.000]  我們不再執迷過去那些錯誤的理解
[00:01:40.000 --> 00:01:44.600]  我們就會有機會去發現新的路徑
[00:01:44.600 --> 00:01:46.800]  新的可能
[00:01:46.800 --> 00:01:52.400]  有些事情就會慢慢出現在你和我的眼前
[00:01:52.400 --> 00:01:55.000]  所以今天我希望透過這個訊息
[00:01:55.000 --> 00:01:58.600]  我希望你散會的時候仍然都記得
[00:01:58.600 --> 00:02:02.600]  我們認錯不是叫我們沒面子
[00:02:02.600 --> 00:02:08.000]  而是讓我們可以見到原來還有新的可能
[00:02:08.000 --> 00:02:10.000]  首先我們會看經文
[00:02:10.000 --> 00:02:12.800]  今天我們會透過三段的經文
[00:02:12.800 --> 00:02:18.400]  去想一想究竟掃羅是因什麼而死
[00:02:18.400 --> 00:02:22.200]  第一段經文是在《撒姆爾記》上的最後一章
[00:02:22.200 --> 00:02:24.800]  31章1至6節
[00:02:24.800 --> 00:02:26.600]  經文是不複雜的
[00:02:26.600 --> 00:02:29.200]  如果你看到的話可以看著經文
[00:02:29.200 --> 00:02:31.400]  讓我簡單去解釋
[00:02:31.400 --> 00:02:36.600]  以色列人再次和他的老對手菲利士人爭戰
[00:02:36.600 --> 00:02:38.800]  這次以色列人不夠打
[00:02:38.800 --> 00:02:40.800]  只有逃亡
[00:02:40.800 --> 00:02:43.600]  對手菲利士人窮追不捨
[00:02:43.600 --> 00:02:46.800]  先殺了幾個王子
[00:02:46.800 --> 00:02:50.600]  最後軍王掃羅都身受重傷
[00:02:50.600 --> 00:02:58.600]  他不想像他的先祖參孫落在菲利士人手上
[00:02:58.600 --> 00:03:00.000]  被人凌辱
[00:03:00.000 --> 00:03:04.000]  於是他就叫他旁邊拿兵器的人
[00:03:04.000 --> 00:03:06.000]  將自己了斷
[00:03:06.000 --> 00:03:09.000]  拿兵器的人不敢下手
[00:03:09.000 --> 00:03:13.000]  於是掃羅自己了斷了生命
[00:03:13.000 --> 00:03:15.600]  然後聖經記載拿兵器的人
[00:03:15.600 --> 00:03:17.600]  他都忠於他的主人
[00:03:17.600 --> 00:03:20.400]  死了自殺
[00:03:20.400 --> 00:03:22.800]  經文最後很簡單描述
[00:03:22.800 --> 00:03:29.400]  掃羅和他的忠義和領軍的都戰死在沙場裏面
