
[00:00:00.000 --> 00:00:03.400]  他本身是一個很好的見證
[00:00:03.400 --> 00:00:05.240]  我覺得很值得學習的
[00:00:05.240 --> 00:00:09.560]  就是可能他經常去說工作的東西
[00:00:09.560 --> 00:00:12.480]  又會深一點說一些性經的東西
[00:00:12.480 --> 00:00:15.080]  譬如五餅二魚
[00:00:15.080 --> 00:00:17.240]  說十二門徒
[00:00:17.240 --> 00:00:19.680]  就是突然間在對話裡面
[00:00:19.680 --> 00:00:20.680]  說工作的東西
[00:00:20.680 --> 00:00:23.120]  我們可以好像十二門徒一樣
[00:00:23.120 --> 00:00:25.760]  因為可能比喻真的對我來說
[00:00:25.760 --> 00:00:27.360]  自己也會容易明白很多
[00:00:27.360 --> 00:00:30.240]  所以我覺得原來可以這樣去學習
[00:00:30.240 --> 00:00:32.360]  好 那我們工作之前先騎車
[00:00:32.360 --> 00:00:41.720]  大家好 弟兄姊妹
[00:00:41.720 --> 00:00:44.360]  又到了我們一起聊天的時間
[00:00:44.360 --> 00:00:46.720]  今天有兩位弟兄姊妹請上來
[00:00:46.720 --> 00:00:47.920]  和我們一起分享
[00:00:47.920 --> 00:00:50.840]  首先讓他們先介紹一下自己
[00:00:50.840 --> 00:00:52.880]  不如先由藍先吧
[00:00:52.880 --> 00:00:54.560]  我是阿朗
[00:00:54.560 --> 00:00:58.840]  我在中學工作 也是教書的
[00:00:58.840 --> 00:01:01.840]  大概做了十幾年
[00:01:01.840 --> 00:01:03.440]  好了 到女生了
[00:01:03.440 --> 00:01:04.720]  我是阿陽
[00:01:04.720 --> 00:01:08.000]  我是建築設計界的
[00:01:08.000 --> 00:01:11.480]  我就做了幾年
[00:01:11.480 --> 00:01:12.840]  大家在工作環境當中
[00:01:12.840 --> 00:01:15.520]  有沒有什麼想和我們分享呢
[00:01:15.520 --> 00:01:17.640]  在這個過程當中
[00:01:17.640 --> 00:01:19.680]  對於Workflow這個主題
[00:01:19.680 --> 00:01:22.200]  這次不如女生先來
[00:01:23.920 --> 00:01:24.760]  好呀
[00:01:24.760 --> 00:01:28.400]  有什麼困難
[00:01:28.400 --> 00:01:29.640]  或者對於你來說
[00:01:29.640 --> 00:01:31.280]  每天上班期間
[00:01:31.280 --> 00:01:33.680]  有沒有什麼對於你的信仰
[00:01:33.680 --> 00:01:38.240]  或者工作有些不同的想法和挑戰呢
[00:01:38.240 --> 00:01:40.960]  我覺得 因為我本身的工作環境
[00:01:40.960 --> 00:01:44.280]  就是可能比較忙碌
[00:01:44.280 --> 00:01:47.560]  就是所有事情都很緊湊
[00:01:47.560 --> 00:01:50.440]  一直都會有很多事情要做
[00:01:50.440 --> 00:01:52.680]  都很在期限期間去做
[00:01:52.680 --> 00:01:56.840]  所以公司裏面的基督徒比例
[00:01:56.840 --> 00:01:59.760]  或者我自己的團隊裏面的基督徒比例
[00:01:59.760 --> 00:02:00.560]  是很少的
[00:02:00.560 --> 00:02:04.160]  我可能是一九的比例
[00:02:04.160 --> 00:02:07.120]  我們是小眾來的
[00:02:07.120 --> 00:02:09.960]  所以我覺得作為一個基督徒
[00:02:09.960 --> 00:02:12.120]  在公司或者在我的團隊裏面
[00:02:12.120 --> 00:02:17.640]  其實都很難去
[00:02:17.640 --> 00:02:23.440]  怎樣去突然之間提起信仰或者生活的東西
[00:02:23.440 --> 00:02:27.000]  還有就是本身工作上
[00:02:27.000 --> 00:02:29.080]  可能平時做的事情
[00:02:29.080 --> 00:02:37.120]  是很不需要我作為一個人的牽涉
[00:02:37.120 --> 00:02:40.000]  不需要我是一個什麼人而去做
[00:02:40.000 --> 00:02:40.960]  會做得好一點
[00:02:40.960 --> 00:02:43.160]  而是那些事情就是要做的了
[00:02:43.160 --> 00:02:44.360]  就做了它
[00:02:44.360 --> 00:02:48.960]  所以對我來說是可以很割裂的
[00:02:48.960 --> 00:02:52.920]  和我自己的生活是可以分得很開的
[00:02:52.920 --> 00:02:55.280]  事情就是這樣做的
[00:02:55.280 --> 00:02:56.360]  而我的生活就是這樣
[00:02:56.360 --> 00:02:59.760]  對我作為一個怎樣的人去做這個工作
[00:02:59.760 --> 00:03:01.840]  其實它的重要性不是很大的
[00:03:01.840 --> 00:03:05.960]  所以更加就是我去說生活的事情的時候
[00:03:05.960 --> 00:03:09.240]  或者去平時興趣的事情
[00:03:09.240 --> 00:03:11.040]  都很少會提到
[00:03:11.040 --> 00:03:13.880]  沒有什麼機會去說
[00:03:13.880 --> 00:03:15.760]  這些難處應該都有的
[00:03:15.760 --> 00:03:17.520]  一會兒再了解一下
[00:03:17.520 --> 00:03:19.600]  但是如果做人的工作的教育
[00:03:19.600 --> 00:03:21.880]  阿朗會不會是容易一點呢
[00:03:21.880 --> 00:03:24.240]  我覺得相對容易一點
[00:03:24.240 --> 00:03:27.440]  始終學校都是講價值的
[00:03:27.440 --> 00:03:32.840]  都很多機會可以和同學分享自己的事情
[00:03:32.840 --> 00:03:34.400]  講自己怎樣看
[00:03:34.400 --> 00:03:37.040]  所以相對都容易
[00:03:37.040 --> 00:03:38.520]  不過有些少難處就是
[00:03:38.520 --> 00:03:41.400]  我學校就是男校
