
[00:00:00.000 --> 00:00:02.000]  好,頂姐妹晚安
[00:00:02.000 --> 00:00:11.000]  聖誕節這幾年都很怕說馬大福音一二章和奴家福音一二章
[00:00:11.000 --> 00:00:14.000]  可以說的都說過
[00:00:14.000 --> 00:00:19.000]  凡是很怕這些日子說一些聖誕的訊息
[00:00:19.000 --> 00:00:21.000]  已經很難說了
[00:00:21.000 --> 00:00:26.000]  特別為在聖誕節裡有不同需要的人特別紀念
[00:00:26.000 --> 00:00:31.000]  無論是留下了不同的頂姐妹在不同的地方
[00:00:31.000 --> 00:00:35.000]  或者在艱難容易困所裡
[00:00:35.000 --> 00:00:38.000]  都特別紀念到不同人的需要
[00:00:38.000 --> 00:00:42.000]  所以今天只穿了一件聖誕樹的衣服
[00:00:42.000 --> 00:00:47.000]  多謝贊助商的人好像說在迪士尼Fosen那裡買的
[00:00:47.000 --> 00:00:50.000]  牌子是迪士尼的
[00:00:50.000 --> 00:00:52.000]  我猜應該是
[00:00:52.000 --> 00:00:58.000]  所以選的經文我們不用聖誕節的經文
[00:00:58.000 --> 00:01:01.000]  我們今天用馬大福音第八章
[00:01:01.000 --> 00:01:03.000]  多謝網上的頂姐妹很聰明
[00:01:03.000 --> 00:01:08.000]  她以為會說的是十八章
[00:01:08.000 --> 00:01:10.000]  因為十八章的主題是關於小子
[00:01:10.000 --> 00:01:14.000]  但是我們今天是想說第八章
[00:01:14.000 --> 00:01:16.000]  為什麼會說第八章呢
[00:01:16.000 --> 00:01:23.000]  其實也很關乎我自己最近對福音書其中一個很大的難題
[00:01:23.000 --> 00:01:26.000]  其實我想有些時候了解一下
[00:01:26.000 --> 00:01:28.000]  其實我經常問的問題就是
[00:01:28.000 --> 00:01:31.000]  為什麼耶穌記載的事情那麼多
[00:01:31.000 --> 00:01:33.000]  為什麼會選某些事情要記載
[00:01:33.000 --> 00:01:35.000]  某些事情不記載
[00:01:35.000 --> 00:01:39.000]  這是我看福音書的時候經常想問的問題
[00:01:39.000 --> 00:01:41.000]  為什麼那些東西要寫在這裡
[00:01:41.000 --> 00:01:45.000]  不寫下去其他很多很值得寫的應該不寫
[00:01:45.000 --> 00:01:47.000]  為什麼要寫一些這樣的東西
[00:01:47.000 --> 00:01:50.000]  今天我們可以看四字經文
[00:01:50.000 --> 00:01:52.000]  其實我們看完之後
[00:01:52.000 --> 00:01:55.000]  講這四字經文的機會很少
[00:01:55.000 --> 00:01:58.000]  不過我想解釋一下大麻風這個「伊」字
[00:01:58.000 --> 00:01:59.000]  其實是什麼
[00:01:59.000 --> 00:02:02.000]  或者想講這個故事背後
[00:02:02.000 --> 00:02:06.000]  其實馬太在交代一件什麼事情
[00:02:06.000 --> 00:02:08.000]  不複雜的
[00:02:08.000 --> 00:02:09.000]  耶穌下了山
[00:02:09.000 --> 00:02:11.000]  有很多人跟從祂
[00:02:11.000 --> 00:02:13.000]  有一個長大麻風的人來拜祂
[00:02:13.000 --> 00:02:16.000]  主約肯就必能叫我潔淨了
[00:02:16.000 --> 00:02:18.000]  耶穌伸手摸了他說
[00:02:18.000 --> 00:02:20.000]  我肯你潔淨了吧
[00:02:20.000 --> 00:02:23.000]  他的大麻風立即就潔淨了
[00:02:23.000 --> 00:02:24.000]  耶穌對他說
[00:02:24.000 --> 00:02:26.000]  你切不可告訴人
[00:02:26.000 --> 00:02:29.000]  只要去把身體給祭司擦汗
[00:02:29.000 --> 00:02:31.000]  獻上摩西所吩咐的禮物
[00:02:31.000 --> 00:02:34.000]  對眾人作證據
[00:02:34.000 --> 00:02:38.000]  這個故事其實很容易理解
[00:02:38.000 --> 00:02:39.000]  不複雜
[00:02:39.000 --> 00:02:41.000]  耶穌摸了一個大麻風的人
[00:02:41.000 --> 00:02:43.000]  通常這個故事的應用就是
[00:02:43.000 --> 00:02:46.000]  去了德蘭修女
[00:02:46.000 --> 00:02:49.000]  通常這個故事講完的時候
[00:02:49.000 --> 00:02:51.000]  我們的結論或者總結
[00:02:51.000 --> 00:02:53.000]  或者可以應用到的就是
[00:02:53.000 --> 00:02:55.000]  請我們做一個德蘭修女
[00:02:55.000 --> 00:02:57.000]  摸一些有需要的人
[00:02:57.000 --> 00:02:58.000]  很骯髒的人
[00:02:58.000 --> 00:03:00.000]  或者一些很不可愛的人
[00:03:00.000 --> 00:03:02.000]  請你擁抱他
