
[00:00:00.000 --> 00:00:05.000]  作詞:周杰倫 作曲:李宗盛
[00:00:05.000 --> 00:00:16.780]  I used to float
[00:00:16.780 --> 00:00:20.440]  Now I just fall down
[00:00:20.440 --> 00:00:23.720]  I used to know
[00:00:23.720 --> 00:00:27.200]  But now I'm not sure now
[00:00:27.200 --> 00:00:33.940]  What I was made for
[00:00:33.940 --> 00:00:41.200]  What was I made for
[00:00:41.200 --> 00:00:44.640]  Taking a drive
[00:00:44.640 --> 00:00:48.000]  I was an ideal
[00:00:48.000 --> 00:00:51.200]  No soul alive
[00:00:51.200 --> 00:00:54.480]  Turns out I'm not real
[00:00:54.480 --> 00:01:01.400]  Just something you play for
[00:01:01.400 --> 00:01:09.680]  What was I made for
[00:01:09.680 --> 00:01:16.360]  Cause I
[00:01:16.360 --> 00:01:22.680]  I don't know how to feel
[00:01:22.680 --> 00:01:29.720]  But I wanna try
[00:01:29.720 --> 00:01:36.560]  I don't know how to feel
[00:01:36.560 --> 00:01:43.360]  But someday I might
[00:01:43.360 --> 00:01:54.280]  Someday I might
[00:01:54.280 --> 00:01:57.080]  頂枝妹平安
[00:01:57.080 --> 00:01:59.620]  沒有在這裡兩個星期
[00:01:59.620 --> 00:02:01.660]  這兩個星期我就去了英國
[00:02:01.660 --> 00:02:03.700]  做了一些神學院工作的事
[00:02:03.700 --> 00:02:06.400]  也有機會去探訪我們Full Church
[00:02:06.400 --> 00:02:10.280]  在倫敦、在曼城、在北冥漢的頂枝妹
[00:02:10.280 --> 00:02:13.440]  所以Hi 頂枝妹 英國的頂枝妹好
[00:02:13.440 --> 00:02:14.700]  回到香港了
[00:02:14.700 --> 00:02:18.240]  上個星期阿廷是說
[00:02:18.240 --> 00:02:20.900]  《生命記》三十章 是不是
[00:02:20.900 --> 00:02:22.900]  我有聽過 我有聽現場的
[00:02:22.900 --> 00:02:23.900]  阿廷說到的時候
[00:02:23.900 --> 00:02:27.520]  我那時候在曼城開車去北冥漢
[00:02:27.520 --> 00:02:29.520]  回應CIS不是叫大家一起唱嗎
[00:02:29.520 --> 00:02:32.400]  我在車上有唱
[00:02:32.400 --> 00:02:33.060]  很奇妙
[00:02:33.060 --> 00:02:35.860]  上個星期阿廷說《生命記》三十章
[00:02:35.860 --> 00:02:38.160]  我在英國也是說《生命記》三十章
[00:02:38.160 --> 00:02:39.200]  我在北冥漢Full Church
[00:02:39.200 --> 00:02:41.200]  也是說同一段經文
[00:02:41.200 --> 00:02:46.200]  都是一些上帝聖靈工作的
[00:02:46.200 --> 00:02:51.200]  我們仍然會說第二流
[00:02:51.200 --> 00:02:55.200]  我們會說上一段經文的後續
[00:02:55.200 --> 00:02:57.200]  《生命記》三十章之後
[00:02:57.200 --> 00:02:59.700]  就是約書亞記第一章的經文
[00:02:59.700 --> 00:03:00.700]  我們一起讀吧
[00:03:00.700 --> 00:03:03.700]  我們一起讀約書亞記第一章
[00:03:03.700 --> 00:03:04.700]  一到九節的經文
[00:03:04.700 --> 00:03:06.200]  預備 1 2 3
[00:03:06.200 --> 00:03:07.200]  好 謝謝
[00:03:07.200 --> 00:03:08.700]  上個星期阿廷說
[00:03:08.700 --> 00:03:13.700]  摩西進不了迦南
[00:03:13.700 --> 00:03:16.700]  之後就和以色列民去納約
[00:03:16.700 --> 00:03:19.200]  上星期就說到約的主題
[00:03:19.200 --> 00:03:22.200]  今天我們會說這段故事沒多久
[00:03:22.200 --> 00:03:24.700]  當摩西真的離開世界之後
