
[00:00:00.000 --> 00:00:02.000]  謝謝曼安
[00:00:02.000 --> 00:00:04.600]  今天我們會…
[00:00:04.600 --> 00:00:07.240]  我們今天會看一段經文
[00:00:07.240 --> 00:00:11.600]  三節而已,不會看太多經文
[00:00:11.600 --> 00:00:13.600]  那麼…
[00:00:13.600 --> 00:00:17.000]  希望這三節的聖經能夠給我們
[00:00:17.000 --> 00:00:20.720]  有一點點的想法
[00:00:20.720 --> 00:00:24.200]  今天會多說一點聖經
[00:00:24.200 --> 00:00:25.800]  這句話是甚麼?
[00:00:25.800 --> 00:00:27.800]  總之是這樣
[00:00:27.800 --> 00:00:31.360]  我們來參望一下這期
[00:00:31.360 --> 00:00:33.360]  《高羅西書》一章的三至八節
[00:00:33.360 --> 00:00:36.000]  其實是一句句子
[00:00:36.000 --> 00:00:38.320]  如果要說英文的話
[00:00:38.320 --> 00:00:43.480]  三至八節其實是一句
[00:00:43.480 --> 00:00:47.080]  所以它不應該拆散來看
[00:00:47.080 --> 00:00:49.080]  應該不應該拆散來看
[00:00:49.080 --> 00:00:52.880]  三至八節都是一句說話
[00:00:52.880 --> 00:00:55.480]  如果要理解整句說話
[00:00:55.480 --> 00:00:57.680]  最好是三至八節去理解
[00:00:57.680 --> 00:00:59.680]  但我們今天沒有時間
[00:00:59.680 --> 00:01:01.680]  只能夠說一半
[00:01:01.680 --> 00:01:03.680]  而在這句句子裏
[00:01:03.680 --> 00:01:05.680]  有些東西叫做主語
[00:01:05.680 --> 00:01:07.680]  整句句子裏
[00:01:07.680 --> 00:01:10.680]  一個最重要的句子
[00:01:10.680 --> 00:01:12.680]  不知道在說甚麼
[00:01:12.680 --> 00:01:14.680]  有個主語
[00:01:14.680 --> 00:01:16.680]  這個句子裏所有東西
[00:01:16.680 --> 00:01:18.680]  都是黏著主語去說話
[00:01:18.680 --> 00:01:20.680]  但主語那句是最重要的
[00:01:20.680 --> 00:01:22.680]  第一句
[00:01:22.680 --> 00:01:24.680]  就是三節這句
[00:01:24.680 --> 00:01:27.680]  感謝神我們的主耶穌基督的父
[00:01:27.680 --> 00:01:29.680]  感謝神成為了
[00:01:29.680 --> 00:01:33.680]  這句句子最重要的句子
[00:01:33.680 --> 00:01:35.680]  不知道在說甚麼
[00:01:35.680 --> 00:01:37.680]  是主語
[00:01:37.680 --> 00:01:39.680]  整句句子是圍繞著
[00:01:39.680 --> 00:01:41.680]  這句來說話
[00:01:41.680 --> 00:01:44.680]  往下的句子
[00:01:44.680 --> 00:01:46.680]  如果這樣理解的話
[00:01:46.680 --> 00:01:48.680]  我們就要問一個問題
[00:01:48.680 --> 00:01:51.680]  其實感謝神是甚麼?
[00:01:51.680 --> 00:01:53.680]  不知道大家明白我想說甚麼
[00:01:53.680 --> 00:01:55.680]  感謝神有甚麼重要
[00:01:55.680 --> 00:01:57.680]  成為這麼重要的句子?
[00:01:57.680 --> 00:02:02.680]  通常感謝神在我們圈子裏
[00:02:02.680 --> 00:02:04.680]  通常都是用來
[00:02:04.680 --> 00:02:07.680]  三十週年、五十週年、一百七十週年
[00:02:07.680 --> 00:02:09.680]  二百週年的時候
[00:02:09.680 --> 00:02:11.680]  我們會說感謝神
[00:02:11.680 --> 00:02:17.680]  通常你在這些感謝神的聚會裏
[00:02:17.680 --> 00:02:20.680]  週年、慶典、紀念
[00:02:20.680 --> 00:02:22.680]  坦白說
[00:02:22.680 --> 00:02:25.680]  如果你有機會多去這些聚會的話
[00:02:25.680 --> 00:02:28.680]  通常這些聚會都是歌功頌德
[00:02:28.680 --> 00:02:31.680]  即是怎樣怎樣
[00:02:31.680 --> 00:02:33.680]  有甚麼做過
[00:02:33.680 --> 00:02:35.680]  但你望一望
[00:02:35.680 --> 00:02:38.680]  其實這裏說的感謝神
[00:02:38.680 --> 00:02:40.680]  其實和我們理解的
[00:02:40.680 --> 00:02:43.680]  平時用感謝神其實有點不同
[00:02:43.680 --> 00:02:47.680]  我們今天不花很多時間說感謝神是甚麼
[00:02:47.680 --> 00:02:51.680]  我們試試說一點
[00:02:51.680 --> 00:02:53.680]  說完這個
[00:02:53.680 --> 00:02:56.680]  這句子
[00:02:56.680 --> 00:02:58.680]  感謝神這句
[00:02:58.680 --> 00:03:00.680]  我們總是保持友誼
[00:03:00.680 --> 00:03:02.680]  保持友誼是甚麼?
[00:03:02.680 --> 00:03:04.680]  保持友誼在聖經召生的聖經裏
[00:03:04.680 --> 00:03:06.680]  其實它有一個意思
[00:03:06.680 --> 00:03:08.680]  感謝不是說多謝神
