
[00:00:00.000 --> 00:00:04.000]  好,等節目平安,我們一起祈禱
[00:00:04.000 --> 00:00:08.000]  再來現在去聆聽你自己的說話
[00:00:08.000 --> 00:00:14.000]  願你的聖言,你基督耶穌你的自由
[00:00:14.000 --> 00:00:16.000]  來充滿我們
[00:00:16.000 --> 00:00:22.000]  覆蓋孩子的說話,你自己親自對我們說話
[00:00:22.000 --> 00:00:25.000]  強尼叫我們留堂,整個的教會
[00:00:25.000 --> 00:00:30.000]  現場的,網上的,我們一起來專一在你的說話面前
[00:00:30.000 --> 00:00:33.000]  求你的靈在當中釋放我們
[00:00:33.000 --> 00:00:35.000]  奉尊名求,阿門
[00:00:35.000 --> 00:00:39.000]  今天是我們新的月題,自由
[00:00:39.000 --> 00:00:44.000]  這是一個短的月題,只有四個星期的月題
[00:00:44.000 --> 00:00:48.000]  因為之後我們有一個大的月題,下次再說
[00:00:48.000 --> 00:00:54.000]  所以我們會一起去思想有關自由這個課題
[00:00:54.000 --> 00:01:00.000]  通常作為月題的第一篇講道,經常都要花點時間去解題
[00:01:00.000 --> 00:01:06.000]  甚至乎第一講往往都要去一些方向性的概論
[00:01:06.000 --> 00:01:12.000]  所以發現近來我的講道都是主題式的
[00:01:12.000 --> 00:01:17.000]  今天也不例外,都是一篇一篇主題式的講道
[00:01:17.000 --> 00:01:19.000]  其實很想和大家有一些色經講道
[00:01:19.000 --> 00:01:23.000]  一起去體諒經文,然後一起去細味當中的屬靈意義
[00:01:23.000 --> 00:01:27.000]  不過沒辦法,今天仍然是一篇主題式的講道
[00:01:27.000 --> 00:01:32.000]  我們就來看看聖經裡面有關自由這個課題
[00:01:32.000 --> 00:01:36.000]  自由是什麼呢?
[00:01:36.000 --> 00:01:38.000]  要答這個問題其實不容易
[00:01:38.000 --> 00:01:41.000]  因為自由是一個很廣闊的題目
[00:01:41.000 --> 00:01:43.000]  它涉及很多不同的領域
[00:01:43.000 --> 00:01:48.000]  哲學、政治、心理、個人成長、神學
[00:01:48.000 --> 00:01:56.000]  所以要回到神學上,對於自由的理解
[00:01:56.000 --> 00:01:58.000]  其實我不喜歡在講道的時候講神學
[00:01:58.000 --> 00:02:01.000]  但因為今天這個主題比較神學性
[00:02:01.000 --> 00:02:06.000]  所以不能不以神學作為今天講道的起點
[00:02:06.000 --> 00:02:09.000]  我們今天先講五分鐘神學
[00:02:09.000 --> 00:02:13.000]  所謂自由就是上帝創造我們
[00:02:13.000 --> 00:02:15.000]  我們擁有上帝的形象
[00:02:15.000 --> 00:02:20.000]  我們每個人都擁有我們自己的個別想法和意願
[00:02:20.000 --> 00:02:24.000]  這種自由我們稱之為自由意志
[00:02:24.000 --> 00:02:27.000]  所謂自由意志不是一些很高深的事
[00:02:27.000 --> 00:02:29.000]  每個人都追求自由
[00:02:29.000 --> 00:02:35.000]  因為我們每個人都有實踐自己的想法和意願的想法
[00:02:35.000 --> 00:02:39.000]  我有一個想法要去想出來
[00:02:39.000 --> 00:02:41.000]  我希望能夠實踐我的想法
[00:02:41.000 --> 00:02:44.000]  這個就叫自由,就是這麼簡單
[00:02:44.000 --> 00:02:49.000]  所以自由是我們生命中一個很基本的部分
[00:02:49.000 --> 00:02:52.000]  是我們一生俱來的一種能力
[00:02:52.000 --> 00:02:56.000]  一個嬰兒出生就有自由,都嚮往自由
[00:02:56.000 --> 00:02:59.000]  知道嬰兒是世上最萌失的動物
[00:02:59.000 --> 00:03:03.000]  他得不到東西就會哭,很堅持住
[00:03:03.000 --> 00:03:07.000]  所以我們從小已經對自由有很大的控訴
[00:03:07.000 --> 00:03:10.000]  我們很追求自由的渴望
[00:03:10.000 --> 00:03:13.000]  當然小朋友的自由是有限的
[00:03:13.000 --> 00:03:16.000]  因為小朋友要受父母的管教
[00:03:16.000 --> 00:03:19.000]  當你成為大人後,相比起小朋友
[00:03:19.000 --> 00:03:22.000]  你的自由隨之增多
