
[00:00:00.000 --> 00:00:07.200]  我們一起聽神的話之前我們一起同心同意
[00:00:07.200 --> 00:00:12.000]  神阿的國 你今天仍然做事
[00:00:12.000 --> 00:00:15.200]  你仍然在這個世界做生事
[00:00:15.200 --> 00:00:17.800]  求主你的靈現在這一刻
[00:00:17.800 --> 00:00:20.400]  囂觀在我們每一個人的心裏面
[00:00:20.400 --> 00:00:22.400]  無論我們在現場
[00:00:22.400 --> 00:00:25.600]  無論我們在不同的地方看直播
[00:00:25.600 --> 00:00:27.600]  或者我們在看重播
[00:00:27.600 --> 00:00:31.000]  我都求聖靈你現在在我們心裏面
[00:00:31.000 --> 00:00:33.400]  再一次成為我們生命的主
[00:00:33.400 --> 00:00:35.400]  去提醒我們
[00:00:35.400 --> 00:00:38.400]  讓我們知道今天你要我們做些什麼事
[00:00:38.400 --> 00:00:41.800]  以致我們能夠繼續成為主你的見證
[00:00:41.800 --> 00:00:44.600]  是在黑暗裏面的明燈
[00:00:44.600 --> 00:00:46.000]  求主你幫助我們
[00:00:46.000 --> 00:00:48.000]  教導我們去明白你自己的話
[00:00:48.000 --> 00:00:51.000]  也讓我們有勇氣有能力走在神的道當中
[00:00:51.000 --> 00:00:54.000]  我們這樣祈禱奉耶穌 聖命祈求 阿們
[00:00:54.000 --> 00:00:57.800]  今天是粵題對的最後一講
[00:00:57.800 --> 00:01:01.200]  今天我的講題就是我們不對的節奏
[00:01:01.200 --> 00:01:03.600]  我看到這個海報的時候
[00:01:03.600 --> 00:01:06.800]  有沒有人想過這個海報是怎樣看的呢?
[00:01:06.800 --> 00:01:09.200]  有沒有人想過是由
[00:01:09.200 --> 00:01:11.200]  怎樣啊?
[00:01:11.200 --> 00:01:15.000]  六合彩呢?好像那些左至右 右至上這樣
[00:01:15.000 --> 00:01:18.200]  有沒有人想過是由36244834這樣看的呢?
[00:01:18.200 --> 00:01:21.600]  還是34682344這樣看的呢?
[00:01:21.600 --> 00:01:22.600]  哎呀
[00:01:23.600 --> 00:01:25.600]  真的很不對節奏
[00:01:25.600 --> 00:01:31.600]  這個是一個實驗來的
[00:01:31.600 --> 00:01:37.600]  是我才能做到這些事
[00:01:37.600 --> 00:01:42.600]  事實就證明這個海報是不知道怎樣看的
[00:01:42.600 --> 00:01:43.600]  因為沒有人回答我
[00:01:43.600 --> 00:01:46.600]  而且我這個也跌了
[00:01:46.600 --> 00:01:49.600]  其實是怎樣看的?
[00:01:50.600 --> 00:01:53.600]  是啦 34682344
[00:01:53.600 --> 00:01:55.600]  這個是拍子來的
