
[00:00:00.000 --> 00:00:06.000]  鄧小平議員
[00:00:06.000 --> 00:00:26.000]  自上次會議後發出的資料文件
[00:00:26.000 --> 00:00:48.000]  自上次會議後發出的資料文件
[00:00:48.000 --> 00:01:08.000]  自上次會議後發出的資料文件
[00:01:08.000 --> 00:01:36.000]  自上次會議後發出的資料文件
[00:01:36.000 --> 00:02:04.000]  自上次會議後發出的資料文件
[00:02:04.000 --> 00:02:14.000]  自上次會議後發出的資料文件
[00:02:14.000 --> 00:02:36.000]  自上次會議後發出的資料文件
[00:02:36.000 --> 00:02:58.000]  自上次會議後發出的資料文件
[00:02:58.000 --> 00:03:26.000]  自上次會議後發出的資料文件
[00:03:26.000 --> 00:03:54.000]  自上次會議後發出的資料文件
[00:03:54.000 --> 00:04:04.000]  自上次會議後發出的資料文件
[00:04:04.000 --> 00:04:28.000]  自上次會議後發出的資料文件
[00:04:28.000 --> 00:04:50.000]  自上次會議後發出的資料文件
[00:04:50.000 --> 00:05:00.000]  自上次會議後發出的資料文件
[00:05:00.000 --> 00:05:28.000]  自上次會議後發出的資料文件
[00:05:28.000 --> 00:05:38.000]  自上次會議後發出的資料文件
[00:05:38.000 --> 00:05:48.000]  自上次會議後發出的資料文件
[00:05:48.000 --> 00:06:13.000]  自上次會議後發出的資料文件
[00:06:13.000 --> 00:06:38.000]  自上次會議後發出的資料文件
[00:06:38.000 --> 00:07:02.000]  自上次會議後發出的資料文件
[00:07:02.000 --> 00:07:30.000]  自上次會議後發出的資料文件
[00:07:30.000 --> 00:07:45.000]  自上次會議後發出的資料文件
[00:07:45.000 --> 00:08:10.000]  自上次會議後發出的資料文件
[00:08:10.000 --> 00:08:20.000]  自上次會議後發出的資料文件
[00:08:20.000 --> 00:08:30.000]  自上次會議後發出的資料文件
[00:08:30.000 --> 00:08:58.000]  自上次會議後發出的資料文件
[00:08:58.000 --> 00:09:08.000]  自上次會議後發出的資料文件
[00:09:08.000 --> 00:09:33.000]  自上次會議後發出的資料文件
[00:09:33.000 --> 00:09:48.000]  自上次會議後發出的資料文件
[00:09:48.000 --> 00:10:13.000]  自上次會議後發出的資料文件
[00:10:13.000 --> 00:10:38.000]  自上次會議後發出的資料文件
[00:10:38.000 --> 00:11:03.000]  自上次會議後發出的資料文件
