
[00:00:00.000 --> 00:00:05.440]  好 特遣姊妹 辛苦了
[00:00:05.440 --> 00:00:12.800]  鏡頭你們不知道 今天香港多麼慘
[00:00:12.800 --> 00:00:24.840]  好大雨 剛才在洪瑞玻璃突然下雨
[00:00:24.840 --> 00:00:28.200]  幾分鐘車就可以開回來 但還是不行
[00:00:28.200 --> 00:00:32.360]  我在半島紅綠燈也要馬上停車拿雨衣出來
[00:00:32.360 --> 00:00:35.680]  但已經太遲了 我平時衣服不是這顏色的
[00:00:35.680 --> 00:00:39.520]  淺色一點的 褲子也是黑色 所以看不到
[00:00:39.520 --> 00:00:44.960]  跟大家一樣 大家如果是冷的話記得吹一吹
[00:00:44.960 --> 00:00:48.240]  剛才我在洗手間 用吹風機吹一吹比較好
[00:00:48.240 --> 00:00:53.040]  如果是冷的話 馬上吹一吹衣服 大家不要著涼
[00:00:53.040 --> 00:01:00.720]  我們很不容易來到教會 但也很開心有一段時間可以平安
[00:01:00.720 --> 00:01:10.880]  大家聚在一起 去敬拜 去崇拜 聽上帝的說話
[00:01:10.880 --> 00:01:24.480]  上兩星期我不在香港 去了大陸 台灣 看了很多不同的教會
[00:01:24.480 --> 00:01:31.440]  帶同學去不同的教會 最關鍵的是我們留堂的崇拜
[00:01:31.440 --> 00:01:40.920]  留堂的崇拜真的不一樣 我們的敬拜是有些深度的
[00:01:40.920 --> 00:01:45.880]  無論是歌詞 會忠 一切都是非常之好
[00:01:45.880 --> 00:01:55.320]  所以我們一起來回到裡面 繼續在紫色這個月題
[00:01:55.320 --> 00:01:58.880]  如果你要買股票的話 我想你對這個名詞不會陌生
[00:01:58.880 --> 00:02:02.240]  特別要懂得 否則就很慘
[00:02:02.240 --> 00:02:07.040]  買了股票以為會升 誰知一開始就馬上跌
[00:02:07.040 --> 00:02:11.960]  不怕的 記錄是調整來的 會升回來的
[00:02:11.960 --> 00:02:15.560]  然後跌了三元 最後虧了兩萬元
[00:02:15.560 --> 00:02:21.040]  心想是不是應該放呢 但放的話就真的會虧兩萬
[00:02:21.040 --> 00:02:27.640]  然後你就拒絕止虧 股票就不斷跌 跌了百分之十
[00:02:27.640 --> 00:02:31.680]  少了十萬 你不想放 因為十萬實在太多了
[00:02:31.680 --> 00:02:37.720]  然後就越來越不願意看 最終就不看股市了
[00:02:37.720 --> 00:02:41.840]  就刪掉那個app 以為可以不看就算了
[00:02:41.840 --> 00:02:49.680]  這是一個長線投資來的 最後就可能整副身家都沒了
[00:02:49.680 --> 00:02:54.160]  這個就是止虧一個很重要的道理
[00:02:54.160 --> 00:03:02.440]  為什麼我們這麼怕止蝕 因為止蝕正正要求你親手去承認自己是失敗
[00:03:02.440 --> 00:03:09.640]  止蝕更加要求你自己從身上割出一塊肌肉來離場
[00:03:09.640 --> 00:03:14.640]  大家聽過不少例子 癌症的病人為了保住性命
[00:03:14.640 --> 00:03:20.400]  要將整個器官去切除 燙掉病人 會切掉整隻腳
[00:03:20.400 --> 00:03:25.720]  這個我也經常聽到 細菌感染 整隻手也要切掉
[00:03:25.720 --> 00:03:35.720]  止蝕是痛苦的 因為止蝕是強迫你用極大的痛苦去中斷一個更大的痛苦
[00:03:35.720 --> 00:03:39.880]  所以我們看的經文是一個我認為是最止蝕的經文
[00:03:39.880 --> 00:03:44.040]  整本書裡面最能夠說得出止蝕這個道理的經文
[00:03:44.040 --> 00:03:52.560]  馬可福音第九章 四十二到五十節經文 我預備一二三
[00:03:52.560 --> 00:03:58.880]  我想大家平時比較少聽到聽人說的經文
[00:03:58.880 --> 00:04:01.840]  起碼我自己也沒有聽過人說這段經文
[00:04:01.840 --> 00:04:08.880]  我想這段經文是很難去解釋的 難的原因不是因為很難解釋
[00:04:08.880 --> 00:04:14.200]  其實也很容易解釋 相反是非常容易解釋
[00:04:14.200 --> 00:04:16.640]  難難在底你不知道怎樣實踐出來
[00:04:16.640 --> 00:04:20.480]  當耶穌這樣解釋的時候 耶穌說什麼
[00:04:20.480 --> 00:04:23.600]  通向你一隻手叫你跌倒就將它撼下來
[00:04:23.600 --> 00:04:27.560]  你缺了一個肢體轉入永生 強如有兩隻手落入地獄裡面
[00:04:27.560 --> 00:04:33.000]  入那不滅的火裡去 通向你一隻腳叫你跌倒就把它撼下來
[00:04:33.000 --> 00:04:37.400]  你缺腿轉入永生 強如有兩隻腳被雕在地獄裡
[00:04:37.400 --> 00:04:40.760]  通向你一隻手叫你跌倒就把它撼下來
