
[00:00:00.000 --> 00:00:03.000]  (主席)弟兄姊妹,願你們平安
[00:00:03.000 --> 00:00:08.000]  多謝敬拜隊帶領我們一起敬拜
[00:00:08.000 --> 00:00:11.000]  在網上看到很多弟兄姊妹
[00:00:11.000 --> 00:00:13.000]  多謝敬拜隊
[00:00:13.000 --> 00:00:17.000]  事實上很感恩能夠一起同心伏事
[00:00:17.000 --> 00:00:20.000]  這不是必然的事
[00:00:20.000 --> 00:00:24.000]  但能夠平安,繼續可以跟網上弟兄姊妹
[00:00:24.000 --> 00:00:26.000]  在不同方面一起結連
[00:00:26.000 --> 00:00:31.000]  這是值得感恩的事
[00:00:31.000 --> 00:00:34.000]  你會看到今天的背景
[00:00:34.000 --> 00:00:36.000]  只見一人
[00:00:36.000 --> 00:00:40.000]  因為後面沒有了會眾
[00:00:40.000 --> 00:00:43.000]  是最不理想的崇拜
[00:00:43.000 --> 00:00:46.000]  因為沒有什麼互動
[00:00:46.000 --> 00:00:51.000]  其實一直在準備崇拜的過程中
[00:00:51.000 --> 00:00:55.000]  心情都很混亂
[00:00:55.000 --> 00:01:02.000]  感覺就像疫情開始時要做直播
[00:01:02.000 --> 00:01:07.000]  對於我們來說,技術上不是問題
[00:01:07.000 --> 00:01:10.000]  不過感受上要調整一下
[00:01:10.000 --> 00:01:16.000]  今天難得的,不是假期
[00:01:16.000 --> 00:01:18.000]  本身都是假期
[00:01:18.000 --> 00:01:20.000]  但可能留在家中
[00:01:20.000 --> 00:01:22.000]  你做了什麼呢?
[00:01:22.000 --> 00:01:24.000]  會不會就是煲劇呢?
[00:01:24.000 --> 00:01:28.000]  是為了看文宣宣傳一套劇集
[00:01:28.000 --> 00:01:31.000]  你會為了這個原因煲這套劇呢?
[00:01:31.000 --> 00:01:34.000]  我這兩天都吃了很多魷魚
[00:01:34.000 --> 00:01:38.000]  昨晚吃魷魚,今早也吃魷魚
[00:01:38.000 --> 00:01:41.000]  不過我預先告訴大家
[00:01:41.000 --> 00:01:44.000]  港島內容沒有關於這套劇
