
[00:00:00.000 --> 00:00:04.200]  我會放大原本別人不喜歡的
[00:00:04.200 --> 00:00:08.440]  我會放大了一些草原或者人的不開心
[00:00:08.440 --> 00:00:09.600]  即是怎樣?
[00:00:09.600 --> 00:00:13.040]  即是原本他是少少不喜歡或者不開心
[00:00:13.040 --> 00:00:13.840]  你自己放大了
[00:00:13.840 --> 00:00:17.000]  我就會說很慘 他不喜歡我 怎樣那些
[00:00:17.000 --> 00:00:18.200]  小心不能穿一滴
[00:00:18.200 --> 00:00:19.560]  表面可能真的沒有東西
[00:00:19.560 --> 00:00:20.960]  尤其是山系那些
[00:00:20.960 --> 00:00:22.560]  可能趁機推你下山
[00:00:22.560 --> 00:00:23.880]  是呀 不知道會做些甚麼
[00:00:23.880 --> 00:00:25.200]  即是哪裏很少人走那條路
[00:00:25.200 --> 00:00:27.640]  是呀 腦裏面就想著這些
[00:00:27.640 --> 00:00:29.240]  不知道會不會暗屋居我們居
[00:00:29.240 --> 00:00:31.840]  所以其實我們都要有個群體
[00:00:31.840 --> 00:00:34.000]  剛才你說甚麼?
[00:00:34.000 --> 00:00:36.840]  我寫了「我想決志」
[00:00:36.840 --> 00:00:41.160]  好 歡迎大家
[00:00:41.160 --> 00:00:43.080]  今天又是我們「目者廢吹」
[00:00:43.080 --> 00:00:45.240]  我們今天「目者廢吹」
[00:00:45.240 --> 00:00:47.920]  題目和平時輕微有些不同
[00:00:47.920 --> 00:00:51.080]  這個題目是由我們高質聰去提議的
[00:00:51.080 --> 00:00:52.760]  事緣其實因為每個月
[00:00:52.760 --> 00:00:55.200]  我們想題目都想到頭爆
[00:00:55.200 --> 00:00:58.080]  但有一天阿聰就告訴我
[00:00:58.080 --> 00:00:59.960]  其實可以說一下這個題目
[00:00:59.960 --> 00:01:02.160]  高質聰不是浪得虛名
[00:01:02.160 --> 00:01:04.160]  我馬上就聽他說就好了
[00:01:04.160 --> 00:01:06.320]  純粹是因為組員去提議
[00:01:06.320 --> 00:01:09.360]  可以說一些城中熱話或者電影
[00:01:09.360 --> 00:01:11.200]  所以組員都很高質
[00:01:11.200 --> 00:01:12.880]  組員都想聽一下
[00:01:12.880 --> 00:01:13.920]  有營養的「目者」就有甚麼做
[00:01:13.920 --> 00:01:16.520]  組員都想聽一下「目者」是怎樣看
[00:01:16.520 --> 00:01:18.640]  太廢了 你不如說一下有營養的東西
[00:01:18.640 --> 00:01:21.520]  所以今天我們會說一套電影
[00:01:21.520 --> 00:01:24.720]  那套電影可能大家都有看或未看
[00:01:24.720 --> 00:01:26.720]  就是「不赦之罪」
[00:01:26.720 --> 00:01:30.480]  我們就因為阿聰說要說這套
[00:01:30.480 --> 00:01:32.080]  提議說這套 他們組員
[00:01:32.080 --> 00:01:34.400]  我就說好 我就馬上去了戲院看
[00:01:34.400 --> 00:01:36.840]  看完之後我覺得都值得
[00:01:36.840 --> 00:01:38.640]  可以拿出來和大家分享一下
[00:01:38.640 --> 00:01:42.360]  我們的看法和感受
[00:01:42.360 --> 00:01:44.840]  在開機之前阿迪就說
[00:01:44.840 --> 00:01:47.320]  其實他看樣子就知道
[00:01:47.320 --> 00:01:50.080]  這次是想很認真地分享
[00:01:50.080 --> 00:01:53.440]  因為他就代入了裡面的角色
[00:01:53.440 --> 00:01:54.560]  都是
[00:01:54.560 --> 00:01:55.800]  怎樣分享一下
[00:01:55.800 --> 00:01:56.800]  我看的時候
[00:01:56.800 --> 00:01:58.600]  我和組員一起看的
[00:01:58.600 --> 00:02:01.600]  那些組員都是父母
[00:02:01.600 --> 00:02:04.600]  所以我就雙重代入
[00:02:04.600 --> 00:02:08.080]  上一次在「目者廢催」就說爸爸
[00:02:08.080 --> 00:02:10.160]  但也有另一個身份
[00:02:10.160 --> 00:02:12.080]  就是我經常想如果我是
[00:02:12.080 --> 00:02:12.800]  即黃秋生
[00:02:12.800 --> 00:02:16.320]  我在那個時刻我又會怎樣去
[00:02:16.320 --> 00:02:18.800]  感受 怎樣去回應
[00:02:18.800 --> 00:02:20.640]  你會怎樣 你代入了
[00:02:20.640 --> 00:02:22.080]  我代入不了黃秋生
[00:02:22.080 --> 00:02:23.800]  我們含劇透 你不要說
[00:02:23.800 --> 00:02:24.880]  我們一定劇透的
[00:02:24.880 --> 00:02:27.440]  對 我們等一下肯定會說劇情
[00:02:27.440 --> 00:02:29.680]  如果大家是還沒看那套劇
[00:02:29.680 --> 00:02:32.400]  又很想看又不想知道劇情的話
[00:02:32.400 --> 00:02:34.080]  現在馬上停止
[00:02:34.080 --> 00:02:36.320]  然後看完再回來開我們
[00:02:36.320 --> 00:02:37.920]  如果你不介意知道劇情的話
[00:02:37.920 --> 00:02:39.520]  也很想知道劇情
[00:02:39.520 --> 00:02:41.040]  你就繼續聽我們就可以了
[00:02:41.040 --> 00:02:42.200]  所以我們一定是說劇情
[00:02:42.200 --> 00:02:43.480]  會說完的
[00:02:43.480 --> 00:02:44.480]  你繼續說
[00:02:44.480 --> 00:02:49.000]  我們看完之後一起吃飯
[00:02:49.000 --> 00:02:51.240]  一起討論這套戲
