
[00:00:00.000 --> 00:00:03.720]  留堂的朋友和網上的朋友大家好
[00:00:03.720 --> 00:00:11.120]  自從John告訴我今晚要跟大家講一個報道的訊息
[00:00:11.120 --> 00:00:14.600]  不過就不用請人決志
[00:00:14.600 --> 00:00:18.800]  我就一直心裏面就很混亂
[00:00:18.800 --> 00:00:23.400]  就是說到底講什麼報道訊息呢
[00:00:23.400 --> 00:00:26.800]  到底什麼叫做決志呢
[00:00:26.800 --> 00:00:35.800]  決志又怎麼樣呢 我就很不喜歡在報道會問哪些是新朋友
[00:00:35.800 --> 00:00:39.800]  即是新新舊舊其實都是朋友
[00:00:39.800 --> 00:00:42.600]  不過我在這裏想了很久
[00:00:42.600 --> 00:00:48.200]  其實我今晚很想跟你講的是福音
[00:00:48.200 --> 00:00:53.400]  報道其實就是講福音
[00:00:53.400 --> 00:00:55.400]  講福音是什麼呢
[00:00:55.400 --> 00:00:57.400]  大家告訴我吧
[00:00:57.400 --> 00:01:00.400]  講福音就是告訴你有好東西
[00:01:00.400 --> 00:01:02.200]  有好消息
[00:01:02.200 --> 00:01:06.000]  但是其實這個好消息是不是真的那麼好呢
[00:01:06.000 --> 00:01:10.200]  我就發覺有很多時候我們講來講去
[00:01:10.200 --> 00:01:12.600]  或者你參加過一些聚會
[00:01:12.600 --> 00:01:15.600]  看過一些福音見證
[00:01:15.600 --> 00:01:21.200]  似乎傾向淒慘之後沒那麼慘
[00:01:21.200 --> 00:01:24.800]  墮落之後有飯吃
[00:01:24.800 --> 00:01:28.800]  又隱蔽之後做回一個正常人
[00:01:28.800 --> 00:01:31.800]  其實如果你都不用這些東西
[00:01:31.800 --> 00:01:37.400]  這個福音對你來說其實都不外如是
[00:01:37.400 --> 00:01:41.800]  如果我今晚都是施展渾身解數
[00:01:41.800 --> 00:01:44.800]  告訴你人可以怎樣淒慘
[00:01:44.800 --> 00:01:48.600]  然後可以因著福音的緣故怎樣不淒慘
[00:01:48.600 --> 00:01:50.800]  結果你都是不淒慘的那個
[00:01:50.800 --> 00:01:52.800]  那我就白做
[00:01:52.800 --> 00:01:55.800]  所以我就在想
[00:01:55.800 --> 00:02:00.800]  不如找一些大師跟我們講一下
[00:02:00.800 --> 00:02:05.800]  他說今天其實是充斥著這個A4福音
[00:02:05.800 --> 00:02:07.800]  似是而非
[00:02:07.800 --> 00:02:11.800]  講一絕沒有講全部
[00:02:11.800 --> 00:02:14.800]  我很想我今晚在這裡講
[00:02:14.800 --> 00:02:16.800]  至少對你來說
[00:02:16.800 --> 00:02:20.800]  不是帶多一個A4的東西走開
[00:02:20.800 --> 00:02:23.800]  你缺不缺志在我來說
[00:02:23.800 --> 00:02:26.800]  都不是很重要的事
[00:02:26.800 --> 00:02:28.800]  年輕點我很著緊
[00:02:28.800 --> 00:02:30.800]  我講完道理不缺志
[00:02:30.800 --> 00:02:32.800]  我會很沒面子
[00:02:32.800 --> 00:02:34.800]  我甚至告訴你如果你不缺志
[00:02:34.800 --> 00:02:37.800]  出街被車撞到怎麼辦
[00:02:37.800 --> 00:02:39.800]  現在我不會講
[00:02:39.800 --> 00:02:43.800]  因為很少車撞到聽完我的報道會的人
[00:02:43.800 --> 00:02:46.800]  其實你缺不缺志都不關我事
[00:02:46.800 --> 00:02:48.800]  不過我很開心
[00:02:48.800 --> 00:02:51.800]  就是有時覺得自己寧願找個洞鑽下去
[00:02:51.800 --> 00:02:53.800]  都不知道講成怎樣
[00:02:53.800 --> 00:02:57.800]  但是隔了幾十年之後
[00:02:57.800 --> 00:03:00.800]  有人來跟我說
