
[00:00:00.000 --> 00:00:02.640]  各位FoldChurch的頂尖妹妹,大家平安
[00:00:02.640 --> 00:00:05.680]  今天跟大家分享的題目是
[00:00:05.680 --> 00:00:08.200]  「願人都尊你的名為聖」
[00:00:08.200 --> 00:00:11.640]  不知道大家聽到這個題目的時候會想起什麼
[00:00:11.640 --> 00:00:13.240]  我們會問
[00:00:13.240 --> 00:00:17.320]  到底這個世界現在所尊為聖的是什麼呢?
[00:00:17.320 --> 00:00:19.080]  什麼價值
[00:00:19.080 --> 00:00:22.840]  什麼東西是被這個世界的人所尊為聖的
[00:00:22.840 --> 00:00:24.920]  我也會問
[00:00:24.920 --> 00:00:29.560]  在這個世界上,在這個傳遞上
[00:00:29.760 --> 00:00:32.640]  我們是不是真的看到神聖呢?
[00:00:32.640 --> 00:00:36.720]  因為反過來我們看到的是醜陋
[00:00:36.720 --> 00:00:39.200]  我們看到的是被扭曲的價值
[00:00:39.200 --> 00:00:43.440]  大家都知道「願人都尊你的名為聖」
[00:00:43.440 --> 00:00:45.680]  是出自《主禱文》的
[00:00:45.680 --> 00:00:48.880]  在《馬太福音》六章九到十三節那裡
[00:00:48.880 --> 00:00:53.480]  《主禱文》是耶穌基督教導門徒去祈禱的典範
[00:00:53.480 --> 00:00:56.040]  也成為了歷代基督徒
[00:00:56.040 --> 00:01:00.720]  我們常常一起去頌念的經文和我們的禱告
[00:01:00.720 --> 00:01:04.000]  我自己有一個這樣的疑問
[00:01:04.000 --> 00:01:05.520]  或者一個這樣的想法
[00:01:05.520 --> 00:01:07.960]  到底我們作為基督徒
[00:01:07.960 --> 00:01:10.600]  我們對《主禱文》的內容
[00:01:10.600 --> 00:01:13.120]  我們說得最多
[00:01:13.120 --> 00:01:14.800]  我們提得最多的
[00:01:14.800 --> 00:01:16.280]  是哪幾句呢?
[00:01:16.280 --> 00:01:18.880]  或者你們也可以想一想
[00:01:18.880 --> 00:01:20.880]  到底在整篇《主禱文》裡面
[00:01:20.880 --> 00:01:22.320]  你經常說的
[00:01:22.320 --> 00:01:25.520]  或者你經常會提的是哪一段、哪一句呢?
[00:01:26.000 --> 00:01:29.840]  我自己沒有做過任何的很嚴謹的統計
[00:01:29.840 --> 00:01:32.000]  這個純粹是一個印象而已
[00:01:32.000 --> 00:01:34.720]  按照《主禱文》的結構
