
[00:00:00.000 --> 00:00:01.280]  訂字媒晚安
[00:00:01.280 --> 00:00:03.480]  我想這個星期裏面
[00:00:03.480 --> 00:00:05.800]  我們的心情都是一樣
[00:00:05.800 --> 00:00:07.800]  非常沉重
[00:00:07.800 --> 00:00:10.880]  每天我們見到新聞的時候
[00:00:10.880 --> 00:00:13.120]  我們都非常難過
[00:00:13.120 --> 00:00:16.440]  它是無法能夠舒緩的
[00:00:16.440 --> 00:00:19.600]  越來越多人被捕
[00:00:19.600 --> 00:00:22.600]  越來越多人被捕
[00:00:22.600 --> 00:00:24.680]  昔日的議員
[00:00:24.680 --> 00:00:26.680]  今天成為被囚的人
[00:00:26.680 --> 00:00:29.960]  昔日捍衛良心的一班
[00:00:29.960 --> 00:00:30.960]  大學生
[00:00:30.960 --> 00:00:33.520]  一個一個的被捕入獄
[00:00:33.520 --> 00:00:36.400]  昔日在鏡頭前
[00:00:36.400 --> 00:00:38.400]  鏡頭後的立場姐姐
[00:00:38.400 --> 00:00:41.160]  今天在法庭裏面被控告
[00:00:41.160 --> 00:00:42.920]  顛覆國家
[00:00:42.920 --> 00:00:46.880]  當我們見到今時今日的香港
[00:00:46.880 --> 00:00:48.520]  我們的家園
[00:00:48.520 --> 00:00:51.920]  雖然我們早已經有心理準備
[00:00:51.920 --> 00:00:54.760]  自從去年6月30日開始
[00:00:54.760 --> 00:00:56.960]  我們已經是大概都預計
[00:00:56.960 --> 00:00:59.120]  這些事情的發生
[00:01:00.080 --> 00:01:02.200]  但是每天見到新聞的時候
[00:01:02.200 --> 00:01:05.120]  我們的心依然驚訝
[00:01:05.120 --> 00:01:08.640]  不過在驚訝的同時
[00:01:08.640 --> 00:01:10.520]  我們卻又去發現
[00:01:10.520 --> 00:01:12.840]  在我們內心某個地方
[00:01:12.840 --> 00:01:14.840]  對於這些伎倆
[00:01:14.840 --> 00:01:17.040]  對於這些做法
[00:01:17.040 --> 00:01:18.880]  這種荒謬
[00:01:18.880 --> 00:01:21.800]  我們卻是竟然感覺到熟悉
[00:01:21.800 --> 00:01:25.120]  所以我們心裏面叫自己
[00:01:25.120 --> 00:01:27.320]  不斷的不要去習慣
[00:01:27.600 --> 00:01:29.320]  不要去習慣
[00:01:29.320 --> 00:01:30.920]  不可以去習慣
[00:01:30.920 --> 00:01:32.840]  但是不要否認我們
[00:01:32.840 --> 00:01:34.160]  慢慢的
[00:01:34.160 --> 00:01:36.880]  不再感到非常驚訝
[00:01:36.880 --> 00:01:38.880]  一個很矛盾的狀況
[00:01:38.880 --> 00:01:42.560]  今天我們的講題是
[00:01:42.560 --> 00:01:44.960]  《國安法下的香港》紀錄圖
[00:01:44.960 --> 00:01:47.600]  對於這篇講道
[00:01:47.600 --> 00:01:50.280]  請大家不要期望過高
[00:01:50.280 --> 00:01:52.920]  或者正確來說不要期望過低
[00:01:52.920 --> 00:01:55.280]  這個講道的目的
[00:01:55.280 --> 00:01:57.560]  不是指引大家
[00:01:57.560 --> 00:02:00.040]  如何去面對將來《國安法》
[00:02:00.040 --> 00:02:02.560]  有什麼措施或者做法
[00:02:02.560 --> 00:02:04.720]  組織家庭教會
[00:02:04.720 --> 00:02:06.920]  或者地下的教會等等
[00:02:06.920 --> 00:02:08.960]  或者是防止如何被捕
[00:02:08.960 --> 00:02:10.960]  我們親自認為
[00:02:10.960 --> 00:02:12.560]  這是期望過低的
[00:02:12.560 --> 00:02:15.600]  因為這些事情都是次要的
[00:02:15.600 --> 00:02:19.240]  教會如何去面對這些問題
[00:02:19.240 --> 00:02:22.440]  教會的罪惡如何面對這些禁令
[00:02:23.160 --> 00:02:25.160]  紀錄圖如何防止被捕
[00:02:25.160 --> 00:02:27.240]  這些都是一些方法的問題
[00:02:27.240 --> 00:02:30.640]  如何生存的問題
[00:02:30.640 --> 00:02:32.440]  永遠都是一些次要的問題
[00:02:32.440 --> 00:02:36.320]  生存的意志和力量
[00:02:36.320 --> 00:02:39.240]  才是對比起這些生存的方法
[00:02:39.240 --> 00:02:40.520]  更加重要
