
[00:00:00.000 --> 00:00:05.000]  好,各位頂智媒晚安,海外的頂智媒晚安
[00:00:05.000 --> 00:00:10.720]  這個月題其實是一個很難說的月題
[00:00:10.720 --> 00:00:13.440]  說未來,因為我們沒有水晶球
[00:00:13.440 --> 00:00:19.840]  所以其實說未來其實是一個很不容易的課題
[00:00:19.840 --> 00:00:24.480]  坦白說,這篇的經文,待會說的那段其實我改過來的
[00:00:24.480 --> 00:00:28.320]  基本上兩三個星期前我定了另一段經文說的
[00:00:28.320 --> 00:00:33.440]  不過,這個星期,即是過去的六天的時候就轉了一段經文
[00:00:33.440 --> 00:00:39.200]  這個課題對我來說,想了很久不知道該說什麼
[00:00:39.200 --> 00:00:44.080]  我們先看看PowerPoint
[00:00:44.080 --> 00:00:46.560]  我們看看PowerPoint
[00:00:46.560 --> 00:00:52.960]  我想說一下我神學畢業的時候,1999年
[00:00:52.960 --> 00:00:59.520]  那時候剛出道,那時候說未來教會是說什麼
[00:00:59.520 --> 00:01:05.760]  我還記得那時候立志一生,那時候很敬虔
[00:01:05.760 --> 00:01:08.960]  今天也是
[00:01:08.960 --> 00:01:15.440]  就是想用聖經改變,聖經不要解得很奇怪
[00:01:15.440 --> 00:01:18.720]  希望能夠用聖經解得好一點,能夠幫助教會
[00:01:18.720 --> 00:01:20.800]  那時候有這樣的想法
[00:01:20.800 --> 00:01:24.640]  或者對教會是有期盼的
[00:01:24.640 --> 00:01:28.400]  不怕困難,或者覺得沒所謂的困難
[00:01:28.400 --> 00:01:31.360]  其實那時候我們老師經常都跟我們說一句
[00:01:31.360 --> 00:01:34.800]  那句話經常都在騙我們,今天也在騙我們
[00:01:34.800 --> 00:01:37.360]  他說最重要就是鬥長命
[00:01:37.360 --> 00:01:40.960]  總之你教會裡面長命過那些人,你就贏了
[00:01:40.960 --> 00:01:43.040]  仇遠老師也是這樣說的
[00:01:43.040 --> 00:01:45.840]  你不要放棄,經常叫我們不要放棄
[00:01:45.840 --> 00:01:49.680]  鬥長命,總之他們覺得我們會長命一點
