
[00:00:00.000 --> 00:00:03.400]  大家好,我是Flow Church的牧者Victor
[00:00:03.400 --> 00:00:09.400]  今天是我來為大家講閱題第二講
[00:00:09.400 --> 00:00:12.400]  我們閱題是「上莊」
[00:00:12.400 --> 00:00:14.400]  先看一看
[00:00:14.400 --> 00:00:18.400]  因為昨天牧者會的時候
[00:00:18.400 --> 00:00:21.400]  潘Sir很害怕一件事
[00:00:21.400 --> 00:00:23.400]  就是我的組員舉牌
[00:00:23.400 --> 00:00:27.400]  我很感謝我的組員最後沒有舉牌
[00:00:27.400 --> 00:00:30.400]  不然之後的牧者會很尷尬
[00:00:30.400 --> 00:00:32.400]  我自己也害怕
[00:00:32.400 --> 00:00:34.400]  先回到正題
[00:00:34.400 --> 00:00:39.400]  上星期John問大家有沒有上過莊
[00:00:39.400 --> 00:00:42.400]  我自己沒有上過
[00:00:42.400 --> 00:00:45.400]  大概我也知道上莊是什麼
[00:00:45.400 --> 00:00:50.400]  就是一班人一起做點事情
[00:00:50.400 --> 00:00:52.400]  做點事情的對象是什麼呢
[00:00:52.400 --> 00:00:55.400]  在大學當然是為校園做點事情
[00:00:55.400 --> 00:01:00.400]  今天我們說要一班人一起做點事情
[00:01:00.400 --> 00:01:02.400]  對象是什麼呢
[00:01:02.400 --> 00:01:08.400]  應該是教會、社區、世界
[00:01:08.400 --> 00:01:13.400]  我就想,其實我自己有沒有做過這些事情呢
[00:01:13.400 --> 00:01:22.400]  我就想,好像來來去去一班人一起都是玩
[00:01:22.400 --> 00:01:28.400]  比如去旅行、打球、吃火鍋
[00:01:28.400 --> 00:01:30.400]  都是去玩的
[00:01:30.400 --> 00:01:33.400]  有沒有一些有意義的東西呢
[00:01:33.400 --> 00:01:35.400]  我不是很想到
[00:01:35.400 --> 00:01:38.400]  然後我就嘗試拿我的手機出來
[00:01:38.400 --> 00:01:41.400]  相簿通常有些合照
[00:01:41.400 --> 00:01:43.400]  我就在這裡錄下錄下錄
[00:01:43.400 --> 00:01:46.400]  不停地錄不停地錄
[00:01:46.400 --> 00:01:48.400]  最後找到一張相
[00:01:50.400 --> 00:01:53.400]  這張相是我和一班牧者
[00:01:53.400 --> 00:01:56.400]  在今年5月6日星期六
[00:01:56.400 --> 00:02:00.400]  在中環碼頭拍的一張合照
[00:02:00.400 --> 00:02:02.400]  如果你記得那一天
[00:02:02.400 --> 00:02:06.400]  其實就是我們Flow Church的第一次戶外崇拜
[00:02:06.400 --> 00:02:13.400]  那天我記得天氣是有點悶熱的
[00:02:13.400 --> 00:02:16.400]  好像在下雨
[00:02:16.400 --> 00:02:18.400]  最重要是旁邊很嘈雜
[00:02:18.400 --> 00:02:23.400]  因為有周杰倫的世界演唱會
[00:02:23.400 --> 00:02:28.400]  但這一切都沒有了我們一班人
[00:02:28.400 --> 00:02:31.400]  台上台下幕前幕後
[00:02:31.400 --> 00:02:34.400]  四百多五百人
[00:02:34.400 --> 00:02:39.400]  我們一起藉著詩歌、祈禱去敬拜神
[00:02:39.400 --> 00:02:46.400]  我會說這是一件對教會、社區、世界很有意義的事情
[00:02:47.400 --> 00:02:51.400]  你有沒有想過原來你的參與
[00:02:51.400 --> 00:02:57.400]  已經是做一件這麼熱血、這麼童心
[00:02:57.400 --> 00:03:02.400]  是一件這麼榮耀主義的事
[00:03:02.400 --> 00:03:09.400]  不過聖經同樣也有一件事
[00:03:09.400 --> 00:03:11.400]  這件事也是一班人
[00:03:11.400 --> 00:03:16.400]  一起很童心、很熱血、很有使命感去做一件事
[00:03:16.400 --> 00:03:21.400]  偏偏就是這件事令他們得罪神
[00:03:21.400 --> 00:03:24.400]  然後他們被神審判
[00:03:24.400 --> 00:03:31.400]  我們一起看看我們很熟悉的記載
[00:03:31.400 --> 00:03:32.400]  《巴別塔》
[00:03:32.400 --> 00:03:36.400]  它出自《創世紀》十一章一至九節
[00:03:36.400 --> 00:03:39.400]  那時全地只有一種語言
[00:03:39.400 --> 00:03:41.400]  都說一樣的話
[00:03:41.400 --> 00:03:44.400]  他們向東遷移的時候
[00:03:44.400 --> 00:03:47.400]  在士那地找到一片平原
[00:03:47.400 --> 00:03:49.400]  就住在那裡
[00:03:49.400 --> 00:03:51.400]  他們彼此商量說
[00:03:51.400 --> 00:03:53.400]  來讓我們來做磚
[00:03:53.400 --> 00:03:55.400]  把磚燒透了
[00:03:55.400 --> 00:03:58.400]  他們就拿磚當石頭
[00:03:58.400 --> 00:04:00.400]  又拿柏油當禮章
[00:04:00.400 --> 00:04:05.400]  他們說來讓我們建造一座城和一座塔
[00:04:05.400 --> 00:04:07.400]  塔頂通天
[00:04:07.400 --> 00:04:09.400]  我們要為自己立名
[00:04:09.400 --> 00:04:13.400]  免得我們分散在全地面上
[00:04:13.400 --> 00:04:20.400]  又說光臨要看世人所建造的城和塔
[00:04:20.400 --> 00:04:22.400]  又說看啊
[00:04:22.400 --> 00:04:24.400]  他們成了同一個民族
[00:04:24.400 --> 00:04:26.400]  都有一樣的語言
