
[00:00:00.000 --> 00:00:02.000]  (主持人:各位姐妹平安)
[00:00:02.000 --> 00:00:08.000]  (主持人:今天是約定這個月題的第二講)
[00:00:08.000 --> 00:00:12.000]  (主持人:如果你有留意到這個講題)
[00:00:12.000 --> 00:00:16.000]  (主持人:承接了上一個星期的講題)
[00:00:16.000 --> 00:00:20.000]  (主持人:都是來自黃飛約定這首歌)
[00:00:20.000 --> 00:00:23.000]  (主持人:今天如果你留意到經文的內容)
[00:00:23.000 --> 00:00:26.000]  (主持人:其實都很貼切的)
[00:00:26.000 --> 00:00:28.000]  (主持人:因為今天的經文內容是來自)
[00:00:28.000 --> 00:00:32.000]  (主持人:《時代行傳》後面的篇章)
[00:00:32.000 --> 00:00:37.000]  (主持人:對於如果你熟悉《時代行傳》的訊息的時候)
[00:00:37.000 --> 00:00:42.000]  (主持人:你會看到保羅的一幕一幕的)
[00:00:42.000 --> 00:00:47.000]  (主持人:行程的篇章已經開始慢慢終結了)
[00:00:47.000 --> 00:00:50.000]  (主持人:話別的說話開始講)
[00:00:50.000 --> 00:00:55.000]  (主持人:對於六七月來說都挺普遍的)
[00:00:55.000 --> 00:00:58.000]  (主持人:因為之前在祈禱會也好)
[00:00:58.000 --> 00:01:01.000]  (主持人:或者在不同的場合)
[00:01:01.000 --> 00:01:05.000]  (主持人:大家都會感受到有很多分離的場合)
[00:01:05.000 --> 00:01:11.000]  (主持人:當舅師講約定這個月題的時候)
[00:01:11.000 --> 00:01:16.000]  (主持人:這段經文對我來說是一個很大的提醒)
[00:01:16.000 --> 00:01:18.000]  (主持人:其實面對人的分離)
[00:01:18.000 --> 00:01:22.000]  (主持人:面對人的不同的處境)
[00:01:22.000 --> 00:01:27.000]  (主持人:其實怎樣可以保持一段關係)
[00:01:27.000 --> 00:01:31.000]  (主持人:或者怎樣可以繼續信守一個承諾)
[00:01:31.000 --> 00:01:33.000]  (主持人:其實一點都不容易的)
[00:01:33.000 --> 00:01:37.000]  (主持人:何況未來會怎樣)
[00:01:37.000 --> 00:01:39.000]  (主持人:會不會再見到呢)
[00:01:39.000 --> 00:01:40.000]  (主持人:更加說不定)
[00:01:40.000 --> 00:01:43.000]  (主持人:但大家都會本著一個盼望)
[00:01:43.000 --> 00:01:45.000]  (主持人:一個相信去繼續下去)
[00:01:45.000 --> 00:01:48.000]  (主持人:這段經文是記載在《時代行傳》)
[00:01:48.000 --> 00:01:51.000]  (主持人:第20章的後半段)
[00:01:51.000 --> 00:01:53.000]  (主持人:經文的第一節是這樣說的)
[00:01:53.000 --> 00:01:56.000]  (主持人:第17節是這樣說的)
[00:01:56.000 --> 00:02:00.000]  (主持人:本來從米利都打發人往爾忽所去)
[00:02:00.000 --> 00:02:03.000]  (主持人:請教會的長老來)
[00:02:03.000 --> 00:02:05.000]  (主持人:這節是第17節經文)
[00:02:05.000 --> 00:02:10.000]  (主持人:其實對於如果不太熟悉聖經的地理)
[00:02:10.000 --> 00:02:13.000]  (主持人:或者是《時代行傳》的脈絡的過程當中)
[00:02:13.000 --> 00:02:16.000]  (主持人:其實很多人名都不熟悉的)
[00:02:16.000 --> 00:02:20.000]  (主持人:就正如外國人來到香港告訴你)
[00:02:20.000 --> 00:02:24.000]  (主持人:我們會經過大埔再下一站就是那裡)
[00:02:24.000 --> 00:02:26.000]  (主持人:其實大家都不會明白的)
[00:02:26.000 --> 00:02:27.000]  (主持人:因為不會去過一個地方)
[00:02:27.000 --> 00:02:28.000]  (主持人:就不會熟悉的地點)
[00:02:28.000 --> 00:02:31.000]  (主持人:我以前教《時代行傳》的朱一學的時候)
[00:02:31.000 --> 00:02:33.000]  (主持人:就和一班學生)
[00:02:33.000 --> 00:02:34.000]  (主持人:就一直看著地圖)
[00:02:34.000 --> 00:02:39.000]  (主持人:就一直和他講解《時代行傳》的篇章的時候)
[00:02:39.000 --> 00:02:42.000]  (主持人:對於他們完了整季朱一學)
[00:02:42.000 --> 00:02:44.000]  (主持人:他們很多經文都不記得)
[00:02:44.000 --> 00:02:47.000]  (主持人:但就記得保羅的行程和脈絡在哪裡)
[00:02:47.000 --> 00:02:49.000]  (主持人:對於我來說其實都是很重要)
[00:02:49.000 --> 00:02:53.000]  (主持人:所以今天在講這麼大的篇幅的過程當中)
[00:02:53.000 --> 00:02:55.000]  (主持人:又希望和大家重溫一下)
[00:02:55.000 --> 00:02:59.000]  (主持人:其實保羅的行蹤或者宣教的經歷)
[00:02:59.000 --> 00:03:02.000]  (主持人:對於我們今天有什麼提醒呢?)
[00:03:02.000 --> 00:03:08.000]  (主持人:在開始的時候和大家看一看一幅截圖)
[00:03:08.000 --> 00:03:11.000]  (主持人:其實保羅第三次的宣教旅程)
[00:03:11.000 --> 00:03:14.000]  (主持人:是很…還確的範圍都很闊的)
[00:03:14.000 --> 00:03:15.000]  (主持人:你光看地點)
[00:03:15.000 --> 00:03:23.000]  (主持人:你會看到從安提拉開始出發到雅典)
[00:03:23.000 --> 00:03:25.000]  (主持人:其實一點都不容易)
[00:03:25.000 --> 00:03:26.000]  (主持人:不要說以前)
[00:03:26.000 --> 00:03:30.000]  (主持人:就算是現在叫你在敘利亞這個地方)
[00:03:30.000 --> 00:03:33.000]  (主持人:到雅典徒步的方法)
[00:03:33.000 --> 00:03:35.000]  (主持人:其實都需要很多經歷)
[00:03:35.000 --> 00:03:39.000]  (主持人:何況那時候沒有那麼多地圖)
[00:03:39.000 --> 00:03:43.000]  (主持人:而交通工具又不算像現在那麼多選擇)
[00:03:43.000 --> 00:03:45.000]  (主持人:更加沒有Google Map)
[00:03:45.000 --> 00:03:49.000]  (主持人:何況現在有時候有人用Google Map都會看錯方向)
[00:03:49.000 --> 00:03:53.000]  (主持人:但保羅正正去不同的方式的時候)
[00:03:53.000 --> 00:03:56.000]  (主持人:都是用這個徒步)
[00:03:56.000 --> 00:04:01.000]  (主持人:隨走隨存的方式去將耶穌就是基督)
[00:04:01.000 --> 00:04:03.000]  (主持人:福音就是上帝的大能)
[00:04:03.000 --> 00:04:04.000]  (主持人:去叫一切相信的)
[00:04:04.000 --> 00:04:08.000]  (主持人:就透過不同的路程去經歷)
[00:04:08.000 --> 00:04:12.000]  (主持人:甚至乎是經過很多的患難)
[00:04:12.000 --> 00:04:15.000]  (主持人:所以花點時間去看看)
[00:04:15.000 --> 00:04:17.000]  (主持人:其實保羅對於我們來說)
[00:04:17.000 --> 00:04:19.000]  (主持人:今天我們面對全福音)
[00:04:19.000 --> 00:04:21.000]  (主持人:面對很多困境)
[00:04:21.000 --> 00:04:25.000]  (主持人:面對教會的運作很多難關的時候)
[00:04:25.000 --> 00:04:29.000]  (主持人:其實保羅的生命正正就是幫我們有很多借鏡)
