
[00:00:00.000 --> 00:00:05.300]  祝叔多謝你,因為你讓我們有生命
[00:00:05.300 --> 00:00:11.300]  我們仍然存活,我們由2024到新一年感謝你
[00:00:11.300 --> 00:00:14.300]  我們留堂,每個弟子妹
[00:00:14.300 --> 00:00:18.300]  我們一起在新一年裡領受你的說話
[00:00:18.300 --> 00:00:20.300]  你自己對我們說話
[00:00:20.300 --> 00:00:23.300]  你再次賜我們豐盛的生命
[00:00:23.300 --> 00:00:28.300]  太子口齒不潔,你自己幫助
[00:00:28.300 --> 00:00:31.300]  用原理的說話親自對我們
[00:00:31.300 --> 00:00:33.300]  透過你的聖靈在當中動工
[00:00:33.300 --> 00:00:36.300]  改變我們的生命,奉主命求,阿門
[00:00:36.300 --> 00:00:42.300]  弟子妹平安,祝大家2025年身體健康
[00:00:42.300 --> 00:00:46.300]  希望新一年裡我們懷著盼望
[00:00:46.300 --> 00:00:51.300]  懷著新的可能,新的開始,有新的轉變
[00:00:51.300 --> 00:00:58.300]  這題目突然變得很好,是我自己不好
[00:00:58.300 --> 00:01:02.300]  新一年的月題叫「變變變」
[00:01:02.300 --> 00:01:07.300]  冠名思義是想跟大家思想一下改變
[00:01:07.300 --> 00:01:14.300]  今天我想由一個今個星期發生的事情開始說起
[00:01:14.300 --> 00:01:20.300]  大家知不知道最近比達將會變成超級化妝師
[00:01:20.300 --> 00:01:22.300]  你知道嗎?
[00:01:22.300 --> 00:01:24.300]  這件事是很重要的
[00:01:24.300 --> 00:01:27.300]  我知道台下有八成的人都不知道我在說什麼
[00:01:27.300 --> 00:01:29.300]  但我很想說就要說,這是例子
[00:01:29.300 --> 00:01:32.300]  如果你有看農書的話
[00:01:32.300 --> 00:01:34.300]  跟我年紀差不多的大兄
[00:01:34.300 --> 00:01:37.300]  你會知道這件事會令你感到很興奮
[00:01:37.300 --> 00:01:41.300]  比達終於變成超級化妝師
[00:01:41.300 --> 00:01:43.300]  這是很重要的事情
[00:01:43.300 --> 00:01:48.300]  悟空是1998年就變成了
[00:01:48.300 --> 00:01:52.300]  真的,悟空是1998年就變成了
[00:01:52.300 --> 00:01:56.300]  比達是2024年才變成的
[00:01:56.300 --> 00:02:02.300]  等了20年,終於變成了悟空20年前做到的事情
[00:02:02.300 --> 00:02:08.300]  雖然大家知道這是農書大魔
[00:02:08.300 --> 00:02:13.300]  但如果麥當勞知道的話,他就會推農書
[00:02:13.300 --> 00:02:15.300]  麥當勞會Q版的農書文
[00:02:15.300 --> 00:02:17.300]  所以就完全不同了
[00:02:17.300 --> 00:02:19.300]  如果你跟我年紀差不多的話
[00:02:19.300 --> 00:02:22.300]  你應該小時候也做過差不多的事情
[00:02:22.300 --> 00:02:27.300]  洗頭時洗到頭髮都會凸出來
[00:02:27.300 --> 00:02:31.300]  然後就變成超級化妝師
[00:02:31.300 --> 00:02:35.300]  你跟我年紀差不多的話應該也做過這些事情
[00:02:35.300 --> 00:02:39.300]  其實農書20年前就已經完結了
[00:02:39.300 --> 00:02:42.300]  因為商業的原因
[00:02:42.300 --> 00:02:47.300]  就出了農書GT、農書改、農書超、農書大魔
[00:02:47.300 --> 00:02:49.300]  其實我沒有怎麼看
[00:02:49.300 --> 00:02:53.300]  但知道悟空的髮型不斷地變
[00:02:53.300 --> 00:02:57.300]  由黑色到金黃色到紅色到藍色到白色
[00:02:57.300 --> 00:02:59.300]  很多這些東西
[00:02:59.300 --> 00:03:01.300]  基本上這幾年我都不看了
[00:03:01.300 --> 00:03:03.300]  因為都變得很爛
[00:03:03.300 --> 00:03:08.300]  這種農書可以說是日本動漫的變身始祖
[00:03:08.300 --> 00:03:12.300]  不代表很好的作品
[00:03:12.300 --> 00:03:13.300]  還有很多的
[00:03:13.300 --> 00:03:16.300]  還有什麼變身的動漫呢?
[00:03:16.300 --> 00:03:21.300]  美少女戰士、無名超人、Pokemon、數碼暴龍
[00:03:21.300 --> 00:03:26.300]  進擊、火影忍者、亂買二分一、愛小忌廉
[00:03:26.300 --> 00:03:30.300]  不知道你喜歡哪一套變身動漫呢?
[00:03:30.300 --> 00:03:34.300]  不過我對於變身有一個比較哲學的問題
[00:03:34.300 --> 00:03:38.300]  究竟一個人變身是因為他變得厲害了
[00:03:38.300 --> 00:03:40.300]  所以可以變身
[00:03:40.300 --> 00:03:43.300]  還是因為他變身所以變得厲害了呢?
[00:03:43.300 --> 00:03:44.300]  明白我的意思嗎?
[00:03:44.300 --> 00:03:49.300]  究竟一個人變身是一個原因還是結果呢?
[00:03:49.300 --> 00:03:51.300]  是因為他實力大增了
[00:03:51.300 --> 00:03:52.300]  所以變得厲害了
[00:03:52.300 --> 00:03:54.300]  還是因為他變身了
[00:03:54.300 --> 00:03:56.300]  所以變得厲害了呢?
[00:03:56.300 --> 00:04:04.300]  究竟變身和整個人有什麼關係呢?
[00:04:04.300 --> 00:04:07.300]  今天我會說變身
[00:04:07.300 --> 00:04:09.300]  從聖經看變身的話
[00:04:09.300 --> 00:04:12.300]  我們就會找到一段最變身的經文是什麼呢?
[00:04:12.300 --> 00:04:15.300]  剛才我們都有說過
[00:04:15.300 --> 00:04:17.300]  國文多後書第五章那句
[00:04:17.300 --> 00:04:23.300]  若有人在基督裡,他就是新造的人,舊事已過,都變成新的了
[00:04:23.300 --> 00:04:28.300]  為什麼說任何人只要在耶穌基督裡,他都可以變身呢?
[00:04:28.300 --> 00:04:32.300]  所說的變身當然是新舊過新
[00:04:32.300 --> 00:04:34.300]  變成新的
[00:04:34.300 --> 00:04:36.300]  但也可以變身
[00:04:36.300 --> 00:04:38.300]  因為是一個新創造
[00:04:38.300 --> 00:04:40.300]  一個新的創造
[00:04:40.300 --> 00:04:41.300]  上帝是一個新創造
[00:04:41.300 --> 00:04:44.300]  他在基督裡變身成為一個新的創造
[00:04:44.300 --> 00:04:46.300]  任何人上耶穌之後
[00:04:46.300 --> 00:04:49.300]  他都有一個新的開始
[00:04:49.300 --> 00:04:51.300]  都有一個不同的生命
[00:04:51.300 --> 00:04:53.300]  有一個豐盛的生命
[00:04:53.300 --> 00:04:55.300]  但這不是變身嗎?
[00:04:55.300 --> 00:04:58.300]  雖然我們的頭髮沒有什麼變顏色
[00:04:58.300 --> 00:05:00.300]  也沒有什麼華麗的制服
[00:05:00.300 --> 00:05:04.300]  也沒有什麼神仙棒幫我們變
[00:05:04.300 --> 00:05:09.300]  但成為基督徒也可以說是一次變身
