
[00:00:00.000 --> 00:00:05.000]  鄧小妹,2024年新年快樂
[00:00:05.000 --> 00:00:18.000]  元旦那天我睡醒之前,發了惡夢
[00:00:18.000 --> 00:00:21.000]  很恐怖的惡夢
[00:00:21.000 --> 00:00:26.000]  2024年第一個惡夢就是這樣的
[00:00:26.000 --> 00:00:31.000]  我對著一大堆人講道
[00:00:31.000 --> 00:00:34.000]  也試過吧,一千人
[00:00:34.000 --> 00:00:38.000]  也不是大問題,問題是我沒有預備
[00:00:38.000 --> 00:00:43.000]  然後我看著大家
[00:00:43.000 --> 00:00:47.000]  下面一個人很期待地看著
[00:00:47.000 --> 00:00:51.000]  然後我說了一些很廢的話
[00:00:51.000 --> 00:00:56.000]  我回到後台,覺得很不開心
[00:00:56.000 --> 00:00:58.000]  這個惡夢是這樣
[00:00:58.000 --> 00:01:01.000]  然後就醒了
[00:01:01.000 --> 00:01:05.000]  今天見到大家很開心
[00:01:05.000 --> 00:01:11.000]  因為2024年要一起過
[00:01:11.000 --> 00:01:16.000]  不要一個人過
[00:01:16.000 --> 00:01:21.000]  剛才大家敬拜的時候,我覺得很重要
[00:01:21.000 --> 00:01:26.000]  為什麼我們全場聚在一起
[00:01:26.000 --> 00:01:32.000]  愛正是一個大家一起去黏在一起的力量
[00:01:32.000 --> 00:01:35.000]  一個黏著一個,一個黏著一個
[00:01:35.000 --> 00:01:40.000]  可以黏在我們身邊的人一起去過
[00:01:40.000 --> 00:01:45.000]  基本上講完這段了吧
[00:01:45.000 --> 00:01:49.000]  這個沒有預備
[00:01:49.000 --> 00:01:54.000]  所以我們今年的閱題就是「Hard to love」
[00:01:54.000 --> 00:02:01.000]  我們會去思考學習,去實踐愛這個話題
[00:02:01.000 --> 00:02:03.000]  在未來這八個星期裡
[00:02:03.000 --> 00:02:07.000]  我們一班屋姐都會一起去預備一些訊息
[00:02:07.000 --> 00:02:13.000]  八篇都是很具體的課題
[00:02:13.000 --> 00:02:15.000]  愛同事、愛假冒為善的人
[00:02:15.000 --> 00:02:19.000]  愛父母、愛弟兄姊妹、愛仇敵
[00:02:19.000 --> 00:02:22.000]  還有我們男女之間的愛
[00:02:22.000 --> 00:02:25.000]  為什麼會叫做「Hard to love」呢?
[00:02:25.000 --> 00:02:27.000]  其實很簡單,因為不容易
[00:02:27.000 --> 00:02:30.000]  因為是很不容易的事情
[00:02:30.000 --> 00:02:35.000]  所以我們一起很謙卑地去學習
[00:02:35.000 --> 00:02:36.000]  怎樣去愛
[00:02:36.000 --> 00:02:41.000]  讓我們2024年可以一起去過
[00:02:41.000 --> 00:02:47.000]  越來越多人黏在一起去過一些不容易的日子
[00:02:47.000 --> 00:02:50.000]  無論你是身處海外的、在香港的
[00:02:50.000 --> 00:02:52.000]  或者是在家裡的
[00:02:52.000 --> 00:02:55.000]  我們一起去學習怎樣去愛
