
[00:00:00.000 --> 00:00:01.720]  (丁子梅 晚安)
[00:00:01.720 --> 00:00:03.360]  (我不知道各位有沒有覺得)
[00:00:03.360 --> 00:00:05.760]  (今個月的主題快樂)
[00:00:05.760 --> 00:00:07.760]  (你在期待什麼呢?)
[00:00:07.760 --> 00:00:09.760]  (你有沒有想過什麼)
[00:00:09.760 --> 00:00:12.260]  (想經歷 想聽)
[00:00:12.260 --> 00:00:15.260]  (或者你期望那張書籤)
[00:00:15.260 --> 00:00:18.260]  (你知道橙色最近是很普遍的顏色)
[00:00:18.260 --> 00:00:21.760]  (還有好像2025年最多人用的顏色)
[00:00:21.760 --> 00:00:23.760]  (我買日記時)
[00:00:23.760 --> 00:00:26.260]  (一律最普遍的顏色)
[00:00:26.260 --> 00:00:27.260]  (就是那種橙色)
[00:00:27.260 --> 00:00:29.260]  (就是今天的設計師的橙色)
[00:00:29.260 --> 00:00:31.260]  (我不知道你在期望什麼)
[00:00:31.260 --> 00:00:33.260]  (或者對我講完來說)
[00:00:33.260 --> 00:00:34.760]  (無端端說一個快樂的題目)
[00:00:34.760 --> 00:00:36.760]  (我心裡想了很久)
[00:00:36.760 --> 00:00:39.260]  (快樂有什麼好說呢?)
[00:00:39.260 --> 00:00:41.260]  (我不知道你覺不覺得有這種感覺)
[00:00:41.260 --> 00:00:42.760]  (快樂有什麼好說呢?)
[00:00:42.760 --> 00:00:44.760]  (快樂有什麼好做呢?)
[00:00:44.760 --> 00:00:48.260]  (昨天踢球 進了球場)
[00:00:48.260 --> 00:00:49.260]  (很開心)
[00:00:49.260 --> 00:00:51.760]  (沒理由說這些吧)
[00:00:51.760 --> 00:00:53.760]  (或者對於大家來說)
[00:00:53.760 --> 00:00:56.260]  (說什麼是大家最快樂的)
[00:00:56.260 --> 00:00:58.760]  (我想過的 最近)
[00:00:58.760 --> 00:01:00.760]  (東京都)
[00:01:00.760 --> 00:01:02.260]  (日本東京都)
[00:01:02.260 --> 00:01:04.260]  (小池百合子)
[00:01:04.260 --> 00:01:07.260]  (宣佈了一個很重要的東西)
[00:01:07.260 --> 00:01:09.260]  (全世界的人都應該很開心)
[00:01:09.260 --> 00:01:11.260]  (大家知不知道這個新聞)
[00:01:11.260 --> 00:01:13.260]  (不知道)
[00:01:13.260 --> 00:01:15.260]  (值得歡喜快樂的新聞就是)
[00:01:15.260 --> 00:01:16.760]  (四天工作)
[00:01:16.760 --> 00:01:17.760]  (嘩)
[00:01:17.760 --> 00:01:18.760]  (是不是真的)
[00:01:18.760 --> 00:01:22.260]  (我不明白為什麼五天工作要這麼變態)
[00:01:22.260 --> 00:01:23.260]  (就是)
[00:01:23.260 --> 00:01:26.760]  (其實五天工作是很變態的)
[00:01:26.760 --> 00:01:29.260]  (是很沒人性的做法)
[00:01:29.260 --> 00:01:31.260]  (我們不要說我自己)
[00:01:31.260 --> 00:01:33.260]  (說John好一點)
[00:01:33.260 --> 00:01:34.760]  (他星期六要去教會)
[00:01:34.760 --> 00:01:35.760]  (星期日又要去港島)
[00:01:35.760 --> 00:01:37.260]  (星期一節就要去上班)
[00:01:37.260 --> 00:01:38.760]  (沒人休息的)
[00:01:38.760 --> 00:01:41.260]  (就是五天工作實在太變態了)
[00:01:41.260 --> 00:01:42.260]  (所以其實)
[00:01:42.260 --> 00:01:43.760]  (如果真的很快樂的話)
[00:01:43.760 --> 00:01:44.760]  (如果能夠)
[00:01:44.760 --> 00:01:46.260]  (有一堂道是說)
[00:01:46.260 --> 00:01:48.260]  (大家以後四天工作)
[00:01:48.260 --> 00:01:51.260]  (一起敬拜唱歌就是很開心)
[00:01:51.260 --> 00:01:52.760]  (對我來說)
[00:01:52.760 --> 00:01:53.760]  (快樂就是這些)
[00:01:53.760 --> 00:01:55.760]  (但是你沒理由說這些)
[00:01:55.760 --> 00:01:57.760]  (所以今天就說那些)
[00:01:57.760 --> 00:02:00.760]  (不知道)
[00:02:00.760 --> 00:02:01.760]  (我們會說這些)
[00:02:01.760 --> 00:02:03.760]  (我們今天會說這個題目)
[00:02:03.760 --> 00:02:05.760]  (所以特別多謝Matthews)
[00:02:05.760 --> 00:02:08.760]  (剛才整個敬拜)
[00:02:08.760 --> 00:02:10.760]  (我想他大體上都能夠)
[00:02:10.760 --> 00:02:12.760]  (抓到我今天想說的話)
[00:02:12.760 --> 00:02:14.760]  (哀傷是快樂的起始點)
