
[00:00:00.000 --> 00:00:06.000]  好嗎?你們?OK吧?
[00:00:06.000 --> 00:00:10.000]  先看看你們的樣子
[00:00:10.000 --> 00:00:15.000]  很感動的,當颱風的時候
[00:00:15.000 --> 00:00:22.000]  中安澳的朋友、元朗的朋友、沙溪灣的朋友、灣仔的朋友、沙田的朋友
[00:00:22.000 --> 00:00:27.000]  都躲在家裡
[00:00:27.000 --> 00:00:33.000]  但是當風暴完結後,我們就一起來了
[00:00:33.000 --> 00:00:37.000]  我們一起來敬拜,這就是教會
[00:00:37.000 --> 00:00:45.000]  這就是我們聚集重要重視的任務
[00:00:45.000 --> 00:00:50.000]  這個月的月題是「上莊」
[00:00:50.000 --> 00:00:54.000]  為了回憶以前上莊的氣氛
[00:00:54.000 --> 00:00:57.000]  我很多部分都回到香港大學圖書館寫的
[00:00:57.000 --> 00:01:03.000]  現在香港大學裡面有很多內地人
[00:01:03.000 --> 00:01:08.000]  我發覺自己已經是他們的年紀的雙倍
[00:01:08.000 --> 00:01:10.000]  已經是無法霸佔了
[00:01:10.000 --> 00:01:15.000]  通常我一開始講月題,我都會先解一下題
[00:01:15.000 --> 00:01:17.000]  講一下月題的意義是什麼
[00:01:17.000 --> 00:01:21.000]  但這次我容讓我之後再講
[00:01:21.000 --> 00:01:26.000]  我們先正常的講一篇道
[00:01:26.000 --> 00:01:29.000]  今天講的經文是《撒慕爾的俠》
[00:01:29.000 --> 00:01:33.000]  十三章十三到十九節經文
[00:01:33.000 --> 00:01:36.000]  一個有關大衛和三個勇士
[00:01:36.000 --> 00:01:38.000]  打水給他喝的故事
[00:01:38.000 --> 00:01:41.000]  基本上題材都講出來了
[00:01:41.000 --> 00:01:43.000]  基本上差不多都是
[00:01:43.000 --> 00:01:47.000]  如果你一直都有參加流唐崇拜和好記性的話
[00:01:47.000 --> 00:01:48.000]  你應該記得的
[00:01:48.000 --> 00:01:51.000]  這個故事其實你聽過的
[00:01:51.000 --> 00:01:54.000]  在2021年5月的時候
[00:01:54.000 --> 00:01:56.000]  高銘軒牧師來過流唐講道
[00:01:56.000 --> 00:01:59.000]  他講過這個故事
[00:01:59.000 --> 00:02:02.000]  有三個勇士打水給他喝的故事
[00:02:02.000 --> 00:02:04.000]  大家可以聽聽
[00:02:04.000 --> 00:02:07.000]  講題叫做「甚遠有人打水給我喝」
[00:02:07.000 --> 00:02:10.000]  這是我的同事所講的
[00:02:10.000 --> 00:02:12.000]  他用的經文就是聶王記相
[00:02:12.000 --> 00:02:15.000]  今天我們講的就是《撒慕爾的俠》的版本
[00:02:15.000 --> 00:02:19.000]  今天的經文當然是講的很不同
[00:02:19.000 --> 00:02:24.000]  不是從大衛的角度去思考這個故事
[00:02:24.000 --> 00:02:27.000]  而是從其他角度
[00:02:27.000 --> 00:02:29.000]  我們一起祈禱
[00:02:29.000 --> 00:02:32.000]  不要不一起去聆聽上主的說話
[00:02:32.000 --> 00:02:34.000]  主多謝你給我們一群頂尖妹
[00:02:34.000 --> 00:02:36.000]  無論是在網上
[00:02:36.000 --> 00:02:38.000]  在不同的地方
[00:02:38.000 --> 00:02:39.000]  在北美
[00:02:39.000 --> 00:02:40.000]  在英國
[00:02:40.000 --> 00:02:41.000]  在不同的角落裡面
[00:02:41.000 --> 00:02:43.000]  我們一起聚集
[00:02:43.000 --> 00:02:45.000]  求主祢的說話能夠臨到我們
[00:02:45.000 --> 00:02:47.000]  讓我們不單單一個人
[00:02:47.000 --> 00:02:50.000]  我們能夠一個一個連成在一起
[00:02:50.000 --> 00:02:54.000]  讓我們能夠成為一個極有意義的群體
[00:02:54.000 --> 00:02:56.000]  求神祢這樣來帶領我們
[00:02:56.000 --> 00:02:57.000]  幫助孩子
[00:02:57.000 --> 00:03:00.000]  能夠將祢的說話清楚地說出來
[00:03:00.000 --> 00:03:02.000]  逢尊名求 阿門
[00:03:02.000 --> 00:03:05.000]  我們先講一下經文的背景
[00:03:05.000 --> 00:03:09.000]  《撒慕爾的俠》第23章是整個《撒慕爾的俠》最後的部分
[00:03:09.000 --> 00:03:11.000]  如果你看《撒慕爾的俠》的話
[00:03:11.000 --> 00:03:15.000]  整本書是順著次序去講的
[00:03:15.000 --> 00:03:17.000]  從哈拿山仔開始
[00:03:17.000 --> 00:03:19.000]  到撒慕爾的事跡
[00:03:19.000 --> 00:03:21.000]  到蘇羅王被高納
[00:03:21.000 --> 00:03:23.000]  到大衛興起
[00:03:23.000 --> 00:03:25.000]  蘇羅和大衛之間的爭戰
[00:03:25.000 --> 00:03:27.000]  大衛王朝建立
[00:03:27.000 --> 00:03:28.000]  統一以色列
[00:03:28.000 --> 00:03:30.000]  之後再去成為皇帝之後
[00:03:30.000 --> 00:03:31.000]  就是不屍巴
[00:03:31.000 --> 00:03:33.000]  阿沙隆等等的故事
[00:03:33.000 --> 00:03:35.000]  你會發現整個《撒慕爾的俠》
[00:03:35.000 --> 00:03:39.000]  是按著歷史的年份順序去寫的
[00:03:39.000 --> 00:03:43.000]  不過來到《撒慕爾的俠》的最後部分
