
[00:00:00.000 --> 00:00:01.120]  Hello 各位好
[00:00:01.120 --> 00:00:03.120]  新年快樂
[00:00:03.120 --> 00:00:05.120]  在大年初二裡面
[00:00:05.120 --> 00:00:07.120]  祝大家身體健康
[00:00:07.120 --> 00:00:09.120]  百毒不侵
[00:00:09.120 --> 00:00:11.120]  祝各位平時少喝水的朋友
[00:00:11.120 --> 00:00:13.120]  多喝水
[00:00:13.120 --> 00:00:15.120]  祝各位今年都能夠多看聖經
[00:00:15.120 --> 00:00:17.120]  叮叮鈴鈴
[00:00:17.120 --> 00:00:19.120]  今年就是大年初二
[00:00:19.120 --> 00:00:21.120]  大家在這段時間
[00:00:21.120 --> 00:00:23.120]  可能都和很多朋友
[00:00:23.120 --> 00:00:25.120]  未必能夠見面
[00:00:25.120 --> 00:00:27.120]  但都能夠在家裡休息
[00:00:27.120 --> 00:00:29.120]  和和家人吃飯
[00:00:29.120 --> 00:00:31.120]  今天我們有一個
[00:00:31.120 --> 00:00:33.120]  網上的崇拜
[00:00:33.120 --> 00:00:35.120]  是牛年新潮度
[00:00:35.120 --> 00:00:37.120]  這是我自己
[00:00:37.120 --> 00:00:39.120]  喜歡做的事情
[00:00:39.120 --> 00:00:41.120]  就是去講新潮度
[00:00:41.120 --> 00:00:43.120]  上年
[00:00:43.120 --> 00:00:45.120]  我們都講過
[00:00:45.120 --> 00:00:47.120]  上年有鼠年新潮度
[00:00:47.120 --> 00:00:49.120]  今年是牛年
[00:00:49.120 --> 00:00:51.120]  不知道大家有沒有人屬牛
[00:00:51.120 --> 00:00:53.120]  屬牛的朋友恭喜你
[00:00:53.120 --> 00:00:55.120]  你今年就二十四歲了
[00:00:55.120 --> 00:00:57.120]  我自己就查過
[00:00:57.120 --> 00:00:59.120]  不同的教會歷史
[00:00:59.120 --> 00:01:01.120]  裡面的人物
[00:01:01.120 --> 00:01:03.120]  都有不同的新潮度
[00:01:03.120 --> 00:01:05.120]  例如
[00:01:05.120 --> 00:01:07.120]  馬丁路德屬兔
[00:01:07.120 --> 00:01:09.120]  加爾文屬蛇
[00:01:09.120 --> 00:01:11.120]  奧古斯丁屬虎
[00:01:11.120 --> 00:01:13.120]  保羅
[00:01:13.120 --> 00:01:15.120]  相傳屬豬
[00:01:15.120 --> 00:01:17.120]  因為是公元第三
[00:01:17.120 --> 00:01:19.120]  約翰維斯里
[00:01:19.120 --> 00:01:21.120]  屬羊
[00:01:21.120 --> 00:01:23.120]  唯一一個
[00:01:23.120 --> 00:01:25.120]  屬牛的歷史人物
[00:01:25.120 --> 00:01:27.120]  就是
[00:01:27.120 --> 00:01:29.120]  宋尚哲
[00:01:29.120 --> 00:01:31.120]  大家可能都聽過他的名字
[00:01:31.120 --> 00:01:33.120]  宋尚哲是一個
[00:01:33.120 --> 00:01:35.120]  非常出名的中國傳道人
[00:01:35.120 --> 00:01:37.120]  那究竟
[00:01:37.120 --> 00:01:39.120]  耶穌是屬什麼呢
[00:01:39.120 --> 00:01:41.120]  耶穌當然是屬神
[00:01:41.120 --> 00:01:49.120]  今年就和上年不同
[00:01:49.120 --> 00:01:51.120]  今年我們講牛就很多東西講
[00:01:51.120 --> 00:01:53.120]  上年講老鼠
[00:01:53.120 --> 00:01:55.120]  就只有幾段經文
[00:01:55.120 --> 00:01:57.120]  相反
[00:01:57.120 --> 00:01:59.120]  在十二新潮裡面
[00:01:59.120 --> 00:02:01.120]  出現的非常多次數
[00:02:01.120 --> 00:02:03.120]  當然除了羊之外
[00:02:03.120 --> 00:02:05.120]  就是牛
[00:02:05.120 --> 00:02:07.120]  在和本史裡面出現的牛
[00:02:07.120 --> 00:02:09.120]  是有454次
[00:02:09.120 --> 00:02:11.120]  是非常多
[00:02:11.120 --> 00:02:13.120]  今天就嘗試
[00:02:13.120 --> 00:02:15.120]  分類講一下
[00:02:15.120 --> 00:02:17.120]  有什麼經文講到牛
[00:02:17.120 --> 00:02:19.120]  星座裡面的牛是怎樣的呢
[00:02:19.120 --> 00:02:21.120]  第一
[00:02:21.120 --> 00:02:23.120]  牛是一個財產
[00:02:23.120 --> 00:02:25.120]  牛在中東地區
[00:02:25.120 --> 00:02:27.120]  是一個勞動工具
[00:02:27.120 --> 00:02:29.120]  負責耕田
[00:02:29.120 --> 00:02:31.120]  運輸
[00:02:31.120 --> 00:02:33.120]  拉車
[00:02:33.120 --> 00:02:35.120]  推磨
[00:02:35.120 --> 00:02:37.120]  騎
[00:02:37.120 --> 00:02:39.120]  這些都是經常提到的用法
[00:02:39.120 --> 00:02:41.120]  平凡牛
[00:02:41.120 --> 00:02:43.120]  都會成為
[00:02:43.120 --> 00:02:45.120]  上帝神聖
[00:02:45.120 --> 00:02:47.120]  載物的工具
[00:02:47.120 --> 00:02:49.120]  譬如在文數
[00:02:49.120 --> 00:02:51.120]  第七章第三節裡面
[00:02:51.120 --> 00:02:53.120]  運送製物
[00:02:53.120 --> 00:02:55.120]  就是牛車
[00:02:55.120 --> 00:02:57.120]  上年我都講了
[00:02:57.120 --> 00:02:59.120]  運送金老鼠
[00:02:59.120 --> 00:03:01.120]  都是一輛牛車
[00:03:01.120 --> 00:03:03.120]  以利沙
[00:03:03.120 --> 00:03:05.120]  都曾經用過
[00:03:05.120 --> 00:03:07.120]  牛來耕田
[00:03:07.120 --> 00:03:09.120]  在獵王記上第十九章二十一節
[00:03:09.120 --> 00:03:11.120]  所以牛是一個很重要的
[00:03:11.120 --> 00:03:13.120]  財產
[00:03:13.120 --> 00:03:15.120]  因為是一個非常有效的工具
[00:03:15.120 --> 00:03:17.120]  所以你們看到
[00:03:17.120 --> 00:03:19.120]  在巴拉罕非常有錢
[00:03:19.120 --> 00:03:21.120]  其中有很多很多的牛
[00:03:21.120 --> 00:03:23.120]  在十誡裡面
[00:03:23.120 --> 00:03:25.120]  同時
[00:03:25.120 --> 00:03:27.120]  不可偷牛
[00:03:27.120 --> 00:03:29.120]  不可貪戀別人的財產
