
[00:00:00.000 --> 00:00:04.000]  路德記 第二章
[00:00:04.000 --> 00:00:09.000]  路德在田間遇見波亞斯
[00:00:09.000 --> 00:00:12.000]  拿訥米有一個親戚
[00:00:12.000 --> 00:00:15.000]  是她丈夫以利米勒本族的人
[00:00:15.000 --> 00:00:19.000]  名叫波亞斯 是個大財主
[00:00:19.000 --> 00:00:25.000]  摩訶女子路德對她的婆婆拿訥米說
[00:00:25.000 --> 00:00:30.000]  給我去到田裡拾取遺遂
[00:00:30.000 --> 00:00:32.000]  我在誰眼中無恩
[00:00:32.000 --> 00:00:35.000]  我就跟去誰身後可以嗎
[00:00:35.000 --> 00:00:37.000]  拿訥米就這樣回答路德
[00:00:37.000 --> 00:00:40.000]  女兒 你去吧
[00:00:40.000 --> 00:00:43.000]  路德就來到田間
[00:00:43.000 --> 00:00:47.000]  在修葛的人身後拾取墨遂
[00:00:47.000 --> 00:00:51.000]  剛好就來到以利米勒本族的人
[00:00:51.000 --> 00:00:55.000]  波亞斯的田裡
[00:00:55.000 --> 00:01:00.000]  波亞斯就從百里行來對修葛的人說
[00:01:00.000 --> 00:01:04.000]  願耶和華與你們同在
[00:01:04.000 --> 00:01:06.000]  他們對波亞斯說
[00:01:06.000 --> 00:01:09.000]  願耶和華賜福給你
[00:01:09.000 --> 00:01:13.000]  波亞斯對監督修葛的僕人說
[00:01:13.000 --> 00:01:16.000]  那個是誰家的女孩
[00:01:16.000 --> 00:01:19.000]  那幫監督修葛的僕人就這樣回答路德
[00:01:19.000 --> 00:01:23.000]  那幫監督修葛的僕人就這樣回答波亞斯
[00:01:23.000 --> 00:01:26.000]  他是摩訶女子
[00:01:26.000 --> 00:01:29.000]  跟隨拿訥米從摩訶地來的
[00:01:29.000 --> 00:01:34.000]  他說請你容許我在這裡拾取墨遂
[00:01:34.000 --> 00:01:39.000]  在修葛人的身後去撿和菌
[00:01:39.000 --> 00:01:42.000]  去掉下來的墨遂
[00:01:42.000 --> 00:01:44.000]  就這樣他來到
[00:01:44.000 --> 00:01:47.000]  從早晨直到如今
[00:01:47.000 --> 00:01:51.000]  除了在那間屋裡坐了一會之外
[00:01:51.000 --> 00:01:53.000]  他就一直都在
[00:01:53.000 --> 00:01:58.000]  波亞斯這樣對路德說
[00:01:58.000 --> 00:02:01.000]  女兒啊,你聽我說
[00:02:01.000 --> 00:02:05.000]  不要去別人的田裡撿墨遂
[00:02:05.000 --> 00:02:07.000]  也不要離開這裡
[00:02:07.000 --> 00:02:11.000]  要緊緊跟著我的女僕
[00:02:11.000 --> 00:02:14.000]  你要好好看著我的僕人
[00:02:14.000 --> 00:02:17.000]  你在那塊田裡修葛
[00:02:17.000 --> 00:02:19.000]  就跟著那些女僕一起去
[00:02:19.000 --> 00:02:22.000]  我已經吩咐了僕人不可以侵犯你
[00:02:22.000 --> 00:02:24.000]  你口渴的時候
[00:02:24.000 --> 00:02:27.000]  可以到水缸那邊
[00:02:27.000 --> 00:02:30.000]  喝僕人打了出來的水
[00:02:30.000 --> 00:02:32.000]  路德就念伏於地
[00:02:32.000 --> 00:02:35.000]  叩拜波亞斯對他說
[00:02:35.000 --> 00:02:37.000]  我是外邦的女子
[00:02:37.000 --> 00:02:39.000]  為什麼會在你眼前忘恩
[00:02:39.000 --> 00:02:41.000]  令你這麼照顧我
[00:02:41.000 --> 00:02:44.000]  而波亞斯就這樣回答路德
[00:02:44.000 --> 00:02:47.000]  自從你的丈夫死了之後
[00:02:47.000 --> 00:02:50.000]  凡你向你婆婆所行的一切
[00:02:50.000 --> 00:02:53.000]  還有你離開父母
[00:02:53.000 --> 00:02:55.000]  和你的出生地方
[00:02:55.000 --> 00:02:58.000]  來到數不相識的百姓裡面
[00:02:58.000 --> 00:03:02.000]  這些事,人們都告訴我了
[00:03:02.000 --> 00:03:06.000]  願耶和華照你所行的報償你
[00:03:06.000 --> 00:03:09.000]  你來投靠在耶和華
[00:03:09.000 --> 00:03:12.000]  以色列神的翅膀下
[00:03:12.000 --> 00:03:16.000]  願你滿滿地得到祂的報償
[00:03:16.000 --> 00:03:19.000]  路德就這樣回答波亞斯
[00:03:19.000 --> 00:03:23.000]  我主啊,願我在你眼前忘恩
[00:03:23.000 --> 00:03:26.000]  我雖然不及你一個婢女
[00:03:26.000 --> 00:03:28.000]  但是你仍安慰我
