
[00:00:00.000 --> 00:00:04.800]  今天來到12道風味第二季的第二講
[00:00:04.800 --> 00:00:08.320]  關於我是否一個高敏兒
[00:00:08.320 --> 00:00:11.440]  先不要太快對號入座
[00:00:11.440 --> 00:00:17.720]  在過程中先了解一下相關內容
[00:00:17.720 --> 00:00:20.960]  這個星期我踏車期間
[00:00:20.960 --> 00:00:24.800]  留意到坊間很多人穿同一款衣服
[00:00:24.800 --> 00:00:26.680]  我心想發生什麼事
[00:00:26.680 --> 00:00:28.680]  是不是突然間有爵士曲
[00:00:28.680 --> 00:00:30.680]  發覺原來不是
[00:00:30.680 --> 00:00:32.680]  應該是OCam
[00:00:32.680 --> 00:00:37.080]  看到很多人穿同一套衣服
[00:00:37.080 --> 00:00:40.680]  當中有一個是領導
[00:00:40.680 --> 00:00:42.680]  不同顏色
[00:00:42.680 --> 00:00:48.280]  我立即由人類觀察學上身
[00:00:48.280 --> 00:00:51.280]  留意他們的群體動態
[00:00:51.280 --> 00:00:55.280]  看他們的反應和相處
[00:00:55.280 --> 00:00:59.280]  覺得這個組應該挺有趣
[00:00:59.280 --> 00:01:03.280]  看他們的反應時
[00:01:03.280 --> 00:01:06.280]  我想這個應該是高敏兒
[00:01:06.280 --> 00:01:13.280]  突然間有太多理性分析
[00:01:13.280 --> 00:01:17.280]  突然間想如果在分組過程中
[00:01:17.280 --> 00:01:21.280]  出現了這類型人應該挺好
[00:01:21.280 --> 00:01:24.280]  這類型是雙魚座的人
[00:01:24.280 --> 00:01:28.280]  雙魚座當然不是說星座
[00:01:28.280 --> 00:01:33.280]  如果小組裡有這類型人
[00:01:33.280 --> 00:01:39.280]  在OCam裡應該挺好的
[00:01:39.280 --> 00:01:42.280]  因為他們很感性同情同理
[00:01:42.280 --> 00:01:46.280]  玩OCam一定有很多創意
[00:01:46.280 --> 00:01:53.280]  多才多藝不同環節有很多配搭
[00:01:53.280 --> 00:01:57.280]  而OCam很多時候有分享
[00:01:57.280 --> 00:02:00.280]  大家共鳴的時間
[00:02:00.280 --> 00:02:03.280]  有一個出色的聆聽者和諮詢者
[00:02:03.280 --> 00:02:05.280]  這樣真的挺好
[00:02:05.280 --> 00:02:08.280]  如果小組裡有這樣的人
[00:02:08.280 --> 00:02:11.280]  應該挺不錯
[00:02:11.280 --> 00:02:14.280]  如果有雙魚座的人
[00:02:14.280 --> 00:02:16.280]  不知道在座有沒有雙魚座
[00:02:16.280 --> 00:02:20.280]  你的性情也是這樣
[00:02:20.280 --> 00:02:24.280]  但其實如果你爬一爬文
[00:02:24.280 --> 00:02:27.280]  可能有些人不知道什麼是高敏兒
[00:02:27.280 --> 00:02:29.280]  他以為真的有個人叫高敏兒
[00:02:29.280 --> 00:02:32.280]  當然這些是很難的
[00:02:32.280 --> 00:02:35.280]  但有些人真的不太知道
[00:02:35.280 --> 00:02:38.280]  他爬一爬文或者Google一下
[00:02:38.280 --> 00:02:42.280]  就知道高敏兒是高度敏感的兒童
[00:02:42.280 --> 00:02:44.280]  雖然你不是兒童
[00:02:44.280 --> 00:02:46.280]  但你也經歷過兒童的階段
[00:02:46.280 --> 00:02:49.280]  可能你在成長過程中忽略了自己的感受
[00:02:49.280 --> 00:02:52.280]  或者你自己不知道為什麼會這樣
[00:02:52.280 --> 00:02:55.280]  坊間有很多不同的checklist
[00:02:55.280 --> 00:02:58.280]  列舉了幾項
[00:02:58.280 --> 00:03:01.280]  讓大家做一些review
[00:03:01.280 --> 00:03:03.280]  但當網上看到就知道
[00:03:03.280 --> 00:03:06.280]  這不是一個正式的checklist
[00:03:06.280 --> 00:03:09.280]  不過跟大家有些catch up
[00:03:09.280 --> 00:03:13.280]  有時候看到太多東西
[00:03:13.280 --> 00:03:15.280]  不知道先做哪樣
[00:03:15.280 --> 00:03:17.280]  都會很頭癢
[00:03:17.280 --> 00:03:20.280]  不太能忍受生理上的不適應
[00:03:20.280 --> 00:03:23.280]  例如對溫度很敏感
