
[00:00:00.000 --> 00:00:06.000]  各位頂智妹晚安,很開心大家能夠回到Fold Church的崇拜
[00:00:06.000 --> 00:00:10.000]  剛才的敬拜,我相信大家頂智妹都有一個很深的感受
[00:00:10.000 --> 00:00:15.000]  我想那個感受是Fold Church不是一群人在敬拜
[00:00:15.000 --> 00:00:22.000]  是一群頂智妹和網前的頂智妹同心互動地一起敬拜
[00:00:22.000 --> 00:00:26.000]  我們仿如一人在上帝面前獻上我們的敬拜
[00:00:26.000 --> 00:00:29.000]  多謝敬拜隊他們的獻上,我相信這是上帝所喜悅
[00:00:29.000 --> 00:00:35.000]  亦是上帝喜悅頂智妹在鏡頭前,你和敬拜隊一起敬拜的時候
[00:00:35.000 --> 00:00:39.000]  你口唱心和,說Amen的時候,這也是上帝所喜悅
[00:00:39.000 --> 00:00:42.000]  求天父祝福我們,讓我們在這段日子裡邊
[00:00:42.000 --> 00:00:49.000]  繼續用敬拜,用讚美,用我們的詩歌獻上我們所應該獻上的東西
[00:00:49.000 --> 00:00:52.000]  今天我們會講詩篇90篇
[00:00:52.000 --> 00:00:58.000]  其實這篇詩篇在幕會生涯裡邊,基本上是不會用來講道的
[00:00:58.000 --> 00:01:02.000]  因為這篇詩篇基本上是專門用來在安息禮拜用
[00:01:02.000 --> 00:01:06.000]  尤其是火葬的時候,去到火葬場
[00:01:06.000 --> 00:01:10.000]  通常棺木要放進去火葬的時候
[00:01:10.000 --> 00:01:14.000]  詩篇90篇就會亮起,大家一起中毒
[00:01:14.000 --> 00:01:16.000]  若是強壯,可以到80
[00:01:16.000 --> 00:01:19.000]  基本上這篇詩篇很不老理地
[00:01:19.000 --> 00:01:23.000]  是不會在教會普通主日崇拜用
[00:01:23.000 --> 00:01:27.000]  通常大家用到的,就覺得是死人的時候會用的詩篇
[00:01:27.000 --> 00:01:32.000]  但今天希望我們能夠多一個角度去看一看
[00:01:32.000 --> 00:01:34.000]  到底詩篇90篇想講什麼
[00:01:34.000 --> 00:01:38.000]  我們首先有個簡單的禱告,我們開始好不好
[00:01:38.000 --> 00:01:41.000]  天父祢的祝福,以下來的時間
[00:01:41.000 --> 00:01:44.000]  願意以下來的時間,是祢喜悅的
[00:01:44.000 --> 00:01:47.000]  是祢親自和我們在一起
[00:01:47.000 --> 00:01:52.000]  也和在螢光幕前的弟兄姊妹的心在一起
[00:01:52.000 --> 00:01:57.000]  求祢給我們一個定義,跟從祢的心
[00:01:57.000 --> 00:01:59.000]  定義歸向祢的心
[00:01:59.000 --> 00:02:02.000]  定義將自己的生命呈獻給祢的心
[00:02:02.000 --> 00:02:06.000]  願意祢自己的話語成為我們的幫助,成為我們的祝福
[00:02:06.000 --> 00:02:10.000]  我們這樣祈禱,奉耶穌祢寶貴的名,Amen
[00:02:10.000 --> 00:02:13.000]  其實大體上在歷史裡
[00:02:13.000 --> 00:02:17.000]  一個文化去侵略另一個文化
[00:02:17.000 --> 00:02:20.000]  從來都不是一件稀奇的事情
[00:02:20.000 --> 00:02:26.000]  一個制度要進入另一個制度裡
[00:02:26.000 --> 00:02:29.000]  縱然講很多一國兩制也好
[00:02:29.000 --> 00:02:33.000]  其實最終很多時候,你看歷史的發展
[00:02:33.000 --> 00:02:36.000]  很多時候都是一個大的文化,大的制度
[00:02:36.000 --> 00:02:39.000]  會侵吞一些小的文化和小的角度
[00:02:39.000 --> 00:02:42.000]  不單止現代會是這樣
[00:02:42.000 --> 00:02:45.000]  其實詩篇的背景裡都是這樣
[00:02:45.000 --> 00:02:49.000]  如果詩篇90篇,其實是一篇什麼的詩篇
[00:02:49.000 --> 00:02:54.000]  詩篇90篇是一篇叫做《卷四》的第一篇
[00:02:54.000 --> 00:03:00.000]  其實詩篇分開卷一、卷二、卷三、卷四和卷五
[00:03:00.000 --> 00:03:05.000]  卷一至卷三大體上都是問苦難的問題
[00:03:05.000 --> 00:03:08.000]  問為什麼我這麼淒涼,我這麼慘的問題
[00:03:08.000 --> 00:03:12.000]  問大衛為什麼會被阿沙和自己的兒子追殺
[00:03:12.000 --> 00:03:15.000]  一些很可憐或者很淒涼
[00:03:15.000 --> 00:03:19.000]  在被人攻擊的環境下所寫的詩篇
[00:03:19.000 --> 00:03:22.000]  所以詩篇的卷一至卷三
[00:03:22.000 --> 00:03:24.000]  Book One至Book Three
[00:03:24.000 --> 00:03:26.000]  其實都是環繞著這個主題
[00:03:26.000 --> 00:03:30.000]  尤其是去到Book Three的最後一章
[00:03:30.000 --> 00:03:32.000]  即是詩篇89篇
[00:03:32.000 --> 00:03:36.000]  如果可能連綱目都會出了46至48字的經文
[00:03:36.000 --> 00:03:39.000]  如果你看詩篇的89篇
[00:03:39.000 --> 00:03:42.000]  46至48字的經文的時候
[00:03:42.000 --> 00:03:47.000]  他問了一個問題,他問寫要到什麼時候
[00:03:47.000 --> 00:03:49.000]  即是這些這麼淒涼的環境
[00:03:49.000 --> 00:03:51.000]  這麼淒涼的情況下
[00:03:51.000 --> 00:03:54.000]  要到什麼時候才會完結
[00:03:54.000 --> 00:03:57.000]  基本上在卷三的最後一篇的詩篇
[00:03:57.000 --> 00:04:00.000]  詩篇的89篇就問一個這麼重要的問題
[00:04:00.000 --> 00:04:06.000]  即是說了89篇很苦難、很淒涼、很可憐的訊息
