
[00:00:00.000 --> 00:00:02.000]  各位姐妹晚安
[00:00:02.000 --> 00:00:04.000]  今天很熱鬧
[00:00:04.000 --> 00:00:08.000]  記住這個場面
[00:00:08.000 --> 00:00:12.000]  這是我們樓堂基本的崇拜數字
[00:00:12.000 --> 00:00:16.000]  應該要有這麼多
[00:00:16.000 --> 00:00:18.000]  真正是這麼多人
[00:00:18.000 --> 00:00:20.000]  最基本是這麼多人
[00:00:20.000 --> 00:00:26.000]  今天我們講這篇稿子
[00:00:26.000 --> 00:00:31.000]  是一篇比較認真的講道
[00:00:31.000 --> 00:00:34.000]  所以我穿西裝出來認真跟大家說
[00:00:34.000 --> 00:00:37.000]  因為跟從是一件很認真的事情
[00:00:37.000 --> 00:00:42.000]  我們信仰裡面有些很大的事情
[00:00:42.000 --> 00:00:43.000]  我們會經常說
[00:00:43.000 --> 00:00:45.000]  但這些重要的事情
[00:00:45.000 --> 00:00:49.000]  很容易會留於表面
[00:00:49.000 --> 00:00:53.000]  我們夠膽用跟從
[00:00:53.000 --> 00:00:56.000]  這是一個我們的閱題
[00:00:56.000 --> 00:00:59.000]  用跟從作為我們整個十八個月
[00:00:59.000 --> 00:01:01.000]  一個很重要的目標的時候
[00:01:01.000 --> 00:01:06.000]  我們就一起認真思想
[00:01:06.000 --> 00:01:08.000]  當耶穌說
[00:01:08.000 --> 00:01:10.000]  若有人要跟從我
[00:01:10.000 --> 00:01:16.000]  就當寫記天天背得十字架來跟從我
[00:01:16.000 --> 00:01:20.000]  今天想跟大家分享這節聖經
[00:01:20.000 --> 00:01:22.000]  嘗試把它變得具體
[00:01:22.000 --> 00:01:27.000]  嘗試變得大家有些事情可以跟著做
[00:01:27.000 --> 00:01:29.000]  一起來做
[00:01:29.000 --> 00:01:32.000]  不要只留於唱和說
[00:01:32.000 --> 00:01:35.000]  或者口號或閱題
[00:01:35.000 --> 00:01:40.000]  今天講題叫做跟從最困難的地方
[00:01:40.000 --> 00:01:43.000]  這篇講道的聖經其實是我六年前講過的
[00:01:43.000 --> 00:01:45.000]  當時六年前
