
[00:00:00.000 --> 00:00:02.000]  (字幕:Sara Chow)
[00:00:02.000 --> 00:00:08.600]  各位靈姐妹大家好
[00:00:08.600 --> 00:00:10.600]  很高興可以再一次
[00:00:10.600 --> 00:00:14.000]  在這個友愛堂的迴信頻道裡
[00:00:14.000 --> 00:00:16.800]  為大家一同去了解聖經
[00:00:16.800 --> 00:00:18.400]  和解釋聖經
[00:00:18.400 --> 00:00:21.600]  我們真的很想透過一個題目
[00:00:21.600 --> 00:00:24.600]  就是顛覆外貌的想像
[00:00:24.600 --> 00:00:29.200]  一起思想究竟這個表面化的社會
[00:00:29.200 --> 00:00:32.000]  如何去批判社會裡
[00:00:32.000 --> 00:00:35.600]  貧外貌應人的這個概念
[00:00:35.600 --> 00:00:37.400]  並且特別在教會
[00:00:37.400 --> 00:00:40.000]  我們都會看到原來有些人
[00:00:40.000 --> 00:00:41.800]  憑著他的學業
[00:00:41.800 --> 00:00:43.400]  他的美貌
[00:00:43.400 --> 00:00:45.600]  又或者他的外在條件
[00:00:45.600 --> 00:00:47.600]  或許對某一些人
[00:00:47.600 --> 00:00:49.400]  都有特別的待遇
[00:00:49.400 --> 00:00:51.000]  正正這個課程
[00:00:51.000 --> 00:00:53.400]  都是很想透過聖經的真理
[00:00:53.400 --> 00:00:56.800]  一同去思考究竟這個文化
[00:00:56.800 --> 00:00:59.000]  在我們的教會裡
[00:00:59.000 --> 00:01:00.600]  又或者在社會裡
[00:01:00.600 --> 00:01:02.600]  我們如何去回應
[00:01:02.600 --> 00:01:05.800]  並且我們根據耶穌基督的教導
[00:01:05.800 --> 00:01:09.600]  甚至是一些詩歌自慰書裡的真理
[00:01:09.600 --> 00:01:12.000]  讓我們更多去反思
[00:01:12.000 --> 00:01:14.800]  所以我們由今天開始
[00:01:14.800 --> 00:01:16.800]  一年包括今天
[00:01:16.800 --> 00:01:23.200]  是五個禮拜五的晚上時間
[00:01:23.200 --> 00:01:25.600]  一同用五課的時間
[00:01:25.600 --> 00:01:27.600]  和大家一起分享
[00:01:27.600 --> 00:01:30.600]  我們一起有個祈禱吧
[00:01:30.600 --> 00:01:32.600]  慈悲人外的天父
[00:01:32.600 --> 00:01:36.800]  多謝你讓我們今晚一同學習你的真理
[00:01:36.800 --> 00:01:39.600]  讓我們可以透過你的話語
[00:01:39.600 --> 00:01:41.400]  重新檢視自己
[00:01:41.400 --> 00:01:45.400]  也重新檢視在教會裡彼此的互動
[00:01:45.400 --> 00:01:48.000]  是否真的偏離了真理
[00:01:48.000 --> 00:01:49.600]  也幫助孩子
[00:01:49.600 --> 00:01:52.600]  講解你的說話清楚和明白
[00:01:52.600 --> 00:01:55.800]  我們同心一同去獻給領受
[00:01:55.800 --> 00:01:58.400]  禱告在奉耶穌基督名求
[00:01:58.400 --> 00:01:59.800]  阿們
[00:01:59.800 --> 00:02:01.400]  顛覆外貌的想像
[00:02:01.400 --> 00:02:04.600]  我們就期望透過五課的時間
[00:02:04.600 --> 00:02:06.600]  和大家一同去說明
[00:02:06.600 --> 00:02:09.400]  這個外貌的問題
[00:02:09.400 --> 00:02:10.600]  今晚這一課
[00:02:10.600 --> 00:02:13.600]  我們就會集中火力去處理
[00:02:13.600 --> 00:02:16.200]  就是這個盡美的君王
[00:02:16.200 --> 00:02:17.600]  原來撒姆爾記
[00:02:17.600 --> 00:02:19.400]  又或者甚至是列王記
[00:02:19.400 --> 00:02:21.600]  裡面有描述到一個君王
[00:02:21.600 --> 00:02:23.600]  他的形象是怎麼樣
[00:02:23.600 --> 00:02:25.600]  但是大衛的想像
[00:02:25.600 --> 00:02:29.000]  是顛覆了古今東外貌的想像
[00:02:29.000 --> 00:02:31.600]  一個君王是否真的一定要高大呢
[00:02:31.600 --> 00:02:32.600]  帥哥
[00:02:32.600 --> 00:02:35.400]  又或者是有烏黑的頭髮呢
[00:02:35.400 --> 00:02:39.600]  這種顛覆我們很想今晚一同去看一看
[00:02:39.600 --> 00:02:41.400]  讓我們看一看上帝
[00:02:41.400 --> 00:02:44.400]  講到那種不憑外貌認人
[00:02:44.400 --> 00:02:48.000]  因為神看人不像人看人
[00:02:48.000 --> 00:02:50.000]  神是看內心
[00:02:50.000 --> 00:02:52.600]  人是看外貌的這個真理
[00:02:52.600 --> 00:02:55.600]  如何主導和更新我們的眼界
[00:02:55.600 --> 00:02:57.600]  下個星期的課程
[00:02:57.600 --> 00:03:00.400]  我們會在這個星期就講男性
[00:03:00.400 --> 00:03:03.200]  下個星期我們就講女性
[00:03:03.200 --> 00:03:07.400]  就是什麼叫智慧與美貌並重
[00:03:07.400 --> 00:03:09.600]  特別我們也會看到
[00:03:09.600 --> 00:03:12.400]  當時古今東一些的審美觀
[00:03:12.400 --> 00:03:15.400]  我們透過以賽亞書、以西傑書
