
[00:00:00.000 --> 00:00:17.420]  大家好,歡迎來到我們講中世紀歷史的一課
[00:00:17.420 --> 00:00:21.120]  我們的題目是《追尋基督王國》
[00:00:21.120 --> 00:00:23.780]  講到中世紀的特色
[00:00:23.780 --> 00:00:30.600]  整個社會都想建立一個所謂的基督王國
[00:00:30.600 --> 00:00:35.800]  我們有三課,分別講中世紀的政治
[00:00:35.800 --> 00:00:38.660]  講中世紀的神學或學術
[00:00:38.660 --> 00:00:42.240]  以及中世紀靈命的演變
[00:00:42.240 --> 00:00:47.540]  第一課是講革中的故事
[00:00:47.540 --> 00:00:51.800]  我所講的其實都寫了一本書
[00:00:51.800 --> 00:00:54.540]  同樣的名字是《追尋基督王國》
[00:00:54.540 --> 00:00:57.740]  大家可以掃描QR Code
[00:00:57.740 --> 00:00:59.980]  如果喜歡的話
[00:00:59.980 --> 00:01:02.060]  如果想知道更多今天所講的
[00:01:02.060 --> 00:01:03.920]  大家可以買來看看
[00:01:03.920 --> 00:01:10.060]  我想大家對中世紀的歷史可能都比較陌生
[00:01:10.060 --> 00:01:13.560]  很多資訊會告訴你
[00:01:13.560 --> 00:01:18.020]  你第一次聽可能很多東西未必記得
[00:01:18.020 --> 00:01:23.240]  不過希望大家都不要太過介意記到多少東西
[00:01:23.240 --> 00:01:26.840]  總之來一個大概的輪廓
[00:01:26.840 --> 00:01:29.040]  如果大家有興趣的話
[00:01:29.040 --> 00:01:32.980]  可以買我的書或者買其他人的書
[00:01:32.980 --> 00:01:39.720]  再慢慢深入一點去研究中世紀教會的歷史
[00:01:39.720 --> 00:01:44.520]  第一課我們今天講教宗的故事
[00:01:44.820 --> 00:01:49.420]  題目是《效法榮耀基督的德與失》
[00:01:49.420 --> 00:01:53.260]  這個題目的意思基本上是想講
[00:01:53.260 --> 00:01:55.500]  中世紀的教宗
[00:01:55.500 --> 00:01:59.760]  基本上認為他是代表基督
[00:01:59.760 --> 00:02:03.700]  他是基督在地上的發言人
[00:02:03.700 --> 00:02:07.200]  因為基督是榮耀的主
[00:02:07.200 --> 00:02:12.880]  所以教宗應該都是一個滿有榮耀的職份
[00:02:13.240 --> 00:02:16.320]  我們今天所謂後現代的人
[00:02:16.320 --> 00:02:21.820]  很多時候對榮耀、權柄
[00:02:21.820 --> 00:02:27.800]  這些詞彙都有一種比較意識形態的
[00:02:27.800 --> 00:02:32.260]  覺得是一些說話
[00:02:32.260 --> 00:02:36.140]  用一個比較諷刺的方法去看這些詞彙
[00:02:36.140 --> 00:02:39.540]  不過記住對中世紀的人來說
[00:02:39.540 --> 00:02:41.740]  你講上主的榮耀
[00:02:41.740 --> 00:02:44.420]  講權柄
[00:02:44.420 --> 00:02:46.420]  帶著上主的權柄
[00:02:46.420 --> 00:02:49.080]  對中世紀的歐洲人
[00:02:49.080 --> 00:02:52.920]  或者甚至對中世紀的東方人也好
[00:02:52.920 --> 00:02:55.560]  這是一個很自然的說法
[00:02:55.560 --> 00:02:58.860]  教宗這樣說的時候
[00:02:58.860 --> 00:03:00.400]  他不會覺得面紅
[00:03:00.400 --> 00:03:03.440]  周圍的人也不會覺得有甚麼特別
[00:03:03.440 --> 00:03:04.940]  或者有甚麼奇怪
[00:03:04.940 --> 00:03:07.740]  他們會覺得這是很正常的說法
[00:03:07.900 --> 00:03:09.960]  所以這三課都是
[00:03:09.960 --> 00:03:14.000]  我希望我一路講中世紀歷史的時候
[00:03:14.000 --> 00:03:15.100]  讓大家明白
[00:03:15.100 --> 00:03:19.040]  其實中世紀的人跟我們都是差不多的
[00:03:19.040 --> 00:03:21.180]  他們不是傻瓜、不是蠢材
[00:03:21.180 --> 00:03:25.480]  不過他們的世界觀跟我們的世界觀有些不同
[00:03:25.480 --> 00:03:28.480]  所以有些我們覺得很自然的東西
[00:03:28.480 --> 00:03:30.020]  他們可能覺得奇怪
[00:03:30.020 --> 00:03:32.020]  有些他們覺得自然的東西
[00:03:32.020 --> 00:03:33.660]  我們覺得很奇怪
