
[00:00:00.000 --> 00:00:06.000]  各位聽之妹,大家平安
[00:00:06.000 --> 00:00:10.000]  很高興可以在這個有愛堂的訊息頻道
[00:00:10.000 --> 00:00:16.000]  和大家繼續在今晚裡面去講解傳道書的內容
[00:00:16.000 --> 00:00:19.000]  正如我們上個星期去到分享
[00:00:19.000 --> 00:00:23.000]  傳道書的日光之下和虛空的國度
[00:00:23.000 --> 00:00:28.000]  怎樣成為我們在現實的世界裡面
[00:00:28.000 --> 00:00:35.000]  怎樣得到智慧提醒我們要根據那個定時去到活在當下
[00:00:35.000 --> 00:00:40.000]  所以我們今課就很想集中在這個課題上
[00:00:40.000 --> 00:00:44.000]  就是在上帝給我們的那一份當中
[00:00:44.000 --> 00:00:48.000]  在日光之下虛空的設定裡面
[00:00:48.000 --> 00:00:52.000]  上帝怎樣透過傳道書給我們
[00:00:52.000 --> 00:00:55.000]  能夠有活在當下一份的智慧
[00:00:55.000 --> 00:00:59.000]  祈求主的話成為我們的指引和提醒
[00:00:59.000 --> 00:01:01.000]  我們一起祈禱
[00:01:01.000 --> 00:01:03.000]  慈悲人愛的天父
[00:01:03.000 --> 00:01:10.000]  多謝你讓我們今晚一同去學習和研讀這個寶貴的話語
[00:01:10.000 --> 00:01:18.000]  求主你的聖言成為我們生命的提醒、指引、轉化的力量和方向
[00:01:18.000 --> 00:01:22.000]  幫助孩子講解這個說話清楚和明白
[00:01:22.000 --> 00:01:26.000]  我們同心一同去到天地領受
[00:01:26.000 --> 00:01:28.000]  禱告是奉耶穌基督的名銜
[00:01:28.000 --> 00:01:30.000]  阿們
[00:01:30.000 --> 00:01:32.000]  在今晚這個題目裡面
[00:01:32.000 --> 00:01:38.000]  提提大家我們繼續都是在用那本《名塵裡的智慧》
[00:01:38.000 --> 00:01:42.000]  一起打開那本書去聽課堂的時候
[00:01:42.000 --> 00:01:45.000]  就更加能夠得心應手
[00:01:45.000 --> 00:01:49.000]  明白怎樣去掌握裡面的經文
[00:01:49.000 --> 00:01:59.000]  今晚我就打算集中火力和大家講解傳道書的第六章和第七章的經文
[00:01:59.000 --> 00:02:02.000]  這兩章的經文是很特別的
[00:02:02.000 --> 00:02:06.000]  因為第六章就給你有一個這樣的感覺
[00:02:06.000 --> 00:02:15.000]  就是有一些看似人類夢寐以求、很想去找得到的東西
[00:02:15.000 --> 00:02:19.000]  包括財富又或者長壽之類的
[00:02:19.000 --> 00:02:21.000]  但是傳道者看來
