
[00:00:00.000 --> 00:00:12.000]  ( 字幕提供:MVP, 請勿模仿 )
[00:00:12.000 --> 00:00:19.000]  各位電影姐妹,在網上的朋友,早晨!
[00:00:19.000 --> 00:00:24.000]  今日是第二堂情慾線的分享
[00:00:24.000 --> 00:00:31.000]  開始時,我回答網上的問題
[00:00:31.000 --> 00:00:36.000]  我收到一位姓黃的朋友
[00:00:36.000 --> 00:00:42.000]  他有一個問題,應該是四個問題
[00:00:42.000 --> 00:00:49.000]  他問:婚前性行為一直被視為罪
[00:00:49.000 --> 00:00:53.000]  請問聖經哪裏有明確的禁止?
[00:00:53.000 --> 00:00:58.000]  這個問題很有趣
[00:00:58.000 --> 00:01:07.000]  因為聖經沒有禁止婚前性行為
[00:01:07.000 --> 00:01:11.000]  而禁止婚外性行為
[00:01:11.000 --> 00:01:20.000]  特別是舊約,創世紀最典型的例子是
[00:01:20.000 --> 00:01:23.000]  以撒和尼伯加
[00:01:23.000 --> 00:01:32.000]  雖然阿伯拉罕猜見他老婆人去為以撒娶妻
[00:01:32.000 --> 00:01:37.000]  但聖經的描述是很特別的
[00:01:37.000 --> 00:01:47.000]  老婆人帶尼伯加到阿伯拉罕家
[00:01:47.000 --> 00:01:52.000]  以撒剛好在田間默想
[00:01:52.000 --> 00:01:56.000]  如果我們熟悉默想,可能是他靈修
[00:01:56.000 --> 00:02:02.000]  如果我們用現代的想法,可能以撒是獨男
[00:02:02.000 --> 00:02:06.000]  所以他在拍攝牛鬥
[00:02:06.000 --> 00:02:08.000]  見到尼伯加
[00:02:08.000 --> 00:02:14.000]  而聖經裏面記載了那天發生了關係
[00:02:14.000 --> 00:02:16.000]  然後就變成了那種夫婦
[00:02:16.000 --> 00:02:20.000]  所以細心思考的時候
[00:02:20.000 --> 00:02:26.000]  聖經將你當一發生性關係的時候
[00:02:26.000 --> 00:02:31.000]  就已經進入了婚姻的狀態
[00:02:31.000 --> 00:02:36.000]  所以其實不是禁止婚前性行為
[00:02:36.000 --> 00:02:40.000]  如果再看五經的時候
[00:02:40.000 --> 00:02:42.000]  在摩西班布律法的時候
[00:02:42.000 --> 00:02:44.000]  其中一件事你會發現到的
[00:02:44.000 --> 00:02:52.000]  就是關於在田野裏面男女發生性行為的一些罪法
[00:02:52.000 --> 00:02:56.000]  其實是說究竟女方有沒有呼叫
[00:02:56.000 --> 00:03:01.000]  第二就是如果他們兩個都未結婚
[00:03:01.000 --> 00:03:04.000]  之後就需要結婚
[00:03:04.000 --> 00:03:06.000]  所以你去看的時候
[00:03:06.000 --> 00:03:09.000]  聖經並不是像我們今天這樣想的
[00:03:09.000 --> 00:03:13.000]  你婚前有罪
[00:03:13.000 --> 00:03:15.000]  反過來就是說
[00:03:15.000 --> 00:03:18.000]  其實只要當你發生性行為
[00:03:18.000 --> 00:03:24.000]  而那兩個人其實他們是有性行為之後
[00:03:24.000 --> 00:03:28.000]  已經假設他們進入了婚姻裏面
[00:03:28.000 --> 00:03:35.000]  我想這個是我們需要去釐清的一些想法
[00:03:35.000 --> 00:03:39.000]  就是今天我們處理婚前性行為的時候
[00:03:39.000 --> 00:03:45.000]  其實很多時候我們會純粹當作是一種淫亂
[00:03:45.000 --> 00:03:48.000]  就是他不準備進入婚姻
[00:03:48.000 --> 00:03:50.000]  這個我覺得也是
[00:03:50.000 --> 00:03:53.000]  當你看回聖經裏面的描述的時候
[00:03:53.000 --> 00:03:58.000]  其實他的想法是有一些不同的
[00:03:58.000 --> 00:04:04.000]  普遍持婚不像當時社會很年輕就結婚
[00:04:04.000 --> 00:04:09.000]  是不是可以同情婚前發生性行為裏面的青年人的理由呢?
[00:04:09.000 --> 00:04:15.000]  其實在教育本書裏面也有提及過那些討論
[00:04:15.000 --> 00:04:17.000]  其實我就反過來去看
[00:04:17.000 --> 00:04:20.000]  其實我們有沒有想一下
[00:04:20.000 --> 00:04:25.000]  其實為什麼我們現在會將結婚的年齡
[00:04:25.000 --> 00:04:28.000]  推到非常後呢?
[00:04:28.000 --> 00:04:32.000]  現在在香港結婚的年齡
[00:04:32.000 --> 00:04:39.000]  男女基本上平均差不多30歲才會去到結婚
[00:04:39.000 --> 00:04:45.000]  當我去到講馬丁路德的舉例的時候
[00:04:45.000 --> 00:04:48.000]  其實你會發現他們是十多歲去到結婚
[00:04:48.000 --> 00:04:50.000]  這個原因在書裏面也有提及
[00:04:50.000 --> 00:04:52.000]  其實我們要知道的一件事
[00:04:52.000 --> 00:04:56.000]  就是很多時候我們推到這麼遲去結婚
[00:04:56.000 --> 00:05:01.000]  我們考慮的事情其實不是很聖經的事情
[00:05:01.000 --> 00:05:03.000]  我們考慮的是什麼呢?
[00:05:03.000 --> 00:05:05.000]  你要有房子
[00:05:05.000 --> 00:05:09.000]  你要有穩定的職業
[00:05:09.000 --> 00:05:13.000]  你要讀完書
[00:05:13.000 --> 00:05:19.000]  這些不是一些我很壞的事情
[00:05:19.000 --> 00:05:23.000]  但你會發現我們將這些東西加起來
[00:05:23.000 --> 00:05:30.000]  變成了一些好像進入婚姻裏面
[00:05:30.000 --> 00:05:32.000]  必須要具備的條件
[00:05:32.000 --> 00:05:34.000]  但反過來你有沒有去想一下
[00:05:34.000 --> 00:05:36.000]  我們很少會去強調
[00:05:36.000 --> 00:05:38.000]  其實在結婚裏面的時候
[00:05:38.000 --> 00:05:45.000]  兩個人互相的願意去到成為一個伴侶
[00:05:45.000 --> 00:05:47.000]  家庭的支援
[00:05:47.000 --> 00:05:50.000]  或者甚至我們去到
[00:05:50.000 --> 00:05:55.000]  覺得年輕一點去有小朋友
[00:05:55.000 --> 00:05:58.000]  其實對社會也是一個健康的事
[00:05:58.000 --> 00:06:00.000]  我們沒有考慮這些
[00:06:00.000 --> 00:06:03.000]  我們考慮的是你夠不夠錢買樓
[00:06:03.000 --> 00:06:05.000]  你首先是否有錢買樓
[00:06:05.000 --> 00:06:10.000]  或者你是不是一定是所謂能夠去到自給自足
[00:06:10.000 --> 00:06:14.000]  你才好去到結婚
[00:06:14.000 --> 00:06:18.000]  所以在書裏面我們不要去想
[00:06:18.000 --> 00:06:23.000]  以前可以早結婚
[00:06:23.000 --> 00:06:26.000]  所以他就早點享受性交易快樂
[00:06:26.000 --> 00:06:28.000]  現在不辭婚
[00:06:28.000 --> 00:06:31.000]  所以就不應該有這種
[00:06:31.000 --> 00:06:35.000]  不要從一個純粹性行為的問題去想這個問題
[00:06:35.000 --> 00:06:38.000]  去想一下為什麼我們要辭婚
[00:06:38.000 --> 00:06:42.000]  而當我們要去想為什麼要辭婚的時候
[00:06:42.000 --> 00:06:47.000]  我們發現很多東西是我們加進去
[00:06:47.000 --> 00:06:50.000]  在文化裏面去影響
