
[00:00:00.000 --> 00:00:02.480]  各位頂智妹,大家好
[00:00:02.480 --> 00:00:05.600]  歡迎來到這個有愛堂的主一學
[00:00:05.600 --> 00:00:08.720]  在這次六堂的主一學裏
[00:00:08.720 --> 00:00:13.600]  很想和大家一起探討六位在舊約裏的人物
[00:00:13.600 --> 00:00:18.240]  他們如何在迷霧亂世和紛亂的時代裏
[00:00:18.240 --> 00:00:23.440]  蒙上帝的呼召,回應那個時代,活出他們的照明
[00:00:23.440 --> 00:00:28.640]  這六位人物分別就是摩西、撒姆爾、以塞亞
[00:00:28.640 --> 00:00:31.760]  耶利米、以西傑和阿摩斯
[00:00:31.760 --> 00:00:34.960]  他們六位都活過他們的時代
[00:00:34.960 --> 00:00:38.800]  而他們的時代都在迷霧和紛亂裏
[00:00:38.800 --> 00:00:42.240]  而正正就是在這些迷霧和紛亂裏
[00:00:42.240 --> 00:00:45.840]  他們的照明才顯得真實和寶貴
[00:00:45.840 --> 00:00:52.720]  如果我們說照明其實是一個我們人生存活的意義和理由的話
[00:00:52.720 --> 00:00:54.800]  我們就必須去探討
[00:00:54.800 --> 00:01:00.640]  原來他們的照明全部都活在一個不理想的時代裏
[00:01:00.640 --> 00:01:04.400]  讓我們明白照明仍然是一個這樣的時代
[00:01:04.400 --> 00:01:07.600]  才顯得更加貼近上帝
[00:01:07.600 --> 00:01:11.600]  我們祈求主幫助我們能夠在這六堂裏
[00:01:11.600 --> 00:01:14.480]  和大家一起去研讀他們的話語
[00:01:14.480 --> 00:01:16.080]  我們一起有個祈禱吧
[00:01:16.080 --> 00:01:18.640]  慈悲人來的天父
[00:01:18.640 --> 00:01:24.000]  多謝你讓我們今晚一同去看不同的人物
[00:01:24.000 --> 00:01:27.840]  由今晚開始數落的五個星期
[00:01:27.840 --> 00:01:30.240]  六個星期的星期五晚上
[00:01:30.240 --> 00:01:32.480]  我們祈求主帶領我們
[00:01:32.480 --> 00:01:35.040]  讓我們能夠有一個敞開的心
[00:01:35.040 --> 00:01:37.280]  謙卑的心去到聆聽
[00:01:37.280 --> 00:01:41.440]  並且因著你的話語得著生命的改變和激勵
[00:01:41.440 --> 00:01:45.200]  幫助孩子講解你的話語清楚明白
[00:01:45.200 --> 00:01:46.880]  我們同心謙卑
[00:01:46.880 --> 00:01:48.400]  領受禱告
[00:01:48.400 --> 00:01:50.160]  祈奉耶穌基督靈球
[00:01:50.160 --> 00:01:50.880]  阿們
[00:01:50.880 --> 00:01:53.280]  在這個課堂裏
[00:01:53.280 --> 00:01:56.320]  我也鼓勵大家每人都擁有一本
[00:01:56.320 --> 00:02:01.200]  就是宣導出版社所出版的《迷霧裡的照明》
[00:02:01.200 --> 00:02:04.880]  這本書是我本人高穎謙去寫的
[00:02:04.880 --> 00:02:10.160]  同樣地這本書有六位人物的展述在裏面
[00:02:10.160 --> 00:02:13.600]  大家可以一邊看一邊上課堂
[00:02:13.600 --> 00:02:17.760]  讓大家更加透徹地去明瞭這六位人物
[00:02:17.760 --> 00:02:19.280]  我們事不宜遲
[00:02:19.280 --> 00:02:21.360]  和大家一起看看第一位
[00:02:21.360 --> 00:02:23.840]  這一位叫摩西
[00:02:23.840 --> 00:02:27.440]  摩西在《迷霧裡的照明》裏面
[00:02:27.440 --> 00:02:31.200]  是第一位的人物和大家一起去到展述
[00:02:31.200 --> 00:02:33.520]  如果我們看摩西
[00:02:33.520 --> 00:02:35.840]  我們就明白所涉及的經文
[00:02:35.840 --> 00:02:37.680]  很想和大家分享
[00:02:37.680 --> 00:02:42.400]  就是《春哀及記》的三章十一到第十五節的經文
[00:02:42.400 --> 00:02:45.920]  四章第十到第十六節的經文
[00:02:45.920 --> 00:02:49.760]  和六章第一到第九節的經文
[00:02:49.760 --> 00:02:54.400]  上帝對他的呼召其實不只是一次那麼簡單
[00:02:54.400 --> 00:02:56.240]  而是分了好幾次
[00:02:56.240 --> 00:02:58.000]  包括他面對失敗
[00:02:58.000 --> 00:03:00.800]  面對他自己的自我形象
[00:03:00.800 --> 00:03:05.120]  特別是他面對絕口不說的舌頭的情況下
[00:03:05.120 --> 00:03:09.840]  上帝在三惡片段裏面和他有一段對話
[00:03:09.840 --> 00:03:14.080]  我們明白摩西生存在一個甚麼時代
[00:03:14.080 --> 00:03:16.240]  生存在一個我們叫做
[00:03:16.240 --> 00:03:22.160]  以色列民流散和寄居在埃及地的時代
[00:03:22.160 --> 00:03:24.800]  我們亦知道當時的法老
[00:03:24.800 --> 00:03:29.360]  已經不再認識弱勢年代的以色列民
[00:03:29.360 --> 00:03:31.120]  他們看到以色列民
[00:03:31.120 --> 00:03:36.400]  他們的生兒育女的數目多到一個地步
[00:03:36.400 --> 00:03:40.640]  是在威脅他們民族的安危
[00:03:40.640 --> 00:03:44.000]  所以他們就很想施展一些伎倆
[00:03:44.000 --> 00:03:47.120]  以致他們能夠可以停止生育
[00:03:47.120 --> 00:03:51.520]  並且能夠為他們做好那個苦工
[00:03:51.520 --> 00:03:54.240]  包括吩咐那些修身婆
[00:03:54.240 --> 00:03:58.640]  當她接到有男孩的話就馬上殺了他
[00:03:58.640 --> 00:04:04.240]  又或者我們會發現他們要用很多的苦工
[00:04:04.240 --> 00:04:08.640]  去建築金字塔、建築不同的倉庫之類的
[00:04:08.640 --> 00:04:12.480]  所以以色列民就向上帝哀求
[00:04:12.480 --> 00:04:15.200]  寄居在埃及的四百年
[00:04:15.200 --> 00:04:17.280]  他們就向上帝哀求
[00:04:17.280 --> 00:04:21.440]  哀求上帝是因為他們因著這些苦工
[00:04:21.440 --> 00:04:23.680]  和他們所面對的迫不及待
[00:04:23.680 --> 00:04:26.000]  就非常之痛苦
[00:04:26.000 --> 00:04:28.400]  就在一個這樣的情況下
[00:04:28.400 --> 00:04:32.000]  摩西的母親就生了摩西
[00:04:32.000 --> 00:04:35.680]  她不忍心這個這麼靚仔的嬰兒
[00:04:35.680 --> 00:04:38.640]  就交在那些埃及人的手裏
[00:04:38.640 --> 00:04:43.600]  所以她就把摩西放到用一個蒲草紙
[00:04:43.600 --> 00:04:46.880]  蒲草製造的一個小船
[00:04:46.880 --> 00:04:51.600]  放到河邊任意漂蕩
[00:04:51.600 --> 00:04:55.040]  最後她就被法老的女兒接了
[00:04:55.040 --> 00:04:59.680]  成為宮廷裏成長的所謂的埃及王子
