
[00:00:00.000 --> 00:00:02.000]  (字幕:Sara@HK)
[00:00:02.000 --> 00:00:10.000]  各位弟子妹晚安
[00:00:10.000 --> 00:00:12.000]  很高興我們可以繼續
[00:00:12.000 --> 00:00:16.000]  上課堂
[00:00:16.000 --> 00:00:18.000]  顛覆外貌的想像
[00:00:18.000 --> 00:00:20.000]  我是高明謙
[00:00:20.000 --> 00:00:22.000]  為大家講解上帝的真理
[00:00:22.000 --> 00:00:24.000]  並且我們今天
[00:00:24.000 --> 00:00:26.000]  很想用女性的角度
[00:00:26.000 --> 00:00:28.000]  看一看
[00:00:28.000 --> 00:00:30.000]  在聖經裏面
[00:00:30.000 --> 00:00:32.000]  如何看待女性的外貌的顛覆
[00:00:32.000 --> 00:00:34.000]  我們選擇了
[00:00:34.000 --> 00:00:36.000]  一個課題
[00:00:36.000 --> 00:00:38.000]  叫做智慧與美貌並重
[00:00:38.000 --> 00:00:42.000]  我們今天會看很多經文
[00:00:42.000 --> 00:00:44.000]  特別是來自
[00:00:44.000 --> 00:00:46.000]  以創亞書
[00:00:46.000 --> 00:00:48.000]  以西傑書
[00:00:48.000 --> 00:00:50.000]  和《針研》裏的內容
[00:00:50.000 --> 00:00:52.000]  我們嘗試進行不少分析
[00:00:52.000 --> 00:00:56.000]  和大家一起了解真理
[00:00:56.000 --> 00:00:58.000]  我們一起祈禱
[00:00:58.000 --> 00:01:00.000]  仰望上帝
[00:01:00.000 --> 00:01:02.000]  慈悲人愛的天父
[00:01:02.000 --> 00:01:04.000]  多謝你讓我們今晚
[00:01:04.000 --> 00:01:06.000]  一同讀你寶貴的說話
[00:01:06.000 --> 00:01:08.000]  特別我們
[00:01:08.000 --> 00:01:10.000]  很想看一看
[00:01:10.000 --> 00:01:12.000]  主你的心意
[00:01:12.000 --> 00:01:14.000]  如何彰顯在不同的經文當中
[00:01:14.000 --> 00:01:16.000]  你對那些
[00:01:16.000 --> 00:01:18.000]  很重視外貌的
[00:01:18.000 --> 00:01:20.000]  女性形象的審判
[00:01:20.000 --> 00:01:22.000]  並且你也很重視
[00:01:22.000 --> 00:01:24.000]  一個人
[00:01:24.000 --> 00:01:26.000]  如何有一個內涵
[00:01:26.000 --> 00:01:28.000]  去敬畏上帝
[00:01:28.000 --> 00:01:30.000]  成為丈夫的祝福
[00:01:30.000 --> 00:01:32.000]  種種的經文
[00:01:32.000 --> 00:01:34.000]  我們祈求主你今晚教導我們
[00:01:34.000 --> 00:01:36.000]  調教我們的價值觀
[00:01:36.000 --> 00:01:38.000]  讓我們真的改善
[00:01:38.000 --> 00:01:40.000]  那種憑外貌認人的練習
[00:01:40.000 --> 00:01:42.000]  幫助孩子
[00:01:42.000 --> 00:01:44.000]  講解你的說話
[00:01:44.000 --> 00:01:46.000]  清楚明白
