
[00:00:00.000 --> 00:00:02.000]  再給你,謝謝
[00:00:02.000 --> 00:00:12.000]  (開機中...)
[00:00:12.000 --> 00:00:32.000]  (開機中...)
[00:00:32.000 --> 00:01:00.000]  (開機中...)
[00:01:00.000 --> 00:01:12.000]  (我會在附近,你隨時要電話給我,我會在營安幕說)
[00:01:12.000 --> 00:01:14.000]  (大家繼續努力吧)
[00:01:14.000 --> 00:01:16.000]  大家玩吧
[00:01:16.000 --> 00:01:44.000]  (開機中...)
[00:01:44.000 --> 00:02:08.000]  (我會在營安幕說)
[00:02:08.000 --> 00:02:32.000]  (開機中...)
[00:02:32.000 --> 00:02:38.000]  (我會在營安幕說)
[00:02:38.000 --> 00:02:40.000]  (開機中...)
[00:02:40.000 --> 00:03:08.000]  (開機中...)
[00:03:08.000 --> 00:03:20.000]  (我會在營安幕說)
[00:03:20.000 --> 00:03:32.000]  (開機中...)
[00:03:32.000 --> 00:03:42.000]  (我會在營安幕說)
[00:03:42.000 --> 00:03:52.000]  (開機中...)
[00:03:52.000 --> 00:04:02.000]  (我會在營安幕說)
[00:04:02.000 --> 00:04:12.000]  (開機中...)
[00:04:12.000 --> 00:04:22.000]  (我會在營安幕說)
[00:04:22.000 --> 00:04:44.000]  (開機中...)
[00:04:44.000 --> 00:04:54.000]  (我會在營安幕說)
[00:04:54.000 --> 00:05:04.000]  (開機中...)
[00:05:04.000 --> 00:05:24.000]  (我會在營安幕說)
[00:05:24.000 --> 00:05:44.000]  (開機中...)
[00:05:44.000 --> 00:06:04.000]  (我會在營安幕說)
[00:06:04.000 --> 00:06:32.000]  (開機中...)
[00:06:32.000 --> 00:06:42.000]  (我會在營安幕說)
[00:06:42.000 --> 00:06:52.000]  (開機中...)
[00:06:52.000 --> 00:07:12.000]  (我會在營安幕說)
[00:07:12.000 --> 00:07:32.000]  (開機中...)
[00:07:32.000 --> 00:07:52.000]  (我會在營安幕說)
[00:07:52.000 --> 00:08:12.000]  (開機中...)
[00:08:12.000 --> 00:08:32.000]  (我會在營安幕說)
[00:08:32.000 --> 00:08:52.000]  (開機中...)
[00:08:52.000 --> 00:09:12.000]  (我會在營安幕說)
[00:09:12.000 --> 00:09:32.000]  (開機中...)
[00:09:32.000 --> 00:09:52.000]  (我會在營安幕說)
[00:09:52.000 --> 00:10:12.000]  (開機中...)
[00:10:12.000 --> 00:10:32.000]  (我會在營安幕說)
[00:10:32.000 --> 00:10:52.000]  (開機中...)
[00:10:52.000 --> 00:11:12.000]  (我會在營安幕說)
[00:11:12.000 --> 00:11:32.000]  (開機中...)
[00:11:32.000 --> 00:11:52.000]  (我會在營安幕說)
[00:11:52.000 --> 00:12:12.000]  (開機中...)
[00:12:12.000 --> 00:12:32.000]  (我會在營安幕說)
[00:12:32.000 --> 00:12:52.000]  (開機中...)
[00:12:52.000 --> 00:13:12.000]  (我會在營安幕說)
[00:13:12.000 --> 00:13:32.000]  (開機中...)
[00:13:32.000 --> 00:13:52.000]  (我會在營安幕說)
[00:13:52.000 --> 00:14:12.000]  (開機中...)
[00:14:12.000 --> 00:14:32.000]  (我會在營安幕說)
[00:14:32.000 --> 00:14:52.000]  (開機中...)
[00:14:52.000 --> 00:15:12.000]  (我會在營安幕說)
[00:15:12.000 --> 00:15:32.000]  (開機中...)
[00:15:32.000 --> 00:15:52.000]  (我會在營安幕說)
[00:15:52.000 --> 00:16:12.000]  (開機中...)
[00:16:12.000 --> 00:16:32.000]  (我會在營安幕說)
[00:16:32.000 --> 00:16:52.000]  (開機中...)
[00:16:52.000 --> 00:17:12.000]  (我會在營安幕說)
[00:17:12.000 --> 00:17:32.000]  (開機中...)
[00:17:32.000 --> 00:17:52.000]  (我會在營安幕說)
[00:17:52.000 --> 00:18:12.000]  (開機中...)
[00:18:12.000 --> 00:18:32.000]  (我會在營安幕說)
[00:18:32.000 --> 00:18:52.000]  (開機中...)
[00:18:52.000 --> 00:19:12.000]  (開機中...)
[00:19:12.000 --> 00:19:32.000]  (開機中...)
[00:19:32.000 --> 00:19:52.000]  (開機中...)
[00:19:52.000 --> 00:20:12.000]  (開機中...)
[00:20:12.000 --> 00:20:32.000]  (開機中...)
[00:20:32.000 --> 00:20:52.000]  (開機中...)
[00:20:52.000 --> 00:21:12.000]  (開機中...)
[00:21:12.000 --> 00:21:32.000]  (開機中...)
[00:21:32.000 --> 00:21:52.000]  (開機中...)
[00:21:52.000 --> 00:22:12.000]  (開機中...)
[00:22:12.000 --> 00:22:32.000]  (開機中...)
[00:22:32.000 --> 00:22:52.000]  (開機中...)
[00:22:52.000 --> 00:23:12.000]  (開機中...)
[00:23:12.000 --> 00:23:32.000]  (開機中...)
[00:23:32.000 --> 00:23:52.000]  (開機中...)
[00:23:52.000 --> 00:24:12.000]  (開機中...)
[00:24:12.000 --> 00:24:32.000]  (開機中...)
[00:24:32.000 --> 00:24:42.000]  (開機中...)
[00:24:42.000 --> 00:24:52.000]  (開機中...)
[00:24:52.000 --> 00:25:12.000]  (開機中...)
[00:25:12.000 --> 00:25:22.000]  (開機中...)
[00:25:22.000 --> 00:25:32.000]  (開機中...)
[00:25:32.000 --> 00:25:52.000]  (開機中...)
[00:25:52.000 --> 00:26:12.000]  (開機中...)
[00:26:12.000 --> 00:26:32.000]  (開機中...)
[00:26:32.000 --> 00:26:52.000]  (開機中...)
[00:26:52.000 --> 00:27:12.000]  (開機中...)
[00:27:12.000 --> 00:27:32.000]  (開機中...)
[00:27:32.000 --> 00:27:52.000]  (開機中...)
[00:27:52.000 --> 00:28:12.000]  (開機中...)
[00:28:12.000 --> 00:28:32.000]  (開機中...)
