
[00:00:00.000 --> 00:00:02.600]  一同去思想耶利米
[00:00:02.600 --> 00:00:06.400]  他的人生、他那時的亂世
[00:00:06.400 --> 00:00:08.280]  在他的生命裏面
[00:00:08.280 --> 00:00:12.280]  究竟對我們的生命有什麼提醒和影響
[00:00:12.280 --> 00:00:15.880]  祈求主的話成為我們的指引和提醒
[00:00:15.880 --> 00:00:18.520]  我們一起祈禱吧
[00:00:18.520 --> 00:00:20.040]  慈悲人外的天父
[00:00:20.040 --> 00:00:24.600]  多謝你讓我們今晚一同去閱讀你的話
[00:00:24.600 --> 00:00:28.120]  特別我們很想透過耶利米的人生
[00:00:28.120 --> 00:00:31.920]  讓我們在一個迷霧裏面
[00:00:31.920 --> 00:00:38.040]  能夠拿捏到主你對你的僕人的召命到底是怎樣
[00:00:38.040 --> 00:00:40.240]  以致我們能夠前行有力
[00:00:40.240 --> 00:00:42.360]  以致我們看見盼望
[00:00:42.360 --> 00:00:47.000]  幫助孩子講解你的話語清楚和明白
[00:00:47.000 --> 00:00:50.000]  我們一同謙卑去領受
[00:00:50.000 --> 00:00:52.640]  祈禱是奉耶穌基督的名求
[00:00:52.640 --> 00:00:53.640]  阿們
[00:00:53.640 --> 00:00:57.880]  我們今天和大家一起去思想耶利米
[00:00:57.880 --> 00:01:04.960]  首先我今晚會和大家講解耶利米當時國際的形勢
[00:01:04.960 --> 00:01:06.280]  那個大局
[00:01:06.280 --> 00:01:09.120]  猶大國將會滅亡的亂世
[00:01:09.120 --> 00:01:13.960]  然後我會和大家思想耶利米書的第一章
[00:01:13.960 --> 00:01:18.600]  特別是耶利米本人的蒙召的三段說話
[00:01:18.600 --> 00:01:23.520]  三段說話表明了他三方面的召命
[00:01:23.520 --> 00:01:25.560]  在這三方面的召命裏面
[00:01:25.560 --> 00:01:28.640]  我都會運用耶利米書不同的經文
[00:01:28.640 --> 00:01:32.600]  讓我們去到更加詳細地了解
[00:01:32.600 --> 00:01:36.280]  耶利米本人的召命到底是怎樣
[00:01:36.280 --> 00:01:38.440]  這位流淚的先知
[00:01:38.440 --> 00:01:41.960]  究竟怎樣成為我們的鼓勵和提醒呢
[00:01:41.960 --> 00:01:43.760]  所以事不宜遲
[00:01:43.760 --> 00:01:48.840]  就和大家一起思想他的亂世到底是怎樣
[00:01:48.840 --> 00:01:53.800]  我們看看他的年代到底是怎樣
[00:01:53.800 --> 00:01:57.040]  做一點點歷史的重溫
[00:01:57.040 --> 00:01:58.560]  我們會發現
[00:01:58.560 --> 00:02:02.600]  耶利米其實他所侍奉的年日
[00:02:02.600 --> 00:02:06.080]  大概有歷史記載出現
[00:02:06.080 --> 00:02:08.840]  就是主前的627年
[00:02:08.840 --> 00:02:12.640]  當時應該是猶大國最後一位
[00:02:12.640 --> 00:02:15.920]  恆耶和華眼中看為正的皇帝
[00:02:15.920 --> 00:02:18.440]  他的名字就叫做約西亞
[00:02:18.440 --> 00:02:20.560]  他當時執政的時候
[00:02:20.560 --> 00:02:22.760]  耶利米開始侍奉
[00:02:22.760 --> 00:02:24.280]  直到什麼時候呢
[00:02:24.280 --> 00:02:26.320]  直到猶大國亡國
[00:02:26.320 --> 00:02:30.280]  就是主前的587年
[00:02:30.280 --> 00:02:34.920]  那時候其實就是西底加執政的皇帝
[00:02:34.920 --> 00:02:38.600]  所以我們會發現他執政的年間
[00:02:38.600 --> 00:02:42.440]  已經是猶大國將會被滅
[00:02:42.440 --> 00:02:46.720]  和已經氣數已盡的一個年代
[00:02:46.720 --> 00:02:49.800]  這個年代我們就要去到思想
[00:02:49.800 --> 00:02:53.160]  為什麼猶大國快要亡國呢
[00:02:53.160 --> 00:02:55.960]  究竟當時的古近東
[00:02:55.960 --> 00:02:58.600]  那個國際形勢到底是怎樣
[00:02:58.600 --> 00:03:03.560]  其實那個國際形勢就非常之錯綜複雜
[00:03:03.560 --> 00:03:07.440]  猶大國就身處在一個我們叫做
[00:03:07.440 --> 00:03:12.880]  亞洲、歐洲和非洲的中間點的角落
[00:03:12.880 --> 00:03:16.040]  這個是以色列地理的位置
[00:03:16.040 --> 00:03:19.880]  就在這個中間點的位置
[00:03:19.880 --> 00:03:22.040]  猶大國的東北邊
[00:03:22.040 --> 00:03:24.840]  就是一個很強的帝國
[00:03:24.840 --> 00:03:27.600]  當時就是亞述帝國
[00:03:27.600 --> 00:03:31.120]  這個亞述帝國的南面
[00:03:31.120 --> 00:03:35.080]  也就是現在的伊拉克的西
[00:03:35.080 --> 00:03:36.960]  應該是東南邊
[00:03:36.960 --> 00:03:40.160]  我們就會發現有一個帝國將會興起
[00:03:40.160 --> 00:03:42.960]  他的名字就叫做巴比倫帝國
[00:03:42.960 --> 00:03:46.160]  然後猶大國的西南邊
[00:03:46.160 --> 00:03:47.840]  就是另一個強國
[00:03:47.840 --> 00:03:50.240]  他的名字就叫做埃及
[00:03:50.240 --> 00:03:52.920]  當時這個三個帝國
[00:03:52.920 --> 00:03:57.200]  就是在爭奪整個古近東的控制權
