
[00:00:00.000 --> 00:00:02.000]  (字幕:Sky Vision Media)
[00:00:02.000 --> 00:00:10.000]  各位靈姐妹,大家好
[00:00:10.000 --> 00:00:18.000]  很高興你能夠收看第四堂顛覆外貌的上像
[00:00:18.000 --> 00:00:25.000]  我是高永謙,繼續為大家一同講解上帝的說話和真理
[00:00:25.000 --> 00:00:27.000]  我們一起祈禱吧
[00:00:28.000 --> 00:00:34.000]  慈悲人類的天父,多謝你讓我們今晚一同看到新約
[00:00:34.000 --> 00:00:37.000]  我們真的很想看耶穌
[00:00:37.000 --> 00:00:42.000]  如何回應當時法理才人的挑戰
[00:00:42.000 --> 00:00:46.000]  並且如何直斥那些假冒為善的法理才人
[00:00:46.000 --> 00:00:50.000]  主,我們透過這些內容
[00:00:50.000 --> 00:00:53.000]  真的很想在過程當中發現
[00:00:53.000 --> 00:00:58.000]  真的有很多人說一套做一套
[00:00:58.000 --> 00:01:01.000]  重視著外貌,但是他們的內心何等的污穢
[00:01:01.000 --> 00:01:07.000]  而這些真理同樣地成為我們的警惕和提醒
[00:01:07.000 --> 00:01:12.000]  也幫助孩子在今晚裡講解你的說話清楚
[00:01:12.000 --> 00:01:16.000]  和明白我們同心謙卑到靈修
[00:01:16.000 --> 00:01:20.000]  禱告是奉耶穌基督的名求,阿們
[00:01:20.000 --> 00:01:23.000]  不看人外貌的耶穌
[00:01:23.000 --> 00:01:26.000]  這就是今晚我們很想看的
[00:01:26.000 --> 00:01:31.000]  這不是耶穌本身對自己的評價
[00:01:31.000 --> 00:01:38.000]  這正正就是那些挑戰耶穌的人對耶穌的評價
[00:01:38.000 --> 00:01:44.000]  特別我們可以看馬可福音第十二章第十節
[00:01:44.000 --> 00:01:48.000]  同一時間,你也打開這本書
[00:01:48.000 --> 00:01:51.000]  這本書我們已經去到第四課
[00:01:51.000 --> 00:01:54.000]  第四課就是八十九頁
[00:01:54.000 --> 00:01:57.000]  八十九頁和大家一起去看一看
[00:01:57.000 --> 00:02:00.000]  這個評價是評價耶穌的
[00:02:00.000 --> 00:02:05.000]  就是講到:夫子,我們知道你是誠實的
[00:02:05.000 --> 00:02:08.000]  什麼人你都不信情面
[00:02:08.000 --> 00:02:11.000]  因為你不看人的外貌
[00:02:11.000 --> 00:02:17.000]  乃是誠誠實實去到全神的道
[00:02:17.000 --> 00:02:22.000]  在這裡我們會發現誠實這個字
[00:02:22.000 --> 00:02:25.000]  是出現了兩次這麼多
[00:02:25.000 --> 00:02:27.000]  是關乎耶穌基督的評價
[00:02:27.000 --> 00:02:32.000]  我想馬可福音的作者其實都很認同這種評價
[00:02:32.000 --> 00:02:34.000]  什麼叫誠實
[00:02:34.000 --> 00:02:39.000]  誠實你可以解作真理,真實這樣的意思
[00:02:39.000 --> 00:02:42.000]  或者誠實你也可以解作內外一致
[00:02:42.000 --> 00:02:47.000]  代表他講得出,其實就是做得到
[00:02:47.000 --> 00:02:50.000]  他是內外如一去到呈現
[00:02:50.000 --> 00:02:53.000]  這就是耶穌基督
[00:02:53.000 --> 00:02:57.000]  但另一方面他也有一個特性
[00:02:57.000 --> 00:02:59.000]  就是你不信情面
[00:02:59.000 --> 00:03:02.000]  因為你不看人的外貌
[00:03:02.000 --> 00:03:08.000]  不信情面代表不會因為人的外貌有任何的討好
[00:03:08.000 --> 00:03:12.000]  譬如那個富貴一點,帥一點
[00:03:12.000 --> 00:03:15.000]  他就可以討好他多一點
[00:03:15.000 --> 00:03:17.000]  就是吃奉承他多一點
[00:03:17.000 --> 00:03:20.000]  又或者那個貧窮一點,難看一點
[00:03:20.000 --> 00:03:23.000]  你就藐視和鄙視他多一點
[00:03:23.000 --> 00:03:25.000]  其實耶穌不是
[00:03:25.000 --> 00:03:27.000]  耶穌是無差別的
[00:03:27.000 --> 00:03:30.000]  耶穌是不會單憑人的外貌
[00:03:30.000 --> 00:03:34.000]  去到斷定一個人的好還是不好
[00:03:34.000 --> 00:03:35.000]  為什麼
[00:03:35.000 --> 00:03:40.000]  因為耶穌通常是不看一個人的外貌
[00:03:40.000 --> 00:03:45.000]  這和我們華人教會是很不同的
[00:03:45.000 --> 00:03:48.000]  很多時候我們都是看人的外貌
[00:03:48.000 --> 00:03:51.000]  譬如他有錢一點
[00:03:51.000 --> 00:03:54.000]  可能你也會奉承他多一點
[00:03:54.000 --> 00:03:58.000]  讓他在教會裡面能夠有好的地位
[00:03:58.000 --> 00:04:00.000]  但如果他出身貧窮
[00:04:00.000 --> 00:04:04.000]  又或者他的樣貌是真是謙奉的話
[00:04:04.000 --> 00:04:06.000]  你也可能會看低他
[00:04:06.000 --> 00:04:08.000]  但耶穌不是這樣
[00:04:08.000 --> 00:04:10.000]  耶穌是不看人的外貌
[00:04:10.000 --> 00:04:12.000]  不信人的情面
[00:04:12.000 --> 00:04:14.000]  連他的敵人
[00:04:14.000 --> 00:04:16.000]  就是那些挑戰他的人
[00:04:16.000 --> 00:04:20.000]  都是這樣去評價他
[00:04:20.000 --> 00:04:23.000]  我們去到看《馬可福音》十二章
[00:04:23.000 --> 00:04:28.000]  這一段耶穌和那些人對話
[00:04:28.000 --> 00:04:31.000]  希律黨那些人的對話之前
[00:04:31.000 --> 00:04:36.000]  我們首先很想了解當時的遊戲規則
[00:04:36.000 --> 00:04:38.000]  到底是怎樣
[00:04:38.000 --> 00:04:43.000]  當時的遊戲規則某程度上是關乎榮譽這件事
[00:04:43.000 --> 00:04:45.000]  因為榮譽和羞辱
[00:04:45.000 --> 00:04:48.000]  也就是說榮辱文化
[00:04:48.000 --> 00:04:50.000]  這是先天
[00:04:50.000 --> 00:04:52.000]  也有後天
[00:04:52.000 --> 00:04:57.000]  一個人擁有他的榮譽值與否
[00:04:57.000 --> 00:05:00.000]  是來自他的先天和後天
[00:05:00.000 --> 00:05:02.000]  決定一個人的外貌
[00:05:02.000 --> 00:05:04.000]  一個人的認受性
[00:05:04.000 --> 00:05:07.000]  究竟他是應該怎樣
[00:05:07.000 --> 00:05:09.000]  舉個例子
[00:05:09.000 --> 00:05:12.000]  原來有些榮譽是來自先天
[00:05:12.000 --> 00:05:15.000]  他一出生就有
[00:05:15.000 --> 00:05:18.000]  耶穌基督在當時的年代
[00:05:18.000 --> 00:05:20.000]  他一出生
[00:05:20.000 --> 00:05:23.000]  先天的條件到底是怎樣的呢?
[00:05:23.000 --> 00:05:29.000]  這是《馬可福音》第六章一到六節的經文有提到
[00:05:29.000 --> 00:05:32.000]  就是說耶穌離開那裡
[00:05:32.000 --> 00:05:34.000]  來到自己的家鄉
[00:05:34.000 --> 00:05:36.000]  門徒也跟隨他
[00:05:36.000 --> 00:05:37.000]  到了安息日
[00:05:37.000 --> 00:05:40.000]  他就在背堂裡教訓人
[00:05:40.000 --> 00:05:42.000]  眾人聽見就心稀奇
