
[00:00:00.000 --> 00:00:10.000]  各位弟兄姊妹,早晨!
[00:00:10.000 --> 00:00:16.000]  歡迎回來再師耶穌基督復活大能的網上主一學
[00:00:16.000 --> 00:00:23.000]  今堂是第二堂,我們會看耶穌時代的復活觀念
[00:00:23.000 --> 00:00:30.000]  今堂的筆記已經放在YouTube的連結下方的描述欄
[00:00:30.000 --> 00:00:34.000]  大家可以下載去看看今堂的內容
[00:00:34.000 --> 00:00:39.000]  今堂內容非常豐富,有三十多版的PowerPoint
[00:00:39.000 --> 00:00:46.000]  希望可以這一堂和大家去看看整個耶穌時代
[00:00:46.000 --> 00:00:55.000]  是關於耶穌出生和復活前一二百年到之後的時代
[00:00:55.000 --> 00:00:57.000]  人們如何去看待復活
[00:00:57.000 --> 00:01:02.000]  事不宜遲,我們正式開始今堂的主一學
[00:01:02.000 --> 00:01:12.000]  今堂主一學串連上一堂
[00:01:12.000 --> 00:01:15.000]  因為是一脈相承的敘事世界
[00:01:15.000 --> 00:01:24.000]  上一堂主要是講述舊約如何看待死後世界
[00:01:24.000 --> 00:01:27.000]  舊約如何看待盼望
[00:01:27.000 --> 00:01:32.000]  舊約聖經的作者如何看待復活
[00:01:32.000 --> 00:01:35.000]  上一堂我們探討了很多內容
[00:01:35.000 --> 00:01:40.000]  可以用這張圖表作總結和回顧
[00:01:40.000 --> 00:01:47.000]  在舊約世界,根據起初的五經和賴特的神學發展
[00:01:47.000 --> 00:01:52.000]  舊約沒有人去探討死後世界有何盼望
[00:01:52.000 --> 00:01:58.000]  大部分的舊約作者都說人是一個塵土
[00:01:58.000 --> 00:02:02.000]  塵歸塵土歸土,人生是虛空
[00:02:02.000 --> 00:02:06.000]  就算有陰間,陰間也沒有盼望和活動
[00:02:06.000 --> 00:02:07.000]  是一去不返的
[00:02:07.000 --> 00:02:12.000]  與此同時,雖然在死後世界沒有盼望
[00:02:12.000 --> 00:02:19.000]  但神的子民能夠捉緊他們處於的世界
[00:02:19.000 --> 00:02:21.000]  他們身處的國土,後代
[00:02:21.000 --> 00:02:26.000]  他們對以色列國,以色列民族有一個盼望
[00:02:26.000 --> 00:02:30.000]  原因是他們看到眼前的土地
[00:02:30.000 --> 00:02:32.000]  子孫,律例,典章
[00:02:32.000 --> 00:02:36.000]  他們會想起他們曾經和神納的約
[00:02:36.000 --> 00:02:39.000]  可能是在西太山和摩西納的約
[00:02:39.000 --> 00:02:44.000]  可能想起他們列祖大位,神如何和他們納約
[00:02:44.000 --> 00:02:50.000]  更加再推前一點的,就是聖經第一版
[00:02:50.000 --> 00:02:52.000]  《創世紀》,神的創造
[00:02:52.000 --> 00:02:55.000]  神的創造是永存
[00:02:55.000 --> 00:02:58.000]  在《創世紀》一章,就是神的創造
[00:02:58.000 --> 00:03:07.000]  雖然到了之後的日子,神要用洪水毀滅世界
[00:03:07.000 --> 00:03:11.000]  但我們會看到,羅亞帶來了第二次創造
[00:03:11.000 --> 00:03:14.000]  神是用羅亞這個人帶來第二次創造
[00:03:14.000 --> 00:03:18.000]  於是創造這個觀念都植入了猶太文化
[00:03:18.000 --> 00:03:22.000]  看到神的創造,看到神納的約
[00:03:22.000 --> 00:03:26.000]  他們會看到盼望的可能和存在
[00:03:26.000 --> 00:03:32.000]  這是早期的舊約世界告訴我們以色列的盼望
[00:03:32.000 --> 00:03:37.000]  到了後期,就是秘魯流散,受苦,逼化時期
[00:03:37.000 --> 00:03:42.000]  亦很重要,這個時期既是舊約聖經後期
